date,Affordability Index,\hspace{2mm} Monthly Payment (\$),\hspace{4mm} Median Home Price (\$),\hspace{4mm} Mortgage Rate (\%),\hspace{2mm} Median Monthly Earnings (\$)
2000-07-01,63.704663662223105,1131.7349983862307,169000.0,8.1475,2400.8233543178158
2000-08-01,66.88613786660578,1103.0824267562396,166600.0,8.0275,2456.9047450324556
2000-09-01,67.31187361453766,1123.1111522776043,171500.0,7.912000000000001,2517.4372407083556
2000-10-01,66.02035956545164,1141.6693625765536,176300.0,7.795,2509.9349466780627
2000-11-01,67.18295350737804,1125.871765929354,174700.0,7.745,2518.7917038398573
2000-12-01,75.92212786599175,1007.7000347809578,162000.0,7.382,2547.6741386771005
2001-01-01,75.5342689125375,1029.0641123635146,171300.0,7.0325,2588.3958595371973
2001-02-01,76.19103329332964,1017.6395276818088,169100.0,7.05,2581.9157375692907
2001-03-01,77.21831484425891,990.9380685540325,166300.0,6.952,2548.0683066999445
2001-04-01,72.39487408141491,1057.268814373175,175200.0,7.0775,2548.8100614688697
2001-05-01,72.39231000380286,1065.0563238696136,175300.0,7.145,2567.492856050355
2001-06-01,69.88950381758302,1091.6028295652543,179400.0,7.159999999999999,2540.5096181353697
2001-07-01,70.94350826977583,1061.3724526987348,175000.0,7.127500000000001,2507.406262998987
2001-08-01,73.62015479103229,1034.8231620431507,173700.0,6.950000000000001,2536.921917653043
2001-09-01,79.28996311892745,978.0695463110862,166400.0,6.8175,2582.451571883246
2001-10-01,79.06775252657674,986.402989473376,171300.0,6.6175,2597.1558265231074
2001-11-01,80.56600319632777,972.0299232057368,168100.0,6.6579999999999995,2607.8084444673236
2001-12-01,72.3801347081422,1086.0766185641846,180200.0,7.0649999999999995,2617.725386102807
2002-01-01,71.06725054370192,1120.0201605061688,187100.0,6.9975,2650.5718869109483
2002-02-01,70.50534474642065,1131.8637077669232,191100.0,6.8925,2657.4212827048923
2002-03-01,72.35591873834628,1099.7006890436069,183400.0,7.014,2649.67612797499
2002-04-01,71.01655177228963,1118.6070330122236,187100.0,6.985,2645.339155282904
2002-05-01,73.9144647518374,1062.6372716649696,181000.0,6.806,2615.52402984362
2002-06-01,70.78141437834043,1101.2265415079557,190600.0,6.65,2595.6141928914144
2002-07-01,77.5325738739159,997.3617878285911,175600.0,6.485000000000001,2575.0232822449075
2002-08-01,77.6394288643232,995.5587777472465,178900.0,6.29,2573.9106763418245
2002-09-01,81.84138613198343,967.3029021883513,177500.0,6.0925,2636.2081638086825
2002-10-01,76.97770454474451,1033.2631761456532,189200.0,6.1125,2648.6229754271367
2002-11-01,82.05768703889879,984.8879852872631,181200.0,6.0680000000000005,2691.227081166957
2002-12-01,73.61625623364992,1071.6777063089958,197600.0,6.0475,2627.1335908968576
2003-01-01,82.64137791923498,971.6309999199391,181700.0,5.9159999999999995,2673.887591258848
2003-02-01,82.0111807034428,992.0649826928327,187000.0,5.842499999999999,2709.3020048204858
2003-03-01,83.56807281456138,971.6449443831033,185100.0,5.745,2703.9098988881838
2003-04-01,80.93145148093002,1002.0653147166506,189500.0,5.8125,2700.583393277159
2003-05-01,80.39016768863164,997.2591665581072,195500.0,5.484,2669.655393233421
2003-06-01,84.79075367612457,931.737919593226,187900.0,5.23,2630.7919223501017
2003-07-01,79.30094596962068,986.2193579299432,190200.0,5.6325,2604.330662979301
2003-08-01,75.45297948362506,1057.2087480735463,190500.0,6.263999999999999,2656.3260142774643
2003-09-01,77.60485556598496,1052.4665900152088,192000.0,6.147499999999999,2719.828039614961
2003-10-01,78.55459902923538,1041.9699543448662,194100.0,5.952,2725.656014403586
2003-11-01,72.50787942615845,1109.4263202699526,207100.0,5.9325,2678.7235904159343
2003-12-01,77.74648143900589,1043.58535678332,196000.0,5.8759999999999994,2701.798482720052
2004-01-01,74.04938692284061,1095.8390354784524,209500.0,5.7125,2702.1687511517694
2004-02-01,73.32692001192947,1138.9754513088153,219600.0,5.635,2781.1348083953035
2004-03-01,77.74574471845301,1064.5767019377085,209600.0,5.445,2756.118073118656
2004-04-01,71.48493587691668,1177.7417703030583,222300.0,5.83,2803.553471158359
2004-05-01,70.4726772881075,1175.605451515077,211700.0,6.27,2758.8405179719725
2004-06-01,68.16577354015423,1200.0305209866203,215700.0,6.2875,2723.9735908704142
2004-07-01,70.05275480771786,1152.992254601838,212400.0,6.055999999999999,2689.650447437118
2004-08-01,69.73446656133946,1160.1887556842403,218100.0,5.8675,2694.141294803886
2004-09-01,74.4534875945392,1111.8401124793643,211600.0,5.754,2756.586454919061
2004-10-01,69.16536590219268,1200.1928567169982,229200.0,5.7225,2764.2922103313686
2004-11-01,71.29678490934765,1176.5431153694178,224500.0,5.73,2793.3285897211367
2004-12-01,69.48933190300295,1206.157504583944,229600.0,5.752,2791.0421361389385
2005-01-01,73.66731123966966,1166.6587534763805,223100.0,5.71,2861.9556296442242
2005-02-01,69.40507570866905,1229.7665032609648,237300.0,5.6275,2842.2228408516553
2005-03-01,68.82168943055713,1227.7557314044186,229300.0,5.928,2813.724247321937
2005-04-01,66.98966758942183,1255.3062537946862,236300.0,5.855,2800.2818705321265
2005-05-01,70.15261988390338,1195.154197791859,228300.0,5.72,2791.978498073447
2005-06-01,70.74852681893297,1165.8846679388278,226100.0,5.582,2746.737935825182
2005-07-01,68.45640155953603,1196.5964759682006,229200.0,5.695,2727.7591391580418
2005-08-01,65.27668807053318,1270.6681340633816,240100.0,5.82,2762.068747366446
2005-09-01,67.97870556851082,1265.9188515847718,240400.0,5.774,2865.648978687435
2005-10-01,64.1113804144835,1325.260616577096,243900.0,6.065,2829.3107750056492
2005-11-01,64.19564317380309,1329.4725000079866,237900.0,6.33,2842.033195922558
2005-12-01,65.51193801270217,1325.2652352339646,238600.0,6.272,2891.1291082365206
2006-01-01,64.96035856485567,1342.0863786188252,244900.0,6.145,2903.1743322569146
2006-02-01,63.24837696400761,1390.1638964316764,250800.0,6.2525,2927.9228184367016
2006-03-01,64.52099971720004,1333.6604353962184,238800.0,6.324,2865.435182348842
2006-04-01,58.134999233191834,1463.1143843796306,257000.0,6.5075,2832.436515345593
2006-05-01,62.81999216801272,1368.802796514362,238200.0,6.5975,2863.406425854318
2006-06-01,60.329674964831334,1409.7720441120425,243200.0,6.6819999999999995,2832.201270219654
2006-07-01,61.6804445761612,1391.6618697187077,238100.0,6.7625,2858.416150037256
2006-08-01,62.11981904897057,1390.9189915362017,243900.0,6.523999999999999,2877.2410809979824
2006-09-01,69.57166380181411,1276.5537053923927,226700.0,6.4025,2957.438441710103
2006-10-01,62.40818923983772,1403.3748006452722,250400.0,6.3575,2916.4832684318862
2006-11-01,66.91212223021982,1329.0982053036394,240100.0,6.239999999999999,2961.4616262557897
2006-12-01,66.15215530817349,1339.5651925377024,244700.0,6.135,2950.8836512505077
2007-01-01,63.80886582179487,1404.9100426810332,254400.0,6.2175,2985.202356290701
2007-02-01,64.85087179205213,1394.9390851549815,250800.0,6.285,3012.4184251113033
2007-03-01,62.88993051071907,1440.7680269085888,262600.0,6.1560000000000015,3017.3063764417548
2007-04-01,67.90989899303679,1333.8823650190998,242500.0,6.18,3016.4410953454353
2007-05-01,65.90355751162225,1359.3778066240704,245000.0,6.2620000000000005,2983.274854180449
2007-06-01,65.18458000339471,1361.696914717646,235500.0,6.657500000000001,2955.7626612103454
2007-07-01,61.01283053940511,1429.0721250459198,246200.0,6.695,2903.484788620675
2007-08-01,66.68837795548576,1355.4511977032973,236500.0,6.572,3010.0816310293562
2007-09-01,67.42750632153114,1350.3044779845177,240300.0,6.3825,3031.8872020522526
2007-10-01,68.44405658368164,1315.554455661008,234300.0,6.375000000000001,2998.3947239524787
2007-11-01,66.56313044979687,1374.2582377326523,249100.0,6.208,3046.115180651886
2007-12-01,73.26633912742543,1241.2033407918477,227700.0,6.095,3028.2495489218786
