date,Corporate Equities,Real Estate,Other,US Net Wealth
2017-07-01,186.83712837236536,149.87297509546102,132.08884862558742,468.79895209341373
2017-10-01,194.12223971866572,149.59240584260547,129.49463514858047,473.20928070985167
2018-01-01,189.63187394597145,150.7294641187693,131.53435957788042,471.8956976426212
2018-04-01,192.8045657063205,150.9587670361741,129.48212887747636,473.24546161997097
2018-07-01,201.12668417735122,151.21394431294604,128.2440754796086,480.58470396990583
2018-10-01,171.90788621038655,151.53339009182915,130.46905308270675,453.9103293849225
2019-01-01,193.13044037393055,153.20491962403761,127.06465600837522,473.4000160063434
2019-04-01,196.4485293859767,153.69787617592422,123.8788530625176,474.02525862441854
2019-07-01,194.51314406256913,152.79375459395246,118.78646179670753,466.0933604532291
2019-10-01,206.80280553857364,152.8884199395591,115.72294165157318,475.41416712970596
2020-01-01,164.27895627455226,157.53481455082166,120.6798392722037,442.4936100975776
2020-04-01,217.90440112844064,175.11337612550665,121.14991089051085,514.1676881444582
2020-07-01,219.20675417736066,165.06852479069312,108.28884349518006,492.5641224632339
2020-10-01,249.1659153065073,167.14430137852833,103.40749588798874,519.7177125730244
2021-01-01,260.12751223054147,168.8874537973915,104.0387589747606,533.0537250026936
2021-04-01,272.40265285246727,173.91081677332681,99.15347357215211,545.4669431979462
2021-07-01,266.46585230509095,178.3736546262401,100.39585424013029,545.2353611714612
2021-10-01,275.6004264193587,176.04353231727154,93.66027512185046,545.3042338584808
2022-01-01,259.367821859949,187.8268453428399,105.88876171255907,553.083428915348
2022-04-01,212.16979242274775,193.12194557269257,123.30602244972874,528.597760445169
2022-07-01,199.27963608188597,184.97657920927466,129.24095618331148,513.4971714744721
2022-10-01,205.98415542324497,178.41951833137972,125.56028279632943,509.9639565509541
2023-01-01,214.94387120924193,175.32549992073052,118.11302405820092,508.3823951881733
2023-04-01,228.25619705596702,182.01450747610798,114.35322867979365,524.6239332118687
2023-07-01,215.31453240636912,179.95408424039178,115.27978066599329,510.5483973127543
2023-10-01,237.52250867564535,175.60076729268286,100.60139146556438,513.7246674338926
