date,FDHBATN,GFDEBTN,FDHBFRBN,FDHBPIN,FDHBFIN,FOREIGN,PD,IG
2000-04-01,21.37280292591913,55.48490786243184,4.926949604399808,29.150874535994355,10.350595059193655,0.03428079611855047,18.800279476800696,21.407083722037683
2000-07-01,21.667728709513753,54.99213280656008,4.956307638034476,28.4575794242484,10.067681608115395,-0.08948296523655296,18.389897816133004,21.5782457442772
2000-10-01,21.547816811144468,54.257904371743884,4.903339905616695,27.601290334450518,9.728103717377506,0.20545732053220844,17.873186617073014,21.75327413167667
2001-01-01,22.3429072386273,55.14434208758144,5.003710042309477,27.628807807583232,9.670273750407226,0.16891699906143137,17.95853405717601,22.511824237688735
2001-04-01,23.140286819511278,54.031653929616,5.048589489574488,25.687328993301257,9.277290310406642,0.15544862722898065,16.410038682894612,23.295735446740256
2001-07-01,23.294511616320783,54.79763201050763,5.039620608377791,26.228484188555974,9.362126132994653,0.23501559725307322,16.86635805556132,23.529527213573857
2001-10-01,23.917164964192462,55.75215527652875,5.175196391527011,26.448189642759484,9.756610054064245,0.2116042780497848,16.69157958869524,24.12876924224225
2002-01-01,23.7618398479158,55.69649928130941,5.335929892891918,26.42184819400009,9.803867019056893,0.1768813465015961,16.617981174943196,23.9387211944174
2002-04-01,24.458643246450507,56.27087493318002,5.425507877870505,26.175067462934425,10.315537324591778,0.21165634592457627,15.859530138342649,24.670299592375084
2002-07-01,24.359416025433266,56.702597587044465,5.500708300406772,26.62772531782477,10.821155057701901,0.21474794337966482,15.806570260122871,24.57416396881293
2002-10-01,24.936389344852515,57.91028160637053,5.690040341066116,27.28850773674622,11.170342938387819,-0.00465581629432116,16.118164798358404,24.93173352855819
2003-01-01,24.610392452064943,57.81905685892833,5.7409396293885635,27.474177181953063,11.412075160399526,-0.0064524044782331485,16.062102021553535,24.603940047586704
2003-04-01,25.22673941987309,58.96100918201614,5.764284349203369,27.97459082951066,12.127007665499315,-0.004605416570975929,15.847583164011347,25.222134003302116
2003-07-01,24.719951785600504,58.64540603694979,5.672333149673428,28.252732052762987,12.478095465513883,0.0003890489128726063,15.774636587249105,24.720340834513372
2003-10-01,25.092178765729596,59.44465595909833,5.66332609426554,28.69378913127279,12.938071057710882,-0.004638032169597346,15.755718073561908,25.087540733559997
2004-01-01,24.77807801720425,59.807101084107636,5.653566456075999,29.377410743722017,14.00601688421142,-0.0019541328946173463,15.371393859510594,24.776123884309627
2004-04-01,25.226184004296275,60.0548675101535,5.674981414312032,29.15507254094114,14.32697519115086,-0.001370449395951043,14.828097349790283,25.224813554900326
2004-07-01,24.99480102365589,59.9664274934384,5.691040459209997,29.313368614045952,14.583138803444722,-0.032782603473441585,14.730229810601228,24.962018420182446
2004-10-01,25.46289222807242,60.6371296922045,5.72992526510683,29.45986234449256,14.76226078679585,-0.015550145467302788,14.697601557696707,25.447342082605118
