year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
2004-01-01,"White, non-Hispanic",100,100,99.303558,97.187378,95.45118,15.260451,21.118708,2.4804235,25.520298,18.900248,26.784342,9.2275372,56.358112,10.508385,58.694557,95.819336,76.057442,90.290146,14.098584,9.1000347,15.709534,8.9398518,80.31897,77.953674,51.925301,4.4767442,47.057846,1.7328292,45.978001,7.7667994,49.655579,10.497193,37.414188,13.68257,8.3206797
2004-01-01,"Black, non-Hispanic",100,100,92.657318,85.653244,78.123459,5.7170763,9.3168335,0.000100617,6.1277065,3.6243017,24.431036,2.4608011,32.726315,11.488362,27.72868,79.673134,50.844593,70.048904,8.0576754,4.9252701,6.0974598,3.0716319,52.133038,71.17572,36.105045,2.3252683,46.54034,1.0287399,46.75111,8.1215181,34.307823,2.5932391,30.865009,16.492353,10.944649
2004-01-01,Hispanic,100,100,94.175293,78.517326,75.81266,4.082706,4.6209564,0.010726005,3.5668554,4.2877169,7.7358193,1.22597,25.280447,6.0953445,20.238813,86.882423,47.28915,80.694206,6.3803568,6.6635399,4.4282384,2.19031,49.563274,69.893227,34.87397,2.3207819,37.818001,0.84277964,47.299397,6.2653627,34.370708,3.5490839,30.728306,8.2278519,8.2006292
2004-01-01,Other,100,100,98.504707,93.783295,93.703285,9.6311398,12.645464,0.45519337,19.081921,9.2279644,16.452793,2.7490544,45.668739,10.248208,43.078758,89.298836,56.376846,82.457779,13.81414,7.3853307,13.801791,7.5223565,63.90226,79.426208,44.2547,4.5199203,44.159824,1.7672001,45.556339,6.8110332,43.849831,5.7850633,31.179739,10.939,6.7742219
2007-01-01,"White, non-Hispanic",100,100,98.910156,96.806801,95.529243,19.408243,17.779385,2.094425,21.451452,13.687936,25.258093,7.2876997,58.548557,9.9724445,60.030991,94.60437,75.567238,89.58934,15.256281,9.0429764,15.778792,8.1243944,79.484955,76.773819,52.095055,5.8321357,46.105804,1.5985653,45.082558,6.7494445,49.20631,9.7713261,35.555874,13.806188,9.4455957
2007-01-01,"Black, non-Hispanic",100,100,92.281631,84.550224,80.181168,5.9556379,8.0866003,0.007690228,6.0015955,4.7474861,27.885357,1.4842783,37.032936,5.8078122,33.51519,80.028984,49.249409,72.416306,7.560215,5.3837223,6.0692711,4.1111665,50.429447,76.781197,38.707958,3.1811264,49.985188,1.21172,50.326965,8.0745163,37.623005,3.1468279,30.425007,22.480886,12.695107
2007-01-01,Hispanic,100,100,94.741722,81.034637,78.782043,5.4575095,2.7380097,0.10676719,4.0124202,3.826036,7.8193212,0.8068133,30.800375,6.9639292,27.022551,87.412285,50.09016,84.361511,9.8684454,4.8655443,6.1270423,1.8345863,52.723396,73.460861,37.515884,5.9339843,47.357918,2.2647383,45.416924,7.0127954,37.062466,6.697619,34.660675,14.047434,13.19029
2007-01-01,Other,100,100,98.510078,95.083076,93.699585,13.705062,12.383687,1.280284,19.156675,9.1879959,13.390965,4.770844,50.981018,13.42747,49.820202,91.704117,57.178383,88.528099,12.519646,8.4308596,12.955913,6.1814146,61.973156,82.821091,45.259644,5.9485106,49.043022,2.9082408,48.802315,5.5786438,43.162235,7.524662,35.874413,17.46751,11.189015
2010-01-01,"White, non-Hispanic",100,100,99.052635,97.340202,96.451042,14.957978,14.747028,2.3107336,18.545692,11.61631,22.619408,7.2700772,58.087032,8.9056177,58.189713,94.87674,75.327995,90.887573,16.566236,9.2807112,15.608451,8.0882597,78.095505,75.875397,51.779434,6.1054211,45.860027,2.3936803,39.302197,6.0655594,49.521729,8.7298536,31.219324,18.889935,10.749143
2010-01-01,"Black, non-Hispanic",100,100,92.021408,85.440048,81.150635,7.286097,7.9519734,0.001601966,5.8953032,1.3103309,18.020447,2.4024482,32.977371,8.7184782,30.148008,80.567497,48.543873,72.694283,11.169547,5.178236,5.6135659,1.8592194,51.218842,71.196381,32.268276,4.4807377,48.25494,0.99517292,39.124683,7.9111481,31.609129,2.3511021,28.062658,24.125397,11.400745
2010-01-01,Hispanic,100,100,94.56955,85.764915,83.40255,3.5161259,2.6533535,0.21961637,2.854516,1.2753764,5.9333873,1.2179565,27.756508,4.9356194,24.973034,86.342354,49.087971,81.847832,6.7480283,1.8889313,5.9776888,1.5292354,50.133667,72.517044,39.135334,2.8295803,45.677723,0.92681813,42.06739,5.3114181,38.247707,2.9680965,28.776228,14.299551,14.845688
2010-01-01,Other,100,100,96.436035,91.036362,89.368668,8.1923914,7.7764893,0.51587868,15.573843,5.6481628,15.434943,3.3101966,42.783829,9.1089773,43.101933,86.230087,54.897202,81.423553,11.206174,5.1529913,14.15807,6.4200315,59.84193,75.888969,41.477688,3.9003673,47.950069,2.2388353,38.047798,8.097229,40.561745,6.9765153,27.416637,18.231127,14.667108
2013-01-01,"White, non-Hispanic",100,100,99.303047,97.261398,96.432678,9.556613,12.80838,1.9980311,17.410196,10.683158,21.485538,6.9110265,56.6506,7.6340294,57.388252,94.865417,73.845451,90.314697,15.97612,8.6327152,13.877638,7.6518745,76.31488,75.329247,48.427849,6.1314931,46.271797,1.9874396,38.4991,6.5197949,46.56163,6.4928045,32.096046,18.388687,9.7972431
2013-01-01,"Black, non-Hispanic",100,100,92.984253,87.142761,83.310936,3.2623434,4.7442584,0.34297168,3.4028308,1.7585697,18.99626,1.0140475,35.207653,8.2750788,31.803032,79.4002,45.882957,73.728165,6.9520583,3.4242697,6.1430955,3.5556641,47.647026,75.866325,31.896477,3.4418659,55.999878,1.5600339,37.277893,8.1328478,31.73448,1.4569824,28.993587,31.190104,12.271472
2013-01-01,Hispanic,100,100,95.981606,86.377434,84.847122,2.3517859,0.5713833,0.0,2.4512746,1.1925057,6.0743346,1.2762281,25.125536,6.2026992,21.122581,84.423088,44.436516,81.326012,5.9580307,2.4694967,5.3765984,1.5309981,44.57962,70.457291,29.007776,2.5144536,42.207115,1.2867106,41.539131,5.547296,28.555984,1.6069261,28.516363,14.064447,9.0855827
2013-01-01,Other,100,100,97.321945,93.571548,92.549911,6.7665687,7.5062609,0.33248138,13.777228,6.5636024,16.467726,3.2242317,41.089512,8.4323254,40.650864,87.190239,52.147533,80.712044,10.815705,6.3116002,10.349451,8.2114162,57.18597,71.394516,33.826214,4.634603,46.265812,2.0668395,33.609127,6.1589508,32.720627,2.4633904,28.147566,20.821068,11.86967
2016-01-01,"White, non-Hispanic",100,100,99.713013,99.397797,99.012413,7.9530702,11.324655,1.7085718,17.525068,13.265539,21.216887,7.3284302,60.39056,8.5617208,61.006786,94.556984,72.506523,89.555092,16.357508,7.4117241,15.499016,7.8181729,76.029541,77.47683,46.406288,6.5629096,49.368576,1.7686206,42.083809,5.050549,43.911335,5.8658791,34.364342,20.233484,10.947325
2016-01-01,"Black, non-Hispanic",100,100,99.095398,96.686203,95.932335,3.8300967,3.6697364,0.36063194,4.6528769,1.7204599,23.725584,1.8676077,33.637741,9.8805218,31.43763,81.205261,44.709698,73.147797,8.2906904,4.1369977,6.6069703,1.752321,48.437641,77.124138,31.883305,2.6895137,54.185513,2.5028329,47.82209,5.8779426,31.473648,1.1307917,32.961418,30.696657,11.579701
2016-01-01,Hispanic,100,100,98.054428,94.857277,93.919044,2.731051,1.6233633,0.044787902,4.208601,1.7090709,6.4075675,1.3084725,29.681839,6.5115538,28.100777,84.355392,45.520988,79.967102,6.2974792,2.3213153,5.7539358,2.1492844,48.698841,73.953407,31.463591,3.3352141,45.98011,1.0890075,49.627747,4.7395248,30.199053,1.9915928,31.722668,19.250437,10.810651
2016-01-01,Other,100,100,99.106499,98.566566,98.245064,4.9863915,5.7879276,0.56342083,14.163504,9.6874466,14.752624,2.8870659,48.025833,9.0237503,47.138847,87.136398,53.617233,80.446373,13.22081,5.1550808,13.363235,4.2306933,58.815426,77.946602,37.849598,6.112628,53.826588,1.9202315,44.074192,7.1447721,37.228531,2.439306,33.862671,26.056776,13.210783
2019-01-01,"White, non-Hispanic",100,100,99.764412,99.197929,98.817947,9.8476286,9.8224106,1.5057073,18.552809,11.931346,20.80541,7.9508972,57.269909,8.4284658,60.829376,95.119408,73.680313,89.304756,15.077626,7.827517,16.494579,8.9586716,77.118759,77.678024,47.373848,5.5010843,50.804546,1.4667128,44.519993,4.8569107,44.387341,6.0692854,37.424877,19.968084,10.536789
2019-01-01,"Black, non-Hispanic",100,100,98.934036,97.613075,96.800423,3.0218043,2.6811104,0.0,6.7403669,1.7802424,21.502504,1.2150279,35.114635,7.5333776,33.527397,79.29995,44.996445,71.486664,8.1698685,2.5854628,4.812993,1.6191889,47.17675,74.024033,27.722719,2.8715372,53.666672,1.2397741,47.704445,5.3653917,27.311281,1.08884,33.812111,30.211689,9.8995113
2019-01-01,Hispanic,100,100,99.006355,95.977509,95.54834,1.2101934,1.5690453,0.0,4.3490829,0.98889017,5.8209872,0.60092854,25.509876,4.1407714,24.151184,87.958267,47.573471,84.47686,8.3801546,4.0675497,7.0358939,3.2873783,48.957741,72.176308,32.258339,2.9380207,52.373154,1.1292517,49.924213,4.5124741,31.990429,0.765876,40.095612,14.314176,14.101058
2019-01-01,Other,100,100,99.68438,99.293121,98.843521,6.6203828,5.2763171,0.79454082,15.602171,8.4515753,16.34281,4.2719779,52.68095,10.651175,53.844601,87.459641,54.172703,81.118011,12.229965,7.8514929,11.950709,6.9689202,62.222717,77.631691,38.10059,4.1388621,51.659039,2.3785515,43.668892,7.7924824,37.60043,2.7478211,34.958858,24.282415,10.062714
2022-01-01,"White, non-Hispanic",100,100,99.93959,99.80455,99.313812,7.6320863,8.5432348,1.4915009,23.730701,14.100569,17.062628,8.2939348,61.776604,6.8342824,65.60717,95.527527,73.149162,90.775635,14.42217,6.9049788,15.969694,11.046566,78.771294,76.925865,45.535023,4.7781668,51.39468,1.7181448,42.185318,4.6523438,43.885288,4.1654067,34.583519,19.824434,16.680792
2022-01-01,"Black, non-Hispanic",100,100,99.058571,97.384361,97.214195,3.1995866,1.3559349,0.21828161,13.244276,2.7447615,20.721037,1.0648096,34.749748,8.7735481,39.207043,80.979103,46.339222,72.118813,9.4059143,3.7683725,10.996441,1.5419507,54.749527,81.266991,33.022968,2.1023865,62.641407,1.6058677,56.327888,7.9165921,32.827724,0.61552995,32.700512,35.894829,23.141865
2022-01-01,Hispanic,100,100,99.212471,96.567345,96.069115,1.8094736,0.52667814,0.25581646,8.0464497,3.9535689,5.2897897,0.74712098,27.489744,4.8283539,28.302,88.007172,51.085274,78.170685,6.8768172,2.0963669,9.7545233,4.8471189,56.962532,75.86657,34.028645,2.5332363,50.534897,0.80878109,55.789227,4.2090654,32.84972,3.4847717,37.45858,15.341049,22.839687
2022-01-01,Other,100,100,99.237869,98.335579,98.303223,6.7909999,4.2322874,0.53692585,23.000053,11.349241,14.648199,3.5933087,52.910603,6.1765313,56.768856,88.600746,57.338387,84.244431,12.959043,4.6224875,14.06929,14.313903,66.745605,77.751762,38.779648,5.8743377,55.050411,1.5676868,43.291378,5.361692,38.534462,2.4311817,35.376659,23.457638,21.259096
