date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical
1991-09-01,61.986,84.7155,74.75,40.7391,93.2116,81.3483,58.5754,47.7959,91.4083,87.3978,79.4264,70.9501,50.3542,67.4006,13.7983,77.8645,89.6377,53.1249,33.4061,54.0635,9.3976,102.802,99.7365,199.676,88.5971,75.6516,75.1122,80.3439,72.56,49.0742,652.36,157.965,125.96,64.1741,62.2464,84.0675,85.3103
1991-10-01,61.9254,84.592,74.6676,40.6251,93.2663,81.1635,58.3285,47.3684,91.2646,87.7414,78.6488,69.4109,50.1176,66.5177,13.8071,77.6641,87.5756,53.2336,33.318,53.8798,9.4094,101.987,100.457,202.197,88.859,75.9314,74.773,79.4827,72.3907,48.4964,654.434,160.792,128.787,63.6968,62.1825,84.3131,84.5958
1991-11-01,61.7916,83.902,75.3856,40.69,92.6967,81.2781,58.5005,47.0539,91.3442,86.386,79.0748,72.2415,50.0302,65.4708,13.9863,75.8822,86.4568,52.9942,33.3635,53.8793,9.4166,101.628,99.4564,202.499,87.9369,75.3592,75.0414,80.2235,72.5057,47.6938,659.657,159.881,125.995,64.2399,62.0983,83.1873,84.4483
1991-12-01,61.6283,84.3126,73.3921,40.4782,92.778,80.2368,57.9825,46.4263,90.0466,84.7546,79.5156,69.451,49.8246,65.3382,14.2275,75.0364,82.768,52.9578,33.3336,52.7124,9.4335,101.516,100.066,206.884,88.8037,74.8049,74.9156,80.1316,72.3708,47.2994,659.3,159.21,126.325,63.7119,61.8108,82.054,85.2968
1992-01-01,61.2902,84.1097,73.0419,39.8935,93.2914,79.4885,55.4954,42.6222,90.2662,86.5757,77.9958,67.741,49.0421,61.2504,14.4053,72.6719,82.2735,52.9161,33.1613,51.258,9.4458,101.573,100.146,201.836,88.3961,75.1165,74.8782,80.2515,72.2838,43.3497,658.231,160.048,128.571,62.0036,61.4898,83.5129,84.6771
1992-02-01,61.8351,83.0833,73.5135,40.73,92.9794,80.2983,57.8414,46.2085,90.2235,86.3667,77.8699,68.702,49.7656,63.1004,14.5521,75.4558,81.4478,53.1528,33.7865,53.5264,9.6006,101.977,99.6674,204.889,88.3062,74.5417,75.0477,80.9504,72.2823,46.9554,654.192,158.513,125.852,62.6828,61.9299,83.199,84.5801
1992-03-01,62.4702,83.3713,73.2491,41.1661,93.9492,81.0185,59.031,48.026,90.6713,87.2703,78.2872,68.3582,50.2037,63.5287,14.7518,75.5814,86.0123,53.592,34.1913,54.8729,9.6301,104.868,101.076,204.621,89.7307,74.2687,75.5879,81.5485,72.7976,48.6325,652.77,159.181,128.246,62.7093,62.449,84.1002,85.38
1992-04-01,62.8148,84.3179,74.9549,41.4991,94.2374,81.7841,60.1296,49.0274,91.2381,87.512,78.6454,70.5956,50.4105,62.6652,15.016,75.9866,85.2143,54.0197,34.4211,56.2493,9.6791,102.94,101.262,205.085,90.0794,75.4926,76.131,82.1028,73.3307,49.9072,645.807,159.231,128.633,63.706,62.9312,84.3167,85.6819
1992-05-01,63.1828,84.1161,73.9015,41.9973,94.1152,82.315,62.007,51.4678,91.0392,87.6378,78.2963,69.2084,50.6384,63.4882,15.2646,77.2823,80.8838,54.044,34.7922,58.175,9.724,103.099,100.767,206.328,88.892,74.7162,76.4715,82.9065,73.5186,52.217,651.101,159.52,127.584,64.1457,63.1359,84.331,84.8884
1992-06-01,63.3946,83.2122,72.8227,41.9954,94.8173,81.9175,61.1458,50.5038,90.8958,87.377,79.4597,67.1575,50.6593,62.1583,15.4442,77.7447,74.9842,54.2814,34.8696,57.4184,9.8296,102.969,101.88,209.366,89.9463,74.7773,76.4316,82.5439,73.5826,51.0128,655.128,161.181,130.768,62.4699,63.1736,84.307,86.1352
1992-07-01,63.9629,84.3223,73.2703,42.4941,95.416,82.9847,62.7656,53.628,91.6466,88.2701,79.692,67.6847,51.0656,63.239,15.5832,79.1608,84.5714,54.6982,35.2681,58.7715,9.9651,103.025,101.902,210.486,90.422,75.4929,76.9056,83.0818,74.0304,53.6423,663.417,161.944,129.567,62.9398,63.7408,84.9685,86.8361
