date,ASSETS,NW,LIAB,DPI
2018-01-01,4.993627518979382,5.5165328232948285,1.6149754181860265,3.3200200893902743
2018-04-01,4.332167792017039,4.8262951981275615,1.1157547075806518,3.166486077915609
2018-07-01,4.235631259479722,4.681477561856151,1.304889465050274,3.3995056344438224
2018-10-01,-0.9833573368621007,-1.2771362854349544,0.9721798115803093,3.6584316659749927
2019-01-01,3.419401907427,3.7442130377852267,1.240116422623272,3.343165302194495
2019-04-01,3.9597269634386922,4.339000647470903,1.4003338467120763,2.1328095292245886
2019-07-01,3.036697090887519,3.275964282650645,1.411466538669215,1.8713159839016003
2019-10-01,9.317745573732395,10.497097999820815,1.642274916053621,1.7170489500794472
2020-01-01,-0.8561394366623287,-1.2509763217831482,1.8585001951625157,1.5744106059021323
2020-04-01,4.464810009328901,4.835347544079216,1.8918986720525055,12.506398113609428
2020-07-01,6.610497124749015,7.303330071230718,1.8178759696420466,6.891692675348859
2020-10-01,10.083571343559106,11.151621475274375,2.5269172213362445,3.980218014074244
2021-01-01,19.028933287346316,21.485850653479723,2.6524535770107605,15.08971948589819
2021-04-01,14.083688143506091,15.694198536609804,2.5777262424919734,-4.309992286132447
2021-07-01,11.930785050193915,13.251859692279355,2.300032045670486,-0.903024482892778
2021-10-01,7.672790633878024,8.465070742386317,1.5957216444916655,-0.16537331767411123
