date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical,ENS
1984-08-01,9.201906504496705,8.03707932353046,1.4550210626443905,13.934292678476012,3.288904253247038,2.4600414156138672,9.715306874429807,8.856129653322364,-0.12100060815738445,0.47838123120431675,0.4048002740616674,-3.6226266089460557,15.811610064712633,4.948322876025468,25.962607377463364,15.535536205093292,11.709439435021118,8.875840984255333,15.398728180752496,14.666961021978997,22.292313340676206,8.479466317981487,2.85151195667801,-2.6834818888678114,4.538516274158755,6.198479679001023,8.185540912813627,6.850646027611318,8.722128405065433,14.427876269198991,-1.2470315487841388,3.773902917381733,4.2572463768115965,3.297794993921155,8.254649187321462,0.7431693989071064,4.242646176193943,
1984-09-01,6.8282901201146995,8.022616976467356,0.637328770038903,10.577899121425327,1.9515041411177547,0.9658345965593007,6.2592309964552895,2.747653031141062,-0.9307939109836072,-0.12070561504640143,0.059603945642594525,-4.398534877423465,13.80509325528234,2.952003495071831,19.9088001088954,14.458443785593289,10.655737704918034,6.8067263355265695,11.087776109129589,8.831736668969725,18.281517906246968,0.42180725930880403,1.4277033800525807,-4.449930469836405,1.1246196345687132,5.780784955267926,6.4486273691894525,5.84817898838228,6.691422859599228,6.868999427760003,-5.177511722733308,6.278553814519072,4.395337778165964,2.03990634305784,6.386728672476449,0.2016027486581473,2.4089115804130756,
1984-10-01,6.368620165378491,3.4514567012563946,2.1988079481656264,9.478549716398721,2.1866109434647285,2.3615486202027247,4.017430657879806,-1.1947186380398378,1.761706249107009,3.5784710904357864,0.17743548431901068,1.5362297091118249,13.650820486268866,2.8020019864067436,19.947517157852236,14.156934118323239,11.148900349295122,4.619033982651266,9.811692846016307,7.2545631079818484,17.944553257217464,-1.59612645713475,-0.07248387848470816,-7.4396841946912655,0.08073420966481226,2.2462324608302,5.864089727170407,3.9395082203937504,6.641099074134549,4.070305272895469,-5.275675466150198,6.371248169838961,1.921816368213558,3.5449901578369136,5.567847537197523,3.7263776117638203,0.7313316231515543,
1984-11-01,6.106763196299947,3.5207612848835446,2.885251990940807,9.33257408150756,1.7987730341120889,2.5147753757533975,5.51253732067869,3.6003333109848823,1.428542578596348,2.1278085989845374,1.0981304770166567,3.5776304827166205,13.460181008536098,7.0760259027514705,20.1182250269601,12.479026298630714,18.52156372085898,4.385406343469311,9.444879822872831,8.962979043708152,15.310276249961152,-0.976185196277235,0.006337180236459794,-8.331742255752383,0.12755576432212923,1.9438563136441545,5.772858455734142,3.983023455176604,6.4895816764752645,8.807958014739103,-6.3084548742558315,5.965386777688297,1.6272006246012882,5.4612502808244034,5.453162494473873,2.6342638553918496,1.0281219873497838,
1984-12-01,6.065398454748294,4.818415506395479,-3.3511319948739793,8.64474685045067,2.5002708679884966,2.8701871253643096,4.229845998834358,3.5936946675861448,2.3922836452247243,4.591304114765848,1.7301994178216207,1.635651371444946,12.475216340692707,8.711925908408947,19.77303808121187,10.853310489998158,3.319365445942468,3.5816804389266155,7.927494675366709,7.006052745352354,13.379047384766762,-3.789291981932741,0.4743899388071293,-7.941366651370418,0.780691030574121,1.0711311201870632,5.351511375764884,4.541637989400038,5.678566486549297,8.136860072066842,-5.869420303656369,6.894586016701076,1.4992561309209451,3.602777811502178,4.960103266653104,4.728037719740996,1.838202000317679,
1985-01-01,4.028574026813292,-2.1917748302369477,1.0903490996746923,6.078688761501061,0.9134680796383909,0.26934812721282064,0.6777611669312789,-0.2503137265372657,0.1401544319627135,2.660595167188551,-0.30041191028747916,-4.804759801866232,10.043604100049297,4.828070305067844,17.894601707426673,8.468350101945399,0.1936917006041039,1.8364392584266698,5.411344343602575,5.7884461440114165,10.326354587915777,-4.730877679007694,-0.8533089998713161,-8.073272480738957,-1.3157133211150862,-0.17609265139407748,3.433272232546636,2.3270408745432514,3.871348698171362,4.579583228552275,-5.893852367741648,6.850784185466341,1.0186043400571387,-0.8859870957816152,2.888405510513481,2.766403538544071,-0.7890516349435939,
1985-02-01,2.49903338552413,0.729103155537203,6.8624758888486515,3.7410182927191116,0.3709807804382903,1.106708624173014,-0.5678732770274197,-2.210374143494187,1.7526045877850338,4.347068303029178,-0.578226601488474,3.1094295468134137,8.707054615407728,5.145020159072722,14.822822520835155,5.265554440017861,4.239163791580247,1.5287272790569073,2.2741489017507277,3.1875533630585373,5.350921944464693,-8.133328753212353,-1.814261784337723,-9.25543720635974,-2.2679844290893314,2.6907974189007255,3.2396898951855935,0.1925212379674246,4.463157683643404,2.077491059713399,-8.800478033854386,7.19239196729089,0.2482443555085645,5.0665047307488775,2.7201407040452263,4.129495206959599,-1.5302915765174618,
1985-03-01,2.8251074085717143,1.7206971978745988,-0.49705515783103893,4.340610992671157,0.295993850515619,0.6767395892659511,0.2720215465654485,-3.035055225837857,0.8469466854239105,3.745033909734552,-0.0792772105356665,-2.385294705294705,9.004016144104021,4.887395565053976,14.266051633063004,5.645564189680119,3.899122497470997,0.8282196633422334,2.609305103109927,5.497411038889499,4.519912396979997,-7.90098720732213,-2.1866895750631055,-9.118254233046963,-3.7981124532050714,0.7369138410290743,3.6238726782143127,3.5430306454665494,3.6583222520302883,1.879617880347828,-8.438850022840672,8.53861505441127,1.006000037855137,2.01594870395001,2.3741950892748775,3.341252403185946,-1.5919607707714722,
1985-04-01,1.9559132525733824,-0.4862990804883949,0.9937912839942165,2.869346600993339,0.219217985584641,-0.274228376167307,-0.9877774333957645,-2.076666628214152,-0.009311333755435136,2.84004581780839,0.3516777602415422,-2.9968055487094247,6.984222913380789,7.390820283053512,11.006511718654721,2.928615259303191,-0.5723080325874541,0.21758265881275385,1.270210315259579,4.955966715539439,1.6699829448550307,-9.606563704107419,-2.1124549178246133,-8.77427997320831,-2.435935150683144,0.4694927713795538,3.5666515272828825,2.742872382548911,3.8961232456271144,4.258350586762494,-9.17014569543666,4.947434431369668,-1.9427078473453485,3.785611115198595,1.5505472083101601,2.726089776449503,-0.046397791465124794,
1985-05-01,1.8294711374891248,-1.7834484095780923,-0.15868337017931333,2.6531596719729933,0.28187614578121245,0.2750705129995312,-0.0743682100173726,-0.7423070213899319,0.3924587240614841,3.06630857688317,1.173505362404037,-3.7729995653625448,6.379166605724662,8.457495150902329,9.43913267198775,2.745275625781307,-4.844753506219767,-0.4782440603967375,0.33852355721541993,5.723315885407176,1.035532136718409,-13.558333420286528,-1.6743652293579214,-7.063732368362762,-2.9756846609120813,-0.6414600615735178,2.7974522843878358,2.935275876541832,2.7432011740718076,5.49807566236904,-6.972829873978171,4.943325402337928,-1.740162885182639,2.7378303680721805,1.1492068646153486,3.1527128469168497,-0.20144392228945707,
