date,RUT,MA
2018-12-14,1410.810059,1598.3620977193677
2018-12-17,1378.140015,1597.7837975770751
2018-12-18,1377.180054,1597.2708730830038
2018-12-19,1349.22998,1596.5547068221342
2018-12-20,1326.0,1595.6735999288537
2018-12-21,1292.089966,1594.7065642213438
2018-12-24,1266.920044,1593.6268807747035
2018-12-26,1329.810059,1592.7679877865612
2018-12-27,1331.819946,1591.9335604822134
2018-12-28,1337.920044,1591.1181061897234
2018-12-31,1348.560059,1590.3458536916996
2019-01-02,1355.910034,1589.5829287114625
2019-01-03,1330.829956,1588.7739166403162
2019-01-04,1380.75,1588.104904743083
2019-01-07,1405.369995,1587.5230471897235
2019-01-08,1426.550049,1587.01249413834
2019-01-09,1438.810059,1586.5334429486165
2019-01-10,1445.430054,1586.0734429288539
2019-01-11,1447.380005,1585.6279094466404
2019-01-14,1432.810059,1585.1259727272727
2019-01-15,1445.219971,1584.5664072411066
2019-01-16,1454.699951,1584.0238379920947
2019-01-17,1467.25,1583.605972494071
2019-01-18,1482.5,1583.1942727549406
2019-01-22,1457.449951,1582.7228101897233
2019-01-23,1454.26001,1582.1561303675887
2019-01-24,1464.410034,1581.5997666916996
2019-01-25,1482.849976,1581.094391256917
2019-01-28,1473.540039,1580.5875533873518
2019-01-29,1471.449951,1580.0728494624504
2019-01-30,1486.939941,1579.5941138181818
2019-01-31,1499.420044,1579.204035
2019-02-01,1502.050049,1578.884786395257
2019-02-04,1517.540039,1578.657751055336
2019-02-05,1520.22998,1578.422019770751
2019-02-06,1518.02002,1578.3064071225294
2019-02-07,1505.630005,1578.363877632411
2019-02-08,1506.390015,1578.360794513834
2019-02-11,1518.97998,1578.4043123359681
2019-02-12,1538.22998,1578.6985413517787
2019-02-13,1542.939941,1578.9558535059289
2019-02-14,1545.109985,1579.1698060948615
2019-02-15,1569.25,1579.4634821778657
2019-02-19,1574.469971,1579.6704782055333
2019-02-20,1581.660034,1579.846209758893
2019-02-21,1575.550049,1579.9726919723319
2019-02-22,1590.060059,1580.2101230750989
2019-02-25,1588.810059,1580.4353013083005
2019-02-26,1577.47998,1580.623008778656
2019-02-27,1581.050049,1580.7489380592885
2019-02-28,1575.550049,1580.813049098814
2019-03-01,1589.640015,1581.023207375494
2019-03-04,1575.439941,1581.2721796679843
2019-03-05,1568.280029,1581.5128516600791
2019-03-06,1536.819946,1581.5272781501978
2019-03-07,1523.630005,1581.4386613754941
2019-03-08,1521.880005,1581.2792940000002
2019-03-11,1548.880005,1581.1779105059288
2019-03-12,1549.829956,1581.0904005652176
2019-03-13,1555.880005,1580.9273175217393
2019-03-14,1549.640015,1580.7240762411066
2019-03-15,1553.540039,1580.571862762846
2019-03-18,1563.930054,1580.491309383399
2019-03-19,1554.98999,1580.4058152924904
2019-03-20,1543.160034,1580.2362895415022
2019-03-21,1562.410034,1580.2040760039524
2019-03-22,1505.920044,1579.9491748577072
2019-03-25,1512.859985,1579.6865659090909
2019-03-26,1528.170044,1579.6245107667985
2019-03-27,1522.22998,1579.672534577075
2019-03-28,1535.099976,1579.6384634505928
2019-03-29,1539.73999,1579.7419023596838
2019-04-01,1556.060059,1579.9119815296444
2019-04-02,1553.319946,1580.006407980237
2019-04-03,1560.910034,1580.276684679842
2019-04-04,1567.48999,1580.49541972332
2019-04-05,1582.560059,1580.6966055928854
2019-04-08,1579.0,1580.839174549407
2019-04-09,1559.680054,1581.0224947272727
2019-04-10,1581.550049,1581.2876729407117
2019-04-11,1579.140015,1581.4288190316208
2019-04-12,1584.800049,1581.579016660079
2019-04-15,1579.170044,1581.665341118577
2019-04-16,1582.790039,1581.7968827351779
2019-04-17,1567.599976,1581.8149457667985
2019-04-18,1565.75,1581.7594119762846
2019-04-22,1560.040039,1581.6664474703557
2019-04-23,1585.089966,1581.7109930039526
2019-04-24,1588.130005,1581.805894229249
2019-04-25,1575.609985,1581.859214347826
2019-04-26,1589.900024,1582.0039574110672
2019-04-29,1598.359985,1582.1932460039527
2019-04-30,1591.209961,1582.324945395257
2019-05-01,1576.380005,1582.4045501976284
2019-05-02,1582.650024,1582.5656965177866
2019-05-03,1614.02002,1582.817435901186
2019-05-06,1614.97998,1583.0548665177866
2019-05-07,1582.310059,1583.1961708656127
2019-05-08,1574.969971,1583.2332064189723
2019-05-09,1570.060059,1583.1980685059289
2019-05-10,1572.98999,1583.1451039802373
2019-05-13,1523.0,1582.8563686086957
2019-05-14,1543.060059,1582.6166456758892
2019-05-15,1548.27002,1582.3853412529643
2019-05-16,1557.23999,1582.2149856166009
2019-05-17,1535.76001,1581.9597288735176
2019-05-20,1524.959961,1581.5984243913042
2019-05-21,1545.25,1581.2820606007906
2019-05-22,1531.630005,1580.9065665296444
2019-05-23,1501.380005,1580.368780221344
2019-05-24,1514.109985,1579.9295311897235
2019-05-28,1504.02002,1579.4410333043477
2019-05-29,1489.949951,1578.894511486166
2019-05-30,1485.530029,1578.3356181067195
2019-05-31,1465.48999,1577.710479632411
2019-06-03,1469.97998,1577.0068827549408
2019-06-04,1508.560059,1576.5126142727274
2019-06-05,1506.790039,1575.9545512648222
2019-06-06,1499.290039,1575.3455395810277
2019-06-07,1514.390015,1574.7517056284585
2019-06-10,1523.560059,1574.1493740395258
2019-06-11,1519.109985,1573.5617849683795
2019-06-12,1519.790039,1572.9582278498024
2019-06-13,1535.800049,1572.4092950237152
2019-06-14,1522.5,1571.7776742766796
2019-06-17,1532.75,1571.209334201581
2019-06-18,1550.22998,1570.6777532094861
2019-06-19,1555.579956,1570.170519699605
2019-06-20,1563.48999,1569.6607569683795
2019-06-21,1549.630005,1569.0922986837945
2019-06-24,1530.079956,1568.3930495375494
2019-06-25,1521.040039,1567.7293739960473
2019-06-26,1521.890015,1567.0823781818183
2019-06-27,1546.550049,1566.6438012608696
2019-06-28,1566.569946,1566.240796980237
2019-07-01,1566.569946,1565.9487811501976
2019-07-02,1560.540039,1565.614868181818
2019-07-03,1572.119995,1565.3344335928855
2019-07-05,1575.619995,1565.020323035573
2019-07-08,1561.390015,1564.6288999960475
2019-07-09,1562.589966,1564.1668841304347
2019-07-10,1565.050049,1563.65700270751
2019-07-11,1557.920044,1563.0772401304348
2019-07-12,1570.0,1562.5807184110674
2019-07-15,1561.819946,1562.0991370355732
2019-07-16,1562.0,1561.5921013478262
2019-07-17,1550.780029,1561.0533664584977
2019-07-18,1555.619995,1560.5675164822135
2019-07-19,1547.900024,1560.0166864980238
2019-07-22,1544.780029,1559.4353032332015
2019-07-23,1554.959961,1558.8568443478262
2019-07-24,1580.420044,1558.3968047628457
2019-07-25,1561.449951,1557.8554605612649
2019-07-26,1578.969971,1557.455342063241
2019-07-29,1569.030029,1556.9961724110674
2019-07-30,1585.599976,1556.5623383833993
2019-07-31,1574.609985,1556.2116269960475
2019-08-01,1550.76001,1555.8070025098814
2019-08-02,1533.660034,1555.2649471146246
2019-08-05,1487.410034,1554.5461725059288
2019-08-06,1502.089966,1553.8346704901187
2019-08-07,1500.689941,1553.1521406324111
2019-08-08,1532.130005,1552.5506384426878
2019-08-09,1513.040039,1551.8579111304348
2019-08-12,1495.900024,1551.1030495454545
2019-08-13,1510.579956,1550.3903615652175
2019-08-14,1467.52002,1549.523642083004
2019-08-15,1461.650024,1548.679096936759
2019-08-16,1493.640015,1547.8927730592884
2019-08-19,1508.849976,1547.2531680474308
2019-08-20,1498.01001,1546.511112750988
2019-08-21,1509.849976,1545.7873974347826
2019-08-22,1506.0,1545.0257771146246
2019-08-23,1459.48999,1544.0038005968377
2019-08-26,1476.0,1543.0293340395256
2019-08-27,1456.040039,1541.9976739209487
2019-08-28,1472.709961,1540.9978316956522
2019-08-29,1496.719971,1540.0820606956522
2019-08-30,1494.839966,1539.1588192806323
2019-09-03,1472.280029,1538.1213885652173
2019-09-04,1484.76001,1537.1427720988142
2019-09-05,1510.75,1536.2336811897235
2019-09-06,1505.170044,1535.3316655335968
2019-09-09,1524.22998,1534.5276337391304
2019-09-10,1541.609985,1533.8443926877471
2019-09-11,1575.709961,1533.3010326363637
2019-09-12,1575.069946,1532.738186687747
2019-09-13,1578.140015,1532.1837993003953
2019-09-16,1584.599976,1531.6656175810278
2019-09-17,1578.290039,1531.127949964427
2019-09-18,1568.339966,1530.5217048853754
2019-09-19,1561.469971,1529.9601235494072
2019-09-20,1559.76001,1529.3624557193675
2019-09-23,1558.25,1528.790597798419
2019-09-24,1533.589966,1528.05308756917
2019-09-25,1550.650024,1527.4140760197627
2019-09-26,1533.329956,1526.734273687747
2019-09-27,1520.47998,1525.9898860237156
2019-09-30,1523.369995,1525.324905826087
2019-10-01,1493.430054,1524.5458545415017
2019-10-02,1479.630005,1523.6883844189724
2019-10-03,1486.349976,1522.9506768537549
2019-10-04,1500.699951,1522.336684411067
2019-10-07,1497.790039,1521.6509136600791
2019-10-08,1472.599976,1520.9619410988141
2019-10-09,1479.459961,1520.358581320158
2019-10-10,1485.359985,1519.7887788102767
2019-10-11,1511.900024,1519.3541148932807
2019-10-14,1505.430054,1519.0775141818183
2019-10-15,1523.300049,1518.9902416284585
2019-10-16,1525.060059,1518.904787102767
2019-10-17,1541.839966,1518.8603206996047
2019-10-18,1535.47998,1518.617791110672
2019-10-21,1552.410034,1518.47079529249
2019-10-22,1550.869995,1518.431743889328
2019-10-23,1552.859985,1518.4745104743083
2019-10-24,1548.48999,1518.5100440316205
2019-10-25,1558.709961,1518.6370005335968
2019-10-28,1571.930054,1519.0450246561265
2019-10-29,1577.069946,1519.348067826087
2019-10-30,1572.849976,1519.6999651778654
2019-10-31,1562.449951,1520.0364864901187
2019-11-01,1589.329956,1520.363324201581
2019-11-04,1597.400024,1520.7032055849802
2019-11-05,1599.609985,1520.919134458498
2019-11-06,1589.540039,1521.083403466403
2019-11-07,1593.98999,1521.2671188023717
2019-11-08,1598.859985,1521.436130695652
2019-11-11,1594.77002,1521.4859725375493
2019-11-12,1595.119995,1521.552810616601
2019-11-13,1589.180054,1521.709688339921
2019-11-14,1588.790039,1521.9863681818183
2019-11-15,1596.449951,1522.3090950671935
2019-11-18,1592.339966,1522.6641541818183
