date,AVERAGE,MEDIAN
2001-09-01,344.1573684800897,281.69102860347726
2001-10-01,351.77397636465963,290.96514800225106
2001-11-01,352.02857046223227,286.012579481398
2001-12-01,390.66153480475384,307.8146417657046
2002-01-01,386.7113969508752,318.87925239977415
2002-02-01,384.5098650168729,324.4142834645669
2002-03-01,383.3722348993289,309.60135570469794
2002-04-01,382.9187519466073,314.0907430478309
2002-05-01,380.23278086763065,303.85047830923247
2002-06-01,377.84028460255695,319.7884469149528
2002-07-01,365.0187717934481,294.2942898389784
2002-08-01,369.6530536801329,298.8293325954622
2002-09-01,359.034755801105,295.9993922651934
2002-10-01,385.07814009928296,314.9882581356867
2002-11-01,378.0858003309432,301.66951571980144
2002-12-01,396.7750182421227,329.700351575456
2003-01-01,382.4031216290589,301.836
2003-02-01,384.7543549972693,308.2650573457127
2003-03-01,378.6878371335505,303.31076872964167
2003-04-01,389.52937540805226,311.19652883569097
2003-05-01,400.85794659400545,321.57459400544957
2003-06-01,393.8491518780621,308.7369863908547
2003-07-01,407.700176182708,312.1762218597064
2003-08-01,394.0545828819068,311.4829794149513
2003-09-01,414.7800323974082,312.9185313174946
2003-10-01,396.1393556756757,316.6830681081081
2003-11-01,438.93007479674793,338.8088650406504
2003-12-01,415.82289962018444,320.99759088442755
2004-01-01,427.1663909287257,341.43975161987044
2004-02-01,428.1143265306123,355.97844038668103
2004-03-01,420.37991462113126,337.59245250800427
2004-04-01,432.364014893617,356.905014893617
2004-05-01,415.6430163934426,337.9094722369117
2004-06-01,418.7835276752768,343.20519346336323
2004-07-01,444.9451488912355,338.4897909186906
2004-08-01,433.56073456464384,347.3901403693932
2004-09-01,427.87915323854656,336.3270015797788
2004-10-01,457.8926432687271,362.3929345206915
2004-11-01,447.539032460733,354.77582198952877
2004-12-01,450.9299779295849,364.16997162375196
2005-01-01,447.9265233350813,353.1180471945464
2005-02-01,454.9571824817518,373.4394306569343
2005-03-01,452.20747853078115,358.0496368339369
2005-04-01,448.41103597122304,366.5151428571429
2005-05-01,446.23285185185193,354.47098148148154
2005-06-01,433.89894910025714,350.87465089974296
2005-07-01,446.88410849539406,354.04714022517913
2005-08-01,453.3687372708758,368.99604684317717
2005-09-01,454.87960563380284,364.9968531187123
2005-10-01,444.8747469879519,369.5672710843374
2005-11-01,449.69897975708506,363.39465789473684
2005-12-01,445.08540243902434,365.9454756097561
2006-01-01,458.1575189107413,372.76669894099854
2006-02-01,467.7166804227479,380.97870558631104
2006-03-01,451.3943783783784,360.7529369369369
2006-04-01,464.81246054590576,384.9719702233251
2006-05-01,438.0721007407408,355.0485688888889
2006-06-01,453.7209462789551,361.78666929521927
2006-07-01,461.72750270270274,353.15553611793615
2006-08-01,469.70359391858756,361.04855517410493
2006-09-01,440.6299812715623,337.24110990635785
2006-10-01,458.88644598612484,374.5279207135778
2006-11-01,437.10047047146406,359.65669280397026
2006-12-01,451.557425173439,366.002325074331
2007-01-01,469.12104576713307,379.3528100545412
2007-02-01,476.85872657850905,371.99430365751186
2007-03-01,484.1675678834392,385.98179516147883
2007-04-01,455.1942618271194,354.13733876508326
2007-05-01,449.5266108516992,355.61517487460867
2007-06-01,444.02133888803564,341.1648460297957
2007-07-01,445.0037474975876,356.75650483199627
2007-08-01,437.4013995969546,343.33033854855546
2007-09-01,423.02498537100104,347.8881039858027
2007-10-01,447.9809300455642,338.47769077612287
2007-11-01,454.95770136599157,357.73347036069595
2007-12-01,408.7021196366337,327.2203679369251
2008-01-01,406.9666742467311,332.3227515633883
2008-02-01,429.4568228519601,349.7535147595811
2008-03-01,406.5416882095089,324.1307687984714
2008-04-01,441.6056697839617,346.2031086056893
2008-05-01,415.48568632519664,319.486478451937
2008-06-01,412.99590247469325,323.1961922171697
2008-07-01,414.269100398247,325.62456947500505
2008-08-01,365.7808257944369,304.47292843906047
2008-09-01,396.0870616089916,310.68898040524175
2008-10-01,381.87153523292375,297.1350777797786
2008-11-01,412.2048892550311,314.8728144050841
2008-12-01,377.7472629716308,329.6494548775615
2009-01-01,350.52162373367815,298.20069621062504
2009-02-01,367.8480892395131,298.28980786359585
2009-03-01,368.6585560554561,291.0387599960509
2009-04-01,381.8952954417557,310.2722341024198
2009-05-01,387.56997979949125,313.75384744875055
2009-06-01,384.5490247713185,300.44641782533506
2009-07-01,379.9738083408018,300.2227581947612
2009-08-01,360.52392486818576,289.6218186198653
2009-09-01,405.7202228097551,302.71787895485
2009-10-01,368.3293634382937,300.33224441083
2009-11-01,383.2771654416863,305.2822853973097
2009-12-01,388.9851714988261,311.1322284428268
2010-01-01,394.76444087554864,303.9435462210469
2010-02-01,395.6409151937105,309.0204825113846
2010-03-01,364.6203178775083,311.77880357118244
2010-04-01,374.5104009467499,288.39377640372646
2010-05-01,388.8847619833347,318.8827379479141
2010-06-01,355.47588466038127,303.9616543940541
2010-07-01,349.03218461453787,293.6522267225049
2010-08-01,371.64020667668285,313.29490637253105
2010-09-01,374.1877082389134,315.04725804457996
2010-10-01,351.0892383099158,281.8098367251761
2010-11-01,388.6016242921715,302.9354515248877
2010-12-01,401.7061908303259,332.16158117337886
2011-01-01,377.8723621056838,329.0792678330601
2011-02-01,358.42419784102776,300.18708502591403
2011-03-01,352.26153660271984,297.82848474271367
2011-04-01,360.87832427769825,301.5595368731826
2011-05-01,350.90685772954987,296.54100653201397
2011-06-01,365.1899752793259,321.1960163386821
