date,NetDomInv,NetBusInv,NetHHInv,NetGovInv,GrossInv_NIPA,GrossInv,CFC,CFCBus,CFCHH,CFCGov,GrossBusInv,GrossHHInv,GrossGovInv,GDP
2017-07-01,5.14263,2.94987,1.52937,0.663391,19.4667,21.2424,16.0998,10.4837,2.81091,2.8051,13.4336,4.34028,3.46849,100
2017-10-01,5.35126,3.02337,1.59446,0.73343,19.4853,21.3564,16.0052,10.4252,2.79612,2.78386,13.4486,4.39058,3.51729,100
2018-01-01,5.45409,3.14077,1.58688,0.726451,19.5112,21.4389,15.9848,10.3851,2.82084,2.77885,13.5259,4.40771,3.5053,100
2018-04-01,5.3404,2.94756,1.62193,0.770913,19.5212,21.3513,16.0109,10.3915,2.83575,2.78368,13.339,4.45768,3.55459,100
2018-07-01,5.74467,3.40321,1.56298,0.778485,19.4469,21.7766,16.0319,10.4071,2.84265,2.78214,13.8104,4.40562,3.56063,100
2018-10-01,5.58664,3.36406,1.4905,0.732078,19.2579,21.7035,16.1169,10.4645,2.85691,2.79547,13.8286,4.3474,3.52755,100
2019-01-01,5.66739,3.35618,1.48419,0.827028,19.6417,21.8703,16.2029,10.5414,2.86194,2.79957,13.8976,4.34612,3.6266,100
2019-04-01,5.60864,3.29761,1.49846,0.812573,19.5923,21.8144,16.2057,10.5617,2.85551,2.78852,13.8593,4.35397,3.60109,100
2019-07-01,5.6122,3.28093,1.49921,0.832063,19.7106,21.7601,16.1479,10.5259,2.85233,2.76966,13.8069,4.35154,3.60172,100
2019-10-01,5.19186,2.89357,1.48152,0.816778,19.4716,21.3141,16.1222,10.508,2.85578,2.75847,13.4015,4.3373,3.57524,100
2020-01-01,4.80082,2.28231,1.61739,0.901117,19.433,21.248,16.4472,10.7289,2.91344,2.80491,13.0112,4.53083,3.70603,100
2020-04-01,2.33607,-0.0298195,1.3578,1.00808,17.8644,20.4304,18.0943,11.8075,3.20682,3.07999,11.7777,4.56462,4.08806,100
2020-07-01,4.92983,2.31502,1.71103,0.903784,18.7483,21.7462,16.8163,10.9347,3.01457,2.8671,13.2497,4.7256,3.77088,100
2020-10-01,5.3696,2.46594,1.98417,0.91949,18.8256,22.1172,16.7476,10.8679,3.02585,2.85385,13.3339,5.01002,3.77334,100
2021-01-01,4.94919,2.02394,2.10498,0.820268,18.2555,21.4816,16.5324,10.6745,3.03299,2.82491,12.6985,5.13797,3.64518,100
2021-04-01,4.36779,1.65858,1.97572,0.733498,17.2379,20.7637,16.3959,10.5481,3.04768,2.8002,12.2066,5.02339,3.53369,100
2021-07-01,4.75621,2.16672,1.92379,0.665698,17.3451,21.1927,16.4364,10.5621,3.08467,2.7897,12.7288,5.00846,3.45539,100
2021-10-01,5.7171,3.10621,1.97704,0.633857,18.2799,22.0279,16.3108,10.4779,3.07252,2.76044,13.5841,5.04956,3.3943,100
2022-01-01,5.8895,3.24534,2.04388,0.600297,17.9783,22.4337,16.5442,10.5985,3.15714,2.78856,13.8438,5.20102,3.38886,100
2022-04-01,5.23545,2.86438,1.81872,0.552339,17.9551,21.9132,16.6778,10.6782,3.19102,2.8086,13.5426,5.00974,3.36094,100
2022-07-01,4.76553,2.6761,1.51033,0.579096,17.9744,21.5697,16.8042,10.7742,3.21476,2.81523,13.4503,4.72509,3.39433,100
2022-10-01,4.8615,2.94458,1.25092,0.665996,18.2958,21.6375,16.776,10.7736,3.19241,2.81003,13.7182,4.44333,3.47603,100
2023-01-01,4.32705,2.39988,1.22708,0.7001,17.883,21.1372,16.8102,10.8533,3.14446,2.81236,13.2532,4.37154,3.51246,100
2023-04-01,4.42531,2.44055,1.19157,0.79319,18.1703,21.2639,16.8385,10.8969,3.13458,2.80711,13.3374,4.32615,3.6003,100
2023-07-01,4.61886,2.59611,1.18758,0.835175,,21.3399,16.7211,10.83,3.12238,2.76868,13.4261,4.30996,3.60385,100
