date,Noncorporate Assets,Noncorporate Debt,Noncorporate Liabilities,Noncorporate Net Worth,Noncorporate GVA,Corporate Assets,Corporate Debt,Corporate Liabilities,Corporate Net Worth,Corporate GVA
2013-04-01,458.54239272611153,136.79745019878175,198.41609267821354,260.12630004789804,100.0,375.2543758845171,87.78296656083327,192.34504106517323,182.90933481934383,100.0
2013-07-01,466.8744707532225,136.1165027601721,197.6898939888678,269.18457676435474,100.0,391.18959314537,89.46329258560564,196.07598146508354,195.11361168028648,100.0
2013-10-01,472.9208281260622,137.16527486548247,199.25629709421196,273.66456371346845,100.0,395.897705786957,89.64670211647453,195.88904793594835,200.00866959843196,100.0
2014-01-01,467.16428707845984,136.97029967828456,198.87888310791388,268.285403970546,100.0,394.73627732353617,90.73155574829833,196.83948944493935,197.89678787859683,100.0
2014-04-01,469.7158038551221,136.6258373326518,198.1671289153091,271.548674939813,100.0,396.7633831591926,89.93037333929958,194.03182131567,202.7315618435226,100.0
2014-07-01,475.93149874647935,137.28862047837194,198.8922970563167,277.03920169016266,100.0,390.8600602076796,89.20932380061785,193.36362918228505,197.49643102539457,100.0
2014-10-01,484.10588432354257,139.1849749944762,201.15131379609426,282.95457052744825,100.0,391.2532798071157,89.84667781039022,195.68735040826124,195.56591840754373,100.0
2015-01-01,492.22861035575045,141.0798360326017,203.39283368069198,288.83577667505847,100.0,398.4932087773608,91.62202558693807,198.19400049311017,200.29919732624717,100.0
2015-04-01,498.5659243538053,141.77408557934646,203.5789886077238,294.9869357460815,100.0,404.6876452773056,93.62997471732068,202.84898027253408,201.83865410471574,100.0
2015-07-01,505.05000172568504,143.61613614176255,205.41270375410465,299.63729797158044,100.0,398.4633903532178,93.59564396518711,206.11483005407365,192.34854953329506,100.0
2015-10-01,512.826331982819,146.88562115680037,209.1852587746647,303.6410421237371,100.0,399.12497739411145,94.42707055424155,207.17725403556773,191.9477233585437,100.0
2016-01-01,513.5901938590256,149.08655668029732,213.30774593990793,300.28244791911766,100.0,397.35509821548277,96.39341927044838,208.18407925992898,189.1710189555538,100.0
2016-04-01,529.4882079654967,152.91696876721196,219.59360345530413,309.8946045101926,100.0,408.94213986324803,97.49982919234044,212.81256047751452,196.12957938573356,100.0
2016-07-01,535.0672186438122,154.43783643622638,222.74565567738009,312.3215937985509,100.0,415.88013285653415,97.4531769638817,213.06151118162137,202.81861098722297,100.0
2016-10-01,534.7740054314222,155.9281231821924,225.54168569311642,309.2323502416321,100.0,415.8517593030895,95.92192033652591,214.15693600330638,201.6948232997831,100.0
2017-01-01,525.4574228118508,155.2063551501859,223.9274495293967,301.53000300163757,100.0,412.5365673289344,96.19097389624876,209.94864395786726,202.5879233710671,100.0
2017-04-01,542.767128815782,158.18960370414595,227.59745175522937,315.16967706055266,100.0,421.7869069386078,96.49865430640477,208.22619798020386,213.56070895840392,100.0
2017-07-01,541.6369023738002,159.1174149197378,228.3602235640996,313.2766788097006,100.0,425.6080772917844,96.372082903682,209.44416779920968,216.16390949257473,100.0
2017-10-01,542.6197151211933,160.1452664712619,229.05812095368722,313.5615941675061,100.0,424.4111206620948,96.53218371099287,204.52928624859976,219.88183441349508,100.0
2018-01-01,541.4434689615558,159.94575778349724,228.8124209345697,312.63104802698615,100.0,421.6074843691989,96.15118629694007,204.9459484398442,216.66153592935467,100.0
2018-04-01,542.255541655641,159.67621737032306,228.46017292586623,313.79536872977474,100.0,419.2165815671287,98.33276578687236,204.41682168792858,214.79976960856808,100.0
2018-07-01,539.5662742792623,158.85558568149628,227.33164763462875,312.23462664463347,100.0,418.69857027091547,97.68949326991387,204.7957360663349,213.90283420458056,100.0
2018-10-01,532.1184193206609,158.22116930393747,226.22485817431667,305.89353417303056,100.0,409.1259656345503,98.10200939398935,208.15378702618528,200.97217860836508,100.0
2019-01-01,533.7362031966691,157.40939636046528,225.12968567654562,308.6065175201235,100.0,425.2409610588735,99.28614293718107,214.83876193857432,210.40219912029926,100.0
2019-04-01,542.7686897235842,157.32155471211706,224.98562119492985,317.78306852865444,100.0,437.71502393662905,99.76728471459076,217.2394719054903,220.47555203113882,100.0
2019-07-01,546.3658696216447,157.8019360725552,225.88726042601667,320.47860919562805,100.0,438.0894342411925,99.90581802308921,219.76529939666682,218.32414404378108,100.0
2019-10-01,544.909728685398,157.53538072687144,225.38281909584285,319.52690958955515,100.0,445.4138386682767,99.63130559317298,222.48367071012726,222.9301679581494,100.0
2020-01-01,551.3015811169861,158.6903042124279,230.24810886803357,321.0534722489526,100.0,440.20129200684386,108.42528609469335,230.7343056288507,209.46698637799312,100.0
2020-04-01,688.1168917394733,200.51361715811518,291.90009871099755,396.2167930284758,100.0,503.3001922616412,127.09448587600345,257.45882888880953,245.8413633728316,100.0
2020-07-01,634.5795190003179,182.7246722083664,268.2459460929872,366.333601541673,100.0,466.90288144530507,114.00703237588694,231.4281505424343,235.47473090287082,100.0
2020-10-01,603.0918323805283,172.38134993519867,255.2529372632896,347.83889511723874,100.0,459.8322706906841,108.23940130766513,218.6291127328143,241.20315795786982,100.0
2021-01-01,603.9407970041083,171.11764679944795,255.13681673014023,348.8040062115265,100.0,454.3023263225346,106.12614478421247,213.0832755835277,241.2190420077776,100.0
2021-04-01,620.6006594531465,170.4076091613394,257.5026927286479,363.09796672449863,100.0,449.84424573760447,103.82802531556024,205.6614197990103,244.18282593859408,100.0
2021-07-01,625.9746728169522,166.3714182702136,254.57228629802123,371.40238651893094,100.0,452.35098486194516,101.88047775208442,201.1506589890775,251.20032587286764,100.0
2021-10-01,611.2564414241061,161.6925105831777,247.99935703089068,363.2570843932155,100.0,452.632797383985,100.27750351064128,197.50624256567178,255.12655481831322,100.0
2022-01-01,612.2915039412868,160.67943149674747,248.87572663690113,363.415754452372,100.0,439.163810712821,99.38437590835872,198.52696184809133,240.63684886472964,100.0
2022-04-01,621.3004285192453,160.5435933386586,250.9310009526875,370.3694275665578,100.0,422.505677480401,97.85343036697313,199.56235103709633,222.94332644330467,100.0
2022-07-01,615.3516228993866,160.03338124749527,253.1174439501918,362.2341789491948,100.0,416.1265644719536,96.02913654900479,201.71908350237072,214.40748096958288,100.0
2022-10-01,604.0573344496603,160.48161473413361,256.271930165626,347.78540428403437,100.0,427.0875792037244,95.85561839556861,205.10780753385887,221.97977166986553,100.0
2023-01-01,588.8260288123106,158.7499230180399,254.4799479718349,334.3460808404758,100.0,430.113495911539,96.37140658817968,204.3163366651045,225.79715924643452,100.0
2023-04-01,591.574310606428,158.18388767958297,253.95485010728436,337.61946049914354,100.0,432.9177066425258,95.42696552941723,202.74926549253854,230.16844114998727,100.0
2023-07-01,591.3533503123513,158.43603852049242,254.43186085275272,336.92148945959855,100.0,424.0332816137085,94.01334464568548,201.6686000122106,222.36468160149784,100.0
2023-10-01,577.2810214058018,157.74512142260127,253.51973104307913,323.76129036272266,100.0,416.60878159536685,92.56192057337759,197.53171833283548,219.07707015621006,100.0
2024-01-01,575.6592495417416,158.96319000287414,255.58064579190426,320.07860374983727,100.0,412.75366686759094,92.29098447452878,194.03765429081886,218.71601257677207,100.0
2024-04-01,577.7354973726835,159.61677507403104,256.78497457539385,320.95052279728964,100.0,410.3326236780687,92.26452231918245,192.7034517642826,217.62917191378617,100.0
2024-07-01,583.8795574858859,161.16154021825096,259.896247631701,323.9832890362613,100.0,413.36624139922026,92.32280686119967,191.62768055634118,221.73855417250547,100.0
