date,M2,Monetary Base,Currency,Reserve Balances,Demand Deposits
2016-08-01,68.8115,20.2667,7.77599,12.8157,7.38199
2016-09-01,68.939,19.7744,7.78398,12.3069,7.22345
2016-10-01,69.0075,18.842,7.79082,11.3729,7.31662
2016-11-01,69.3563,19.0803,7.82967,11.5734,7.23515
2016-12-01,69.6848,18.5003,7.86092,10.9763,7.38054
2017-01-01,69.3585,18.7726,7.84579,11.2698,7.31793
2017-02-01,69.255,19.4957,7.8495,11.984,7.12668
2017-03-01,69.993,20.0015,7.93565,12.3848,7.48752
2017-04-01,70.1818,19.7678,7.96723,12.1285,7.47636
2017-05-01,69.5236,19.4699,7.98833,11.8071,7.55296
2017-06-01,69.5851,19.3573,8.0057,11.6762,7.59312
2017-07-01,69.6066,19.4404,8.00121,11.7649,7.65752
2017-08-01,69.6621,19.9409,7.98656,12.2767,7.75604
2017-09-01,69.6282,19.6749,8.01723,11.9735,7.46981
2017-10-01,69.4553,19.3357,7.99801,11.6668,7.65319
2017-11-01,69.4033,19.6147,7.99759,11.9379,7.53981
2017-12-01,69.6314,19.2194,8.01863,11.5276,7.61937
2018-01-01,68.8891,18.9965,7.99732,11.329,7.51307
2018-02-01,68.4921,19.055,7.98907,11.3947,7.08503
2018-03-01,69.062,18.6959,8.03599,10.9742,7.4447
2018-04-01,68.966,18.2588,8.03863,10.5376,7.37189
2018-05-01,68.2521,17.9287,8.06126,10.1801,7.15136
2018-06-01,68.4357,17.7373,8.0769,9.9738,7.09881
2018-07-01,68.3709,17.519,8.07853,9.75427,7.16633
2018-08-01,68.403,17.2946,8.07339,9.53434,7.12048
2018-09-01,68.334,17.1155,8.10626,9.31788,6.99754
2018-10-01,68.2124,16.8962,8.11385,9.09761,7.11186
2018-11-01,68.3413,16.6504,8.14727,8.81687,6.90722
2018-12-01,69.1433,16.2574,8.17196,8.41338,7.35257
2019-01-01,68.8171,15.951,8.13919,8.1368,7.07496
2019-02-01,68.5038,15.9334,8.11611,8.14224,6.91927
2019-03-01,69.1075,16.0173,8.14813,8.17513,6.94405
2019-04-01,69.0332,15.4982,8.14446,7.65736,7.08019
2019-05-01,68.4981,15.2306,8.13614,7.3996,6.95412
2019-06-01,68.9398,15.3043,8.12695,7.48343,7.11564
2019-07-01,68.9721,15.1611,8.12301,7.34084,7.17622
2019-08-01,69.0128,15.1378,8.10013,7.34264,7.04834
2019-09-01,69.096,14.7473,8.11754,6.92908,7.0686
2019-10-01,69.4459,14.9285,8.12926,7.10031,7.20679
2019-11-01,69.8937,15.1666,8.17064,7.29695,7.16704
2019-12-01,70.3627,15.6224,8.19032,7.74305,7.51737
2020-01-01,70.4902,15.7394,8.21669,7.84179,7.25475
2020-02-01,70.622,15.8377,8.24092,7.91724,7.1461
2020-03-01,73.8813,17.8523,8.45009,9.65186,8.38619
2020-04-01,80.8964,22.9034,8.9408,13.9626,9.67968
2020-05-01,86.4923,25.0507,9.39777,15.6529,10.3566
2020-06-01,90.7748,25.0613,9.81196,15.2498,11.1252
2020-07-01,88.926,22.8833,9.64784,13.2349,11.0276
2020-08-01,86.7871,22.7597,9.50461,13.2547,10.79
2020-09-01,85.4802,22.4853,9.34141,13.1439,11.0226
2020-10-01,85.6343,22.5224,9.34637,13.1761,11.1419
2020-11-01,86.4429,23.1926,9.37313,13.8195,12.5558
2020-12-01,87.1352,23.5725,9.3792,14.1938,15.2116
2021-01-01,86.9082,23.5495,9.39735,14.1521,15.1344
2021-02-01,86.7968,24.2265,9.34446,14.882,15.7173
2021-03-01,87.8827,25.7444,9.33746,16.4073,16.6252
2021-04-01,88.3284,26.3512,9.39767,16.9536,16.7813
2021-05-01,87.5879,26.0679,9.36037,16.7076,17.3625
2021-06-01,87.1548,25.7279,9.30167,16.4267,18.1833
2021-07-01,87.1177,25.9629,9.25951,16.7034,18.7244
2021-08-01,87.2459,26.5947,9.197,17.3977,18.8457
2021-09-01,87.2941,26.6396,9.15506,17.4845,18.7342
2021-10-01,86.9743,26.0966,9.08017,17.0165,18.9691
2021-11-01,86.9479,26.062,9.02369,17.0383,18.9579
2021-12-01,87.2792,25.8451,8.96726,16.8774,19.3765
2022-01-01,86.7068,24.4555,8.94541,15.5097,19.2258
2022-02-01,86.008,24.0588,8.90429,15.1545,18.8247
2022-03-01,86.5877,24.2939,8.94879,15.3451,19.2275
2022-04-01,85.8545,23.1201,8.91648,14.2037,19.351
2022-05-01,84.0178,21.7919,8.86091,12.9314,19.4008
2022-06-01,83.4471,21.2917,8.80776,12.4835,19.2844
2022-07-01,82.9182,21.2797,8.75608,12.524,19.2182
2022-08-01,82.3093,21.3233,8.69472,12.6286,19.9313
2022-09-01,81.5137,20.5462,8.65611,11.8901,19.5305
2022-10-01,80.7057,20.1665,8.6273,11.5392,19.2927
2022-11-01,80.2692,20.354,8.61233,11.7413,19.145
2022-12-01,79.9402,20.1939,8.58669,11.6072,19.1793
2023-01-01,78.9731,19.7963,8.54076,11.2556,18.774
2023-02-01,77.9808,19.6603,8.49644,11.1638,18.6129
2023-03-01,77.2088,20.4711,8.49891,11.9722,18.6773
2023-04-01,76.2377,20.4718,8.50518,11.967,18.2717
2023-05-01,75.4575,20.3081,8.51032,11.7978,18.1302
2023-06-01,75.2999,20.3723,8.51034,11.8619,17.9444
2023-07-01,74.7267,19.9115,8.44085,11.4706,17.8665
2023-08-01,74.1459,19.9296,8.35722,11.5727,17.6
2023-09-01,73.5851,19.8299,8.2907,11.5392,17.4462
2023-10-01,73.1626,19.8684,8.24611,11.6223,17.4606
2023-11-01,73.137,20.2462,8.22344,12.0231,17.3759
2023-12-01,73.396,20.5005,8.21538,12.2851,17.6772
2024-01-01,73.0448,20.489,8.19202,12.297,17.4269
2024-02-01,72.7058,20.6069,8.13876,12.4685,17.247
2024-03-01,73.3091,20.4907,8.1489,12.3418,17.6232
2024-04-01,72.8733,20.0132,8.12769,11.8855,17.9969
2024-05-01,72.0471,19.7395,8.09807,11.6414,17.7623
2024-06-01,72.0457,19.6637,8.06806,11.5953,17.7435
