date,p10,p25,p50,p75,p90,p10_3M,p25_3M,p50_3M,p75_3M,p90_3M,p10_gr,p25_gr,p50_gr,p75_gr,p90_gr,p10_3M_gr,p25_3M_gr,p50_3M_gr,p75_3M_gr,p90_3M_gr
1997-08-01,237.415,316.829,487.779,746.946,1070.36,233.772,317.27,487.745,746.761,1087.41,5.71905,1.20005,1.85875,2.35036,4.62153,4.00593,2.21075,2.73072,3.41833,5.33238
1997-09-01,244.546,334.405,506.754,767.19,1125.34,237.398,321.34,493.094,751.967,1089.61,6.04259,2.9358,1.83407,3.29988,2.82389,5.06902,2.06742,2.26405,3.58371,4.5853
1997-10-01,247.322,332.865,505.899,773.444,1150.27,243.094,328.033,500.144,762.526,1115.32,2.85556,2.08699,0.0212783,3.35438,5.41548,4.83651,2.08499,1.22348,3.00622,4.27838
1997-11-01,247.214,332.334,512.649,775.513,1152.59,246.361,333.201,508.434,772.049,1142.73,4.7689,2.94576,2.24714,2.25933,3.32171,4.53362,2.65488,1.36239,2.9672,3.84875
1997-12-01,249.604,337.416,514.02,775.421,1148.26,248.047,334.205,510.856,774.792,1150.37,6.22045,4.51094,4.71714,5.09795,7.14554,4.60166,3.17763,2.30496,3.55752,5.26858
1998-01-01,257.063,349.384,527.539,785.686,1161.42,251.294,339.712,518.069,778.873,1154.09,6.32332,5.72417,4.05572,1.91692,5.23383,5.77478,4.40405,3.66744,3.0667,5.20822
1998-02-01,255.978,346.566,523.647,789.246,1155.15,254.215,344.456,521.735,783.451,1154.94,5.80678,4.16936,3.44629,2.39463,2.20669,6.11581,4.80231,4.06647,3.10805,4.8186
1998-03-01,253.021,341.431,519.123,784.106,1141.49,255.354,345.794,523.436,786.346,1152.69,5.49255,5.39123,3.71814,2.89041,4.27443,5.87522,5.09088,3.74029,2.39877,3.89044
1998-04-01,254.295,344.285,517.623,772.925,1128.77,254.431,344.094,520.131,782.092,1141.8,5.31356,6.06258,2.37269,2.62127,3.83191,5.5379,5.19904,3.17732,2.63457,3.42357
1998-05-01,258.014,344.08,515.81,771.529,1134.79,255.11,343.265,517.519,776.187,1135.02,8.62837,5.0003,4.49131,3.63156,6.14196,6.46858,5.48323,3.51902,3.04488,4.74061
1998-06-01,251.282,340.34,512.309,772.658,1159.33,254.53,342.901,515.247,772.371,1140.97,7.53786,5.63065,4.40198,2.80544,3.63015,7.14767,5.56256,3.74293,3.01721,4.51711
1998-07-01,251.267,335.576,512.9,765.982,1136.27,253.521,339.998,513.673,770.056,1143.46,9.13567,7.28653,5.80737,3.26464,5.88201,8.4316,5.95409,4.89573,3.23249,5.19471
1998-08-01,249.133,339.038,509.701,771.357,1127.19,250.561,338.318,511.637,769.999,1140.93,4.93588,7.00967,4.49413,3.26816,5.30963,7.18156,6.63384,4.89828,3.11176,4.92197
1998-09-01,251.188,344.322,533.044,836.938,1245.67,250.529,339.645,518.548,791.426,1169.71,2.71605,2.96567,5.18785,9.09136,10.693,5.53134,5.69669,5.16211,5.24736,7.35084
1998-10-01,257.929,347.23,536.589,820.12,1223.15,252.75,343.53,526.445,809.472,1198.67,4.28882,4.31561,6.06638,6.03485,6.33523,3.97208,4.72424,5.25854,6.15653,7.47279
1998-11-01,258.273,346.016,529.455,813.926,1188.95,255.796,345.856,533.03,823.661,1219.26,4.47328,4.11667,3.27845,4.95321,3.15482,3.83013,3.79786,4.83749,6.68511,6.69644
1998-12-01,263.649,359.633,548.589,829.763,1190.6,259.95,350.959,538.211,821.269,1200.9,5.62683,6.58433,6.72538,7.00807,3.68724,4.7989,5.01317,5.35483,5.99864,4.39201
1999-01-01,270.052,372.371,540.413,812.396,1188.03,263.991,359.34,539.486,818.695,1189.19,5.05273,6.57916,2.44023,3.39957,2.29175,5.0528,5.77786,4.13393,5.11272,3.04188
1999-02-01,265.77,357.837,531.928,821.507,1200.09,266.491,363.28,540.31,821.222,1192.91,3.82531,3.25203,1.58149,4.08756,3.89015,4.82865,5.46501,3.5602,4.8211,3.28712
1999-03-01,270.557,365.491,546.39,816.304,1173.91,268.793,365.233,539.577,816.736,1187.34,6.93085,7.04697,5.25254,4.10643,2.84039,5.26291,5.62161,3.08358,3.86469,3.0068
1999-04-01,273.809,363.915,547.708,826.822,1228.31,270.046,362.414,542.009,821.545,1200.77,7.67411,5.70182,5.81214,6.97317,8.8182,6.13699,5.32427,4.20622,5.04446,5.16427
1999-05-01,266.617,358.208,537.106,823.276,1193.94,270.328,362.538,543.735,822.134,1198.72,3.33422,4.10605,4.1287,6.70703,5.2129,5.96529,5.61462,5.06573,5.91966,5.61271
1999-06-01,259.975,351.487,541.522,817.824,1203.01,266.801,357.87,542.112,822.641,1208.42,3.45964,3.27538,5.70226,5.84548,3.76756,4.82078,4.3653,5.21396,6.50852,5.91229
1999-07-01,258.745,352.232,522.017,799.16,1176.02,261.779,353.976,533.548,813.42,1190.99,2.97593,4.96369,1.7775,4.33155,3.49874,3.25729,4.11104,3.86927,5.63124,4.15664
1999-08-01,258.237,349.779,529.534,807.575,1174.58,258.986,351.166,531.024,808.186,1184.54,3.6541,3.16807,3.89118,4.69538,4.20451,3.3624,3.79774,3.78936,4.95943,3.82221
1999-09-01,272.927,372.226,558.998,846.744,1249.55,263.303,358.079,536.85,817.826,1200.05,8.6548,8.10386,4.86911,1.17157,0.311195,5.09866,5.42736,3.52938,3.33585,2.59393
1999-10-01,271.542,367.016,566.199,855.166,1266.78,267.569,363.007,551.577,836.495,1230.3,5.27788,5.69821,5.51822,4.27332,3.56698,5.86305,5.66959,4.77404,3.33838,2.639
1999-11-01,271.281,365.006,555.962,831.638,1231.2,271.917,368.083,560.386,844.516,1249.17,5.03676,5.48838,5.0063,2.17611,3.55346,6.30209,6.42656,5.13235,2.53193,2.45381
1999-12-01,278.252,373.285,569.214,849.753,1252.73,273.692,368.436,563.792,845.519,1250.24,5.53851,3.7961,3.75955,2.40918,5.2185,5.28614,4.97955,4.75283,2.9527,4.10831
2000-01-01,280.945,379.283,577.172,849.491,1231.32,276.826,372.525,567.449,843.627,1238.42,4.03371,1.85637,6.80208,4.56614,3.64383,4.86177,3.66925,5.18333,3.0454,4.13922
2000-02-01,280.084,380.646,576.696,872.595,1293.44,279.76,377.738,574.361,857.28,1259.16,5.38575,6.3743,8.41609,6.21885,7.77829,4.97943,3.97986,6.30202,4.39077,5.55415
2000-03-01,280.187,380.083,573.311,859.894,1251.92,280.405,380.004,575.726,860.66,1258.89,3.55931,3.99251,4.92695,5.33993,6.6452,4.32015,4.0444,6.69952,5.37806,6.02591
2000-04-01,278.073,378.424,573.012,859.748,1252.56,279.448,379.718,574.34,864.079,1265.97,1.55731,3.98701,4.61999,3.98224,1.9743,3.48185,4.77457,5.96497,5.17742,5.43001
2000-05-01,277.125,370.608,569.522,853.247,1258.37,278.462,376.372,571.948,857.63,1254.29,3.94125,3.46169,6.03539,3.64045,5.39657,3.00895,3.81584,5.18886,4.31751,4.63525
2000-06-01,277.575,369.014,549.834,852.048,1259.35,277.591,372.682,564.123,855.014,1256.76,6.7696,4.98655,1.53491,4.18483,4.68296,4.04439,4.13897,4.06019,3.93536,4.00023
2000-07-01,266.933,361.262,554.036,853.766,1322.95,273.878,366.962,557.797,853.02,1280.22,3.16458,2.56365,6.13369,6.83286,12.4933,4.62165,3.66853,4.54487,4.86837,7.49213
2000-08-01,277.281,372.556,566.978,845.182,1268.96,273.929,367.611,556.949,850.332,1283.75,7.37454,6.51196,7.07111,4.65673,8.03519,5.77011,4.68293,4.88206,5.21483,8.37569
2000-09-01,281.683,383.717,580.947,856.72,1286.06,275.299,372.512,567.32,851.889,1292.66,3.20796,3.08722,3.92641,1.17818,2.92206,4.55589,4.03067,5.67579,4.16503,7.71679
2000-10-01,282.677,381.729,579.216,868.324,1267.11,280.547,379.334,575.714,856.742,1274.04,4.10062,4.00884,2.29891,1.53866,0.0260209,4.85035,4.4978,4.37587,2.42045,3.55528
2000-11-01,284.441,384.987,581.26,867.779,1287.59,282.934,383.478,580.474,864.274,1280.25,4.85094,5.47396,4.55032,4.34578,4.58041,4.05149,4.18247,3.58461,2.33962,2.48794
