,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
    Finance and insurance,1009698,1023931,1044027,1057827,1082917,1059316,1067288,1070278,1082565,1046091,1025842,973669,997305,950888,882839,772090,1026276,1132910,1153932,1131914,1115640,1080748,1040967,1046595,1072365,1051847,1079236,1098171,1146546,1171144,1191509,1180570,1094782,1101688,1100703,1132887,1137201,1168576,1168764,1186010,1207818,1233799,1188660,1192681,1187276,1214864,1240283,1254844,1224009,1183806,1201088,1203491,1195390,1203257,1224408,1186385,1222133,1233541,1236554,1277613,1220597,1255818,1289631,1338405,1341793,1362111,1368935,1399266,1378924,1386217,1376685,1356249,1337220
"      Federal Reserve banks, credit intermediation, and related activities",387861,393609,400022,402875,402802,384795,388672,373741,365774,356861,357288,346764,373663,388604,378184,382285,469593,481489,472945,451367,420435,418466,431790,474753,479010,475933,482679,491430,513995,518527,532439,513808,485495,483489,473054,484903,481613,498425,492792,491196,496248,503409,477315,470960,459594,464505,474099,482632,467270,440152,441550,434327,435787,431333,437465,421288,424842,433973,444663,464817,467519,481379,505587,529560,533702,538790,536825,535318,540868,536784,519816,503253,494891
"      Securities, commodity contracts, and investments",226293,230966,237275,242204,265030,260108,258068,269162,270815,230161,205235,168017,165805,135951,105122,26716,136193,252108,294278,296919,309961,266240,203082,157049,177926,165409,191527,202781,206118,232321,237206,255621,224966,233297,233925,222063,203063,182678,171989,179909,178107,175775,178554,193636,206022,211721,212196,212767,214271,212455,222277,228466,211260,217938,222187,218506,245231,232850,220941,229215,206448,226326,214878,224477,210818,220317,223251,236479,221651,235369,245668,252613,250127
      Insurance carriers and related activities,369482,373986,381282,387435,392842,394437,402376,415320,439584,446639,439486,421497,394116,375459,373860,378019,373339,386470,392676,389213,383842,384716,386377,388407,392297,390202,390112,392305,413595,407104,407853,399068,371431,369364,377803,407202,431738,468580,488013,501791,523300,546913,528736,526478,522755,540211,553615,556036,534169,525111,529912,535149,542303,550245,560801,546738,556044,571278,574766,586773,541163,541578,555853,565183,580039,579583,587664,606321,597646,595050,597528,589475,581036
"      Funds, trusts, and other financial vehicles",25493,24818,24805,24398,23077,22768,22237,23295,25367,26541,28103,29301,32959,28719,22931,15086,16239,14598,17716,21760,19119,18275,18172,21359,21458,21135,15878,13398,13655,13653,13758,11066,12355,15084,15698,21227,28915,32370,31891,27402,25416,25080,18579,14392,11788,12688,15276,17763,21503,21536,22939,22734,26490,25934,27035,22460,18513,19760,19930,18112,19144,15623,22987,27159,32948,38820,38328,41399,38470,34650,30836,28523,28864
    Real estate and rental and leasing,1782581,1802987,1806035,1815264,1804426,1809718,1823880,1868290,1887850,1906520,1938949,1983190,1994431,2009545,2002750,1998326,1971548,1938907,1938928,1948665,1987636,2031348,2044493,2069831,2044768,2083103,2078108,2114284,2097604,2112887,2132319,2124402,2147031,2150291,2181027,2183884,2173216,2174571,2184075,2178592,2175502,2166611,2172052,2173110,2179651,2191293,2189812,2190066,2206365,2220907,2225903,2239218,2263773,2279627,2291693,2306807,2317645,2328907,2348656,2343132,2332505,2246478,2301473,2291312,2326642,2345883,2374735,2417876,2430111,2440907,2462202,2447511,2462646
      Real estate,1616162,1638409,1637885,1641266,1615209,1615928,1629782,1678261,1707076,1726332,1754078,1794280,1811048,1818840,1808289,1798341,1785633,1772770,1782155,1793736,1826612,1866211,1877364,1902993,1881503,1918090,1914884,1943369,1926756,1937424,1957884,1950092,1965384,1972321,1998571,1999154,1994685,1988798,1989653,1977178,1972282,1961576,1961906,1959710,1957495,1965831,1963169,1964024,1979277,1989866,1992159,2003332,2023384,2038170,2048293,2060476,2068967,2072815,2083715,2082199,2075146,2039045,2063119,2055424,2091623,2105108,2130270,2171793,2181566,2198743,2215706,2204494,2213646
        Housing,1386048,1402747,1407896,1411329,1421240,1430594,1432341,1430331,1434521,1442562,1455070,1479423,1507393,1531359,1536446,1534931,1515835,1504378,1507625,1517985,1532364,1545909,1547347,1549388,1553253,1557953,1553392,1551181,1548491,1545630,1546666,1543960,1549202,1550717,1560041,1561479,1561726,1557660,1556083,1552619,1551908,1552588,1553748,1554676,1554181,1556129,1554274,1553253,1558788,1562175,1561865,1565746,1573616,1582662,1589326,1595696,1599005,1599932,1601309,1603705,1607091,1607060,1608390,1605329,1608313,1618487,1625012,1631753,1642453,1655611,1665491,1669464,1674644
        Other real estate,235250,240234,236008,236036,207185,200811,210720,252223,273903,284424,298627,313620,304187,289813,275364,267470,273129,271637,277396,278634,296325,321367,330732,353786,328899,360429,361766,392022,378331,391768,411206,406103,416183,421671,438835,437982,433160,431346,433839,424663,420362,408722,407849,404634,402908,409412,408583,410512,420560,428104,430862,438585,451570,457606,461229,467448,473036,476222,486747,482389,470786,430910,455975,450963,487874,491255,512395,553049,551323,555386,563577,543830,548473
      Rental and leasing services and lessors of intangible assets,166548,164442,168271,174464,190812,195790,196044,191292,181260,180541,185378,189472,183618,191304,195172,200777,186152,166108,156751,154897,161020,165147,167144,166843,163272,165032,163255,170895,170817,175474,174443,174324,181651,177990,182490,184762,178398,185764,194692,202147,204145,206213,211806,215447,225276,228920,230305,229594,230550,234943,238071,240378,245310,246309,248370,251522,254079,262809,273213,268547,264556,204009,241727,238880,236932,243502,247325,248446,251158,243565,248238,244437,251193
  Professional and business services,1662854,1660274,1670158,1679786,1712706,1712765,1711800,1727019,1738892,1749602,1784688,1821703,1828554,1858973,1878701,1861001,1762912,1724283,1722924,1725503,1768188,1791756,1824656,1853165,1859977,1886104,1888487,1898351,1948006,1962142,1969447,1995889,1972223,1974251,2000102,2024103,2042335,2063736,2108627,2119810,2137136,2146213,2163637,2169485,2186220,2186811,2193938,2224456,2246192,2280766,2311874,2359206,2383246,2414255,2449459,2474877,2505080,2523627,2551427,2560878,2557393,2360584,2514491,2586375,2664047,2757293,2837170,2928762,2952684,2983162,3024489,3070876,3080149
"    Professional, scientific, and technical services",969939,966256,973348,980391,1003691,1007051,1011449,1021711,1024237,1030029,1057440,1087462,1104397,1130652,1147647,1141783,1094076,1062637,1057524,1050278,1069382,1083159,1106232,1119747,1122762,1143512,1147444,1155572,1179408,1193734,1192792,1201230,1190969,1182185,1193710,1208524,1211491,1229750,1266933,1272964,1283583,1293594,1307514,1314105,1334031,1334758,1334556,1349215,1354077,1373730,1390379,1411522,1437336,1461338,1475294,1485019,1503933,1517305,1541153,1547934,1550925,1451125,1540068,1561926,1605998,1671940,1730397,1773516,1775411,1789891,1823798,1859885,1868347
      Legal services,257995,252961,249692,249196,251538,254320,254903,256060,255451,250644,255388,265448,270578,280765,279499,269176,257164,243720,235745,226324,225230,220889,222233,222912,222292,226500,224780,224932,223205,218519,212677,215504,209926,208900,210087,211064,202484,205622,212840,208832,210563,210592,213201,210298,218458,217597,216035,218040,215417,215946,213188,214428,213871,217777,219141,217072,216109,216805,219858,216007,209624,196373,196947,203811,212390,207869,213125,211783,210829,212134,210572,208795,207430
      Computer systems design and related services,118801,121496,125866,127283,134052,134767,138169,142514,148865,153086,159058,163024,164775,168420,170795,171895,172913,175446,179416,183999,189592,194356,203571,208687,212642,221685,223899,227604,235657,250265,259740,265308,259015,254400,255707,261355,265687,268195,276227,279070,285472,293780,298041,305259,313587,319883,323017,330458,335088,342299,350394,357746,369430,380768,392160,397338,408964,409493,408019,411952,425393,416878,430329,438990,458618,471485,483688,494164,500902,511168,517590,536410,531524
"      Miscellaneous professional, scientific, and technical services",608163,605349,609975,615855,629103,629125,628930,633050,628678,633974,650419,666950,677341,690300,705908,708274,670154,648059,645866,642337,656473,669273,681439,689023,688561,695899,699190,703332,720642,724871,720325,720455,722143,719004,728074,736394,744187,756735,778592,786226,788889,791104,798218,801336,804633,800564,799258,804951,808587,821172,833749,846939,863110,872670,875203,882845,892925,904946,926298,934336,933802,857611,934697,940578,957491,1018948,1060821,1097577,1095305,1099858,1130799,1154488,1168559
    Management of companies and enterprises,284011,277920,277171,276983,282249,280467,274488,274472,275469,269533,269375,270904,269276,272811,276110,273602,246328,248785,255335,256807,263236,266602,270611,278270,281624,282497,278542,280228,293975,295066,301565,317938,305783,312916,321787,327606,339837,334471,338356,340734,346275,346683,347632,348553,347898,349018,352025,358034,363122,370410,377851,397357,392683,396550,410437,416168,429305,432834,433242,436438,434423,426042,433964,466214,470613,488729,484801,508187,509350,519390,525273,539467,535838
    Administrative and waste management services,411786,417950,421171,423712,428148,426533,426708,431567,439589,449976,457723,463256,454925,455576,455077,445868,422724,413134,410356,418511,435547,441973,447834,455120,455571,460083,462524,462581,474640,473358,475106,476692,475500,479119,484619,488081,491453,499623,503460,506267,507573,506258,508794,507236,504876,503726,507986,517718,529231,536958,544121,551857,554322,557619,565707,575614,575120,577001,580293,580150,575752,493235,546301,566823,593966,604620,626952,652760,671573,678431,680730,679747,682967
      Administrative and support services,371035,377344,379867,383005,388886,388052,388756,393510,399434,408764,415760,421239,413958,414222,413478,403496,381471,372664,369764,376804,386885,392330,397814,405415,411802,416814,418936,419870,431018,430422,432769,434307,433196,436973,442552,445940,449038,455987,459470,462534,463821,461786,464776,463899,462693,462326,466440,474810,484162,491404,497597,505241,507069,510967,519298,529246,528835,530533,533986,533917,529842,452067,500652,521545,548951,558518,579917,603226,621726,628497,631582,630930,634123
      Waste management and remediation services,40789,40568,41308,40623,38955,38085,37480,37543,39798,40864,41614,41622,40562,40973,41236,42164,41132,40353,40497,41622,48781,49777,50158,49821,43793,43276,43588,42710,43620,42937,42334,42389,42304,42150,42075,42156,42429,43643,43992,43756,43774,44469,44034,43372,42242,41486,41643,42985,45101,45587,46533,46655,47253,46719,46560,46609,46530,46717,46606,46543,46218,41185,45661,45588,45690,46730,47782,50234,50694,50838,50177,49887,49957
"  Educational services, health care, and social assistance",1151820,1158542,1177835,1183711,1208289,1218055,1215067,1220183,1211911,1216688,1227807,1243704,1268774,1290576,1315294,1335700,1341563,1345593,1344663,1353316,1346777,1359066,1368635,1373736,1375273,1386589,1389901,1393043,1409236,1405332,1405995,1416494,1421764,1423103,1426542,1434391,1432855,1442311,1461040,1472498,1492692,1500218,1512211,1521906,1540156,1549443,1546752,1561028,1565678,1573190,1578503,1586606,1608041,1612903,1623303,1635028,1650023,1662424,1673628,1680632,1672261,1454924,1664101,1683803,1670697,1684042,1696641,1719584,1732944,1744655,1768034,1788751,1821135
    Educational services,171781,171036,172619,172235,174994,176648,176628,176892,176720,177708,179736,182174,184386,187953,193380,196799,205216,205242,205733,207348,209676,212043,212799,214035,214407,214889,213054,212375,214936,215761,214176,211888,209751,209734,210318,212822,210809,212540,214322,214060,214112,213371,214035,217155,220021,221392,219966,220822,218040,216793,216890,216984,220002,221596,223163,225969,227544,229448,229555,226732,221951,196467,205570,199219,204972,210376,216153,218957,221711,219413,222442,225125,225207
    Health care and social assistance,979997,987310,1004938,1011092,1032867,1041005,1038053,1042881,1034827,1038639,1047745,1061214,1083992,1102241,1121601,1138595,1136300,1140280,1138882,1145921,1137173,1147104,1155888,1159772,1160931,1171734,1176849,1180661,1194297,1189565,1191811,1204623,1212080,1213442,1216299,1221605,1222130,1229839,1246821,1258616,1278896,1287262,1298639,1305128,1320509,1328420,1327225,1340706,1348354,1357257,1362528,1370606,1389035,1392249,1401069,1409912,1423369,1433862,1445060,1455194,1451895,1259572,1461360,1488166,1468686,1476347,1482836,1503021,1513561,1527902,1548278,1566348,1599081
      Ambulatory health care services,452785,458152,468208,472460,486917,490871,488618,490641,481907,484015,489187,497961,506069,517349,529531,537707,531921,532703,534260,533191,539167,543034,547545,554360,556584,562456,567306,569087,574196,570667,570736,582866,587504,590382,591980,598013,596732,601214,611603,616154,631709,638386,646614,649309,664037,673558,672748,684694,690578,697519,701427,706857,718125,720561,727658,736271,751430,758503,764905,767548,763784,612741,775719,795066,781942,787498,784953,798014,803467,806731,821809,837932,870174
      Hospitals,326066,327221,333158,334394,339622,342766,342598,344686,345682,346794,350831,353700,364199,369639,374902,382537,387610,390690,389550,397045,381401,385020,388255,387076,389813,393878,393057,393866,396707,397751,399855,399576,399556,398536,397842,395997,397699,399050,403624,409498,414299,415686,418567,420938,421173,419141,418977,421396,423432,425018,425337,426991,431609,432685,433478,434530,433382,434880,437343,441160,438096,412203,452282,456055,451062,450014,457239,460630,460040,466515,471368,471918,474349
      Nursing and residential care facilities,114386,114580,115416,115807,117565,118029,117523,117656,117379,117462,116876,117942,121135,121872,122633,123346,122386,123035,122351,123324,123229,124823,125959,125020,124408,124855,125393,126349,126204,125500,125475,126671,127282,127220,128025,129051,129519,130174,130716,131438,131519,131645,132190,131703,131824,132219,131433,130939,130552,130363,130191,131290,133144,131490,131861,129605,128446,129364,130424,132754,135321,129503,126191,128477,128402,129553,130425,131487,132416,134229,133813,133995,134361
      Social assistance,87284,87799,88488,88739,88978,89540,89532,90102,90161,90647,91065,91782,92804,93553,94674,95142,94567,94061,92908,92613,93454,94328,94234,93343,90148,90562,91069,91335,97180,95645,95742,95529,97759,97353,98492,98666,98292,99514,101019,101631,101678,101973,101866,103673,104417,104851,105360,105432,105739,106526,107805,107861,108776,110155,111006,112909,114540,115743,117078,118019,118491,101370,113004,115170,113365,115378,115592,118522,122947,125058,126725,129034,129702
"  Arts, entertainment, recreation, accommodation, and food services",594642,596255,601966,605142,616276,616289,615853,616258,617459,612945,610497,610983,603199,603479,600197,589960,569565,562098,561426,563250,572685,583863,591653,597333,600166,609109,613019,607608,622005,620106,619589,629242,635369,631950,632997,641709,647313,655110,664930,666705,673294,677061,681539,683675,685611,684964,691446,700844,702519,706535,712140,710901,708061,721699,720920,728194,726650,730243,742305,734191,662863,371112,539431,550298,587419,677354,721213,737797,720927,739310,752369,751584,769973
"    Arts, entertainment, and recreation",143640,144861,146406,146375,149353,150702,149035,150478,151004,150726,152940,152042,151932,153096,153481,155517,151442,150721,151226,151775,155302,158318,159349,163686,161534,164028,166433,163142,170379,171105,171281,174345,173577,173797,173862,178437,180881,182530,184126,183217,179660,178346,179090,180581,182496,183470,185911,190923,187015,189910,196260,195711,195539,202388,201022,200093,199090,199151,203748,204580,179564,83776,118157,134945,153050,163181,183997,197868,197463,206306,218633,221548,229358
"      Performing arts, spectator sports, museums, and related activities",79147,79743,81092,82698,85471,86273,84075,83968,83379,82268,84281,83535,84070,86020,87377,89773,87844,88779,88213,88408,89073,89309,89809,93606,91768,94055,98805,96166,100785,101383,101562,103290,101644,102106,101589,106161,107836,109045,109122,107863,104907,104113,103925,105048,106011,107197,110002,112856,109307,111059,116715,116308,115222,122673,121127,119325,118614,117811,122504,123883,109637,52248,65961,82374,95825,96685,115165,127399,132245,140827,153085,155355,162588
"      Amusements, gambling, and recreation industries",64534,65158,65363,63757,63988,64527,65034,66578,67693,68531,68732,68583,67940,67143,66149,65763,63610,61947,63025,63381,66272,69107,69643,70131,69831,70016,67600,66964,69588,69722,69722,71057,71934,71692,72273,72273,73042,73482,75003,75354,74754,74236,75171,75541,76493,76278,75898,78054,77722,78859,79510,79372,80303,79684,79861,80718,80409,81261,81220,80734,70050,31676,51748,52740,57700,66335,69215,71186,66422,67061,67741,68446,69334
    Accommodation and food services,451733,452075,456233,459498,467647,466222,467552,466434,467092,462795,457983,459408,451624,450695,446975,434533,418186,411422,410236,411507,417401,425564,432337,433645,438682,445126,446601,444495,451638,449004,448301,454885,461771,458145,459128,463295,466470,472612,480824,483480,493482,498519,502244,502912,502975,501383,505442,509902,515331,516517,515980,515277,512634,519606,520147,528215,527665,531119,538619,529744,482997,286601,420157,414700,434181,513067,536661,540143,524071,534073,535985,532747,543750
      Accommodation,127930,127024,127471,127577,130398,130196,130938,130868,133160,132249,131695,132527,130093,129416,126868,123350,115683,111585,110240,112649,112509,117910,123060,121893,124189,127785,129787,127205,126767,128497,129447,130849,133188,132352,132694,134747,133212,133209,135956,136627,141548,143772,144676,144209,141904,139928,139905,142868,145722,144086,143790,143832,140736,147771,142265,145690,145372,146141,149069,146629,137786,64975,106703,102354,105694,137778,148214,148675,139016,140640,143670,140879,148300
      Food services and drinking places,323622,324971,328765,332031,337293,336047,336591,335509,333599,330176,325802,326330,321016,320823,319853,310952,302462,299872,300059,298893,304910,307644,309293,311753,314497,317335,316807,317287,324897,320498,318845,324024,328581,325792,326436,328556,333258,339416,344878,346862,351941,354765,357587,358714,361030,361384,365445,366981,369593,372350,372112,371378,371832,371851,377745,382360,382077,384782,389468,383217,345677,219945,312977,311119,326752,375423,389056,391922,384988,393297,392350,391761,395793
"  Other services, except government",395295,395292,397296,397342,399670,400148,397718,395982,393856,390663,387961,384890,379634,375458,373826,370783,359357,354156,349248,347135,342423,345560,348756,347934,343935,343834,342712,342782,347317,348251,349436,349324,346093,344221,344904,347599,348038,354382,360110,360294,359632,359426,356408,355397,355798,354334,355090,354016,353438,354410,358290,360876,364021,366764,366980,368266,365154,364924,369856,370780,359381,291679,335106,338867,333562,347470,356551,359350,361173,362295,364547,364610,364383
Government,2090342,2092156,2097598,2105610,2100816,2105156,2112455,2115479,2119474,2124225,2129494,2142969,2158344,2171539,2182164,2168580,2162944,2170934,2173223,2178860,2186483,2188253,2179702,2176484,2181581,2181710,2170070,2169833,2167846,2157632,2156682,2155796,2154652,2150030,2141608,2130876,2136534,2143163,2139579,2139255,2133489,2141976,2145215,2148065,2153702,2157437,2169336,2172964,2177809,2179540,2185998,2192799,2196296,2204107,2206350,2203814,2190075,2208790,2217869,2246091,2255395,2169705,2202312,2204152,2198277,2211535,2235319,2234173,2244216,2242873,2246498,2257968,2272994
  Federal,655847,654805,655133,659616,656818,657996,660837,661044,661722,661215,666048,669225,674322,679248,685595,688636,691606,699144,703042,706312,713465,720083,717134,714943,718819,718455,716299,716377,716884,714843,713408,710409,706719,701821,694411,686123,695796,693969,691913,690463,693462,693926,693919,694782,696945,699273,701536,702171,703470,702935,704834,706576,707425,709389,710923,708253,701379,714364,718412,722246,727129,733875,743498,740971,743141,744555,744576,742334,743077,742234,739450,745326,750466
    General government,571573,571405,571219,574918,573889,575203,578502,579033,580314,581455,586419,590222,595643,601684,609548,618421,625834,635318,639950,645286,652248,661480,659549,658904,664233,664257,663681,664912,665604,664420,663014,661612,659814,656626,649668,641783,650528,648368,645764,643024,643379,642313,641862,642376,644506,645253,646146,645756,646116,645306,646262,647237,647397,649846,651764,649593,644437,658035,661353,663325,667107,673492,681907,679425,681675,684004,683898,684203,686155,686758,688053,689267,691324
      National defense,353492,353084,352937,354657,353928,353940,356219,356329,356695,358028,360600,362773,366168,370505,375629,381258,386427,391815,396132,399596,403143,405340,406750,408075,410365,411107,411307,412595,410541,408653,406762,404488,403192,401422,394831,394424,395092,393201,390254,387662,385611,383671,382705,382106,381808,381246,380932,380174,379734,379008,379619,380231,379978,381160,382228,382534,384124,385008,386316,388261,389679,393841,393988,395198,396898,397778,396784,396462,397929,396446,396062,395329,394750
      Nondefense,218100,218330,218295,220271,219974,221280,222302,222719,223636,223446,225835,227474,229499,231194,233932,237173,239409,243505,243823,245692,249100,256121,252800,250852,253873,253164,252393,252339,255071,255770,256249,257117,256603,255176,254779,247403,255373,255097,255412,255245,257593,258438,258938,260031,262415,263695,264878,265229,266007,265907,266253,266622,267024,268273,269118,266709,260269,272532,274513,274570,276925,279166,287252,283662,284220,285646,286502,287114,287605,289643,291291,293197,295791
    Government enterprises,86930,85922,86514,87356,85337,85170,84598,84223,83511,81632,81459,80751,80335,78957,77067,70428,65723,63732,62995,60961,61157,58594,57590,56058,54604,54209,52607,51453,51275,50424,50403,48790,46881,45176,44727,44329,45267,45597,46124,47352,49871,51312,51735,52058,52096,53591,54939,55952,56884,57166,58111,58884,59599,59097,58702,58198,56420,55725,56472,58407,59524,59878,61095,61054,60965,59992,60132,57494,56247,54724,50551,55168,58205
  State and local,1434978,1437927,1443088,1446543,1444606,1447771,1452209,1455043,1458382,1463716,1464049,1474385,1484649,1492903,1497081,1480283,1471609,1471985,1470352,1472708,1473127,1468212,1462603,1461606,1462777,1463297,1453785,1453467,1450952,1442784,1443290,1445386,1447930,1448133,1446947,1444345,1440630,1448899,1447338,1448407,1439878,1447786,1450952,1452947,1456431,1457905,1467446,1470424,1473945,1476160,1480685,1485715,1488358,1494178,1494927,1494968,1488039,1494117,1499172,1523137,1527601,1437900,1460767,1464892,1457215,1468821,1491945,1492912,1502006,1501453,1507536,1513321,1523234
    General government,1313801,1314775,1319992,1319619,1321250,1324325,1331257,1336267,1340482,1345692,1348316,1354745,1359502,1363473,1368556,1369789,1372246,1372718,1368609,1368583,1363917,1361445,1354929,1353512,1350921,1347882,1338846,1334307,1329367,1325664,1324184,1322694,1323344,1323853,1323492,1323914,1322651,1324841,1324404,1327066,1329774,1332655,1336095,1338432,1343295,1346389,1353032,1355089,1357457,1360720,1364565,1367401,1369347,1373450,1376178,1376441,1376305,1381479,1392662,1407133,1405633,1342764,1366051,1353901,1352800,1358378,1379249,1377008,1381039,1384044,1392007,1398465,1410231
    Government enterprises,124538,126716,126632,130960,126923,127006,124162,121699,120662,120759,118172,122553,129048,134190,132785,111110,99811,99552,101742,103992,109080,106696,107630,108058,111788,115382,114921,119166,121635,117127,119078,122661,124578,124278,123469,120477,118171,124071,122907,121300,111004,115450,115182,114880,113719,112320,114997,115855,116920,115969,116623,118677,119336,120961,119145,118933,112677,113566,108310,116867,122377,97348,97224,111997,106032,111481,113679,116646,121546,118117,116363,115761,114120
      Private goods-producing industries\1\,3097873,3101417,3097631,3130554,3250344,3246951,3228778,3256068,3254130,3303227,3316766,3310829,3195037,3203548,3162962,3109958,2961516,2922323,2948340,2965998,2943615,2980809,2996468,3006615,2969330,2984171,2976842,3030633,3056590,3050139,3004010,3004525,3096086,3122497,3168566,3179651,3141064,3213422,3257976,3293474,3338028,3308648,3325579,3309042,3356897,3324186,3337301,3333515,3376100,3420927,3440378,3501321,3519240,3543949,3557128,3589722,3586521,3619314,3661001,3641599,3609998,3227476,3549345,3565724,3607684,3620443,3559230,3597886,3564547,3468261,3456780,3491097,3485071
      Private services-producing industries\2\,9721743,9814916,9926457,9971716,10071639,10112803,10138808,10211398,10241386,10277903,10343854,10436142,10471774,10525885,10468454,10191812,10171119,10169902,10189156,10300920,10368420,10490364,10592832,10680472,10659005,10738788,10742993,10889060,10981016,11052279,11112476,11117013,11148329,11140140,11229772,11353486,11330248,11464032,11619283,11661776,11762030,11877445,11914737,11954684,12007135,12082714,12164599,12251908,12279461,12322285,12441905,12555328,12656800,12753404,12869151,12874683,12994635,13070546,13186403,13259990,13060033,11898249,12914409,13074861,13330257,13621063,13777863,14069222,14011459,14081173,14250257,14331368,14422770
