GeoName,LineCode,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,,,,,,
Illinois,12,93786.7,91565.7,92929.9,94131.4,94811.1,95159.9,94070.1,96022.4,95832.8,98168.6,98471.4,97990.7,91256.3,94451.8,93448.2,88876.5,87038.1,87613.8,89820.1,92084.9,91466.3,92100,93870.1,95047.5,97427.3,99280.1,98268.4,100751.5,107942.9,104855.3,101975.3,100087.3,97935.9,95402.8,96078.4,98850.2,96536.4,100361.6,101803.2,100056.8,99013.2,94895.9,99244.9,94595.2,95143.6,95285.3,95418.1,96425.1,93359,97338.6,98276.7,101241.4,104997.3,104052.6,103354.1,104418.5,104178.9,104344.5,104140.5,102415.3,100254.5,88613.9,99287.4,98421.6,102575.3,102097.3,101705.1,106665.1,109282.2,105921.9,106124,106973.6,104276.8,,,,,,
Illinois,13,45207.6,43960.2,45830.4,46816.5,48689.4,48871.4,48273.8,48960,48691.2,50109,50966.1,50602.8,49154.5,51690.7,51028.4,47692.1,43568.8,40073.9,40711.5,42141.5,43249.5,46204.1,49425.6,50173.9,51942.5,51369.6,51177.2,52986.4,56478.9,54555.2,54167.1,54744.1,52698,50126.1,49999,51489.6,48951.9,51053.9,50462.7,48332.9,48953.2,47031.4,47010.4,45635.6,46250,45045.3,45973.8,46056.1,43454.5,46244.7,47467.5,48616.6,49171,49633,48469.1,48941.6,50427.5,49403.4,48313.8,48309.2,46828.9,39987.6,45815.6,47066.4,46290.3,47845.7,47699,50809.1,51734.4,50299.1,50461.6,51596.9,50102.5,,,,,,
Illinois,25,49581.8,48649.5,47708.7,47806.1,46132.7,46302.8,45819.5,47174.1,47296.3,48147.4,47405.4,47335.2,41528.5,41979.7,41680.8,40644,43588.1,48483.3,50149.8,50914.4,48883,46109.2,44351.9,44796.8,45411,47953,47135.4,47793.6,51477.2,50298.1,47791.8,45348.4,45221.1,45281.4,46104.3,47381,47657.9,49379.2,51471.3,51914.7,50189.7,47989.8,52491.9,49160.1,49069.4,50544,49655.6,50617.2,50236.3,51361.7,51028.1,52873.6,56139.2,54714.1,55205.1,55793.8,53971.8,55230.6,56198.1,54408.7,53783.2,49104.5,53884.2,51564.3,56704.8,54604.9,54352.9,56238.2,57924.4,56000.4,56046.8,55823.8,54592.7,,,,,,
Illinois,34,51423.3,51511.2,51385.2,52872.3,53072.9,53228.9,52996.6,53667.1,53591.8,55251.4,55217.5,58019.7,57469.4,57563.7,57142.7,54047.2,50959.3,48858.5,48509.4,50226.4,50221.4,52005.1,53895.5,53434,54339.1,53660.4,53196.6,56339.8,56087.7,57006.3,57924.9,56619,57696.1,57429.2,57355,57694.1,57228.8,58357,60117.5,60378.1,60787.7,62100.3,61886.8,60464,59415.8,59607.7,60361.5,60485.3,59616.8,59649.9,60199.8,59727.3,60123.8,58928.1,59326,59174.8,59760.4,57965.8,58380.1,58623.1,59648,55380.8,60556.5,60529.4,63868.4,62191.2,60919,61696.5,63076.3,60560.8,61084.7,61079.3,60109.8,,,,,,
Illinois,35,38518.4,39608,40380.1,39083.3,39997.4,40566.6,39193.7,39543.1,39045.1,38495.3,38239.9,41601.2,38778.1,39278.5,38458.8,37380.3,36752.8,36191.2,35463.7,36009.1,35707.4,36304.2,35820.8,36115.9,35896.1,35966,35472.2,35813.2,36281.7,35670.2,36728.6,35901.9,37170.1,36814.8,36577.9,36615.7,36877.4,37272.7,37999.8,37430.8,38336.1,38841.6,39688.3,40273.8,39365.3,39481.1,40036.8,40716.8,40217,40583,40550.4,40391.3,41518.2,41366.2,41516.9,41368.8,42200.2,42110.8,42931.6,42386.4,42108.6,38022.5,41893.2,41606.1,44701.9,42193,40842.9,41117.4,40324.5,40347,41024,41810.5,42760.6,,,,,,
Illinois,36,23475.1,23800.3,25073.3,26095.7,27624.7,29030.7,29598.6,28176.5,27346.6,27132.2,26425,27264.9,26688.1,26953.3,26676.7,25388.8,24774.3,25209.4,25223.9,25452.7,25725.9,26516.1,27390,28602.2,27776.4,28182.8,27502.9,27528.2,28189.2,27200.1,27344.1,27025.2,27896.8,27690.6,27764.3,28876,27427.1,28047.9,28633.2,28723.5,26885.4,27873.4,28716.1,28392.1,26487.8,27261.9,27348.3,28364.2,27873.5,28216.5,28450.1,28488.5,29927.6,29703.3,29738,29919.7,30355.4,30182,30222.5,29847.1,28667.2,22934.8,25419.8,25982.8,27032.8,26785.6,27983.4,28596.2,28397.3,28587,29273.8,29685.6,29982.2,,,,,,
Illinois,45,21428.6,21305.4,21433.9,21167.9,20518.1,21369,21569.6,21806.2,22666.6,22692.8,23146.3,23740.9,23876.4,24109.8,25321.5,23321.4,22512.4,22784.1,22530.7,24480.2,22713.3,22903.4,23676.8,23994,24477.8,24419.3,24692.6,24329.5,24459.6,24369.3,23905.9,23750.6,25828.9,25811.2,26034.4,25808.7,25651.1,25862.5,26085,25633.7,28111.1,28318.3,28830.7,29449.1,30506.2,30128.6,30058.5,29961.8,29229.5,29111,29418.7,29832.9,30904.9,31676.5,32258.5,32885,33788.9,33931.2,34237.7,33847.9,35116.3,34117.7,35178.8,35394.9,35489.2,38814.9,40001,41193.1,41590,41771.6,43395.2,43721.7,44628.2,,,,,,
Illinois,51,61152.3,62925,63692.3,64172.1,66848.8,66743.3,68753,66846.6,68348.2,67038.6,64760.3,61990.3,60976.1,57167.3,51835.1,48256.8,60890.3,68356.7,69928.7,71097.3,62587.1,63425.1,64419.9,62478.1,61505.5,61324.6,63529.5,65515,66079,69494.7,68211.3,70630.1,61574.7,62342.4,60726.3,62514.2,65781.3,68414.2,69048,68847.8,71182.6,73915,70112.9,70012.7,65658,69292.9,68166.3,68923.3,66405.8,62897.7,64801.3,64294.2,65101,67179.1,70312.7,67909.4,68616.8,68916.5,69401.5,69411,62781,63375.2,65782.4,68602.7,71266.6,70928.8,69867.4,72851.6,70704.1,71483.2,71259.5,70207.7,69190.3,,,,,,
Illinois,56,79927.8,81356.6,82280.1,80468,82042.1,78710.1,79627,84456.2,85077.4,83757.5,86783.6,88165.4,88283.9,90837,91517.7,91953.1,89687.3,90607.6,89018,88994.7,89503.8,91273.1,91359.1,92048.5,89311.1,91568.5,91093.2,92454.3,91831.8,92288.2,93237.1,92125.3,93529.3,93577.1,94720.4,95542.2,94797.8,95487.7,96083,96234.2,97119.6,96030.3,96517.1,95934.3,96805.4,96420.4,96164.8,95992.3,95272.1,96570.3,95874.7,96020.7,95663.1,96040.1,96179,96806.9,97105.5,96957.9,96488.8,95779.3,93568.1,89469.1,90566.6,90775.5,91621.1,93050.8,94244.9,95882.4,95838.6,94779.5,94754,93417,92694.5,,,,,,
Illinois,60,50812.6,50672.1,50657.3,51008.7,51785.2,52234.3,52528.5,52655,51644.7,52848.6,53658.7,54975.7,55440.5,56692.4,57992.4,57402.7,54721.6,52567.1,52061,51589.2,51555.7,51969.7,53169,54704.1,54319.3,54889.7,55455.3,54870.6,57124.5,57740.2,57409.7,55522.8,58056.8,56650.4,57113.9,57672.2,58324.5,59343.7,60618.6,60613.4,60947,61025.5,63725.7,63053.9,64241.9,63253.3,63404,64326.7,63560.1,64361.1,65097.5,65869.7,67056.1,69848.5,68371.6,67728.3,68560.3,68263.6,69697.6,69406.8,69053.2,63397.4,66977.6,68574.1,70574.2,72728.3,74297.5,75663,78108.8,78695.9,80364.1,81893.3,81843.1,,,,,,
Illinois,64,17446.7,16987.4,16726.8,16086.6,16421,16874.5,16757.1,16633.9,16379.3,16153.8,15968.8,15630.9,15318.4,15295.7,16108.1,15500.6,14802.3,14412.6,14796.5,15052.8,15702.9,15299.9,15879.3,15921,15787.1,16128,15934.4,15887.3,17043.5,16692,16838.5,17449.9,17513.6,17210,17490.9,17528.2,17907.5,17675,17337.8,17169.4,16258.4,15820,16563.7,16597.4,16294.4,16180.8,15889.2,16299.7,16556.4,17394.2,17007.3,17458.3,17608,16431.3,17663.7,17708.4,17166.1,16941.3,16521.9,16360,16947.1,16078.4,17130.7,16821.1,17032.8,17672.7,17162.6,18665.3,18634.9,19118.6,19305.1,19767.2,19869.4,,,,,,
Illinois,65,19505.9,19720.7,19745.8,19976.5,19943.4,20138.3,20135.9,20272.2,20595.6,21243.2,22059,22385.6,21819.1,21853.8,21940.4,21713.1,19987.9,19349.4,19076.6,19223.3,20482.5,20832.6,21031.4,21555.2,21467.3,21659.4,21947.7,22200.5,22469,23026.9,22590,22842.3,22239,22514.4,22787.2,23139.5,23254.9,23799.6,23914.5,24016.2,24286.4,23789.7,23870,23968.8,23527.2,23226.6,23362.2,24138.7,24320.9,25038.6,25538.1,26072.4,25966.2,25921.7,26578.2,27039.3,26776,26862.7,26824.9,26686.2,26147.8,22835.3,25035.8,25659.1,27967.5,27804.9,28912.6,30091.2,31679.3,31870.3,31918.6,31720.4,31506,,,,,,
Illinois,69,8699.3,8707.3,8716.4,8589,9095.4,9308.3,9406.1,9614,9372,9445.2,9534.7,9570.3,9744.9,10023,10413.7,10497.1,11190.4,11083.3,11132.3,11333.9,11292.3,11368.6,11498.8,11625.5,11710.2,11624,11712.2,11638.5,11629.6,11722.2,11638.2,11689.4,11517.1,11482.6,11428.8,11392,11245,11386.9,11240.6,11346.8,11259.8,11226.5,11186.6,11259.6,11414,11480.5,11324.4,11325.7,11300,11029,11026.4,10996.2,11157.8,11119.5,11151.9,11242.9,11233.3,11302.1,11385.5,11110.2,10850,9770.3,10126.6,9793.4,9923.9,10265.5,10479.3,10518.7,10417.7,10213.8,10289.6,10655.3,10550.8,,,,,,
Illinois,70,43627.2,44203.9,44752.3,45026.4,45966.5,46159.8,46187.5,46469.4,45987.6,46214.2,46497,46954.5,47816.6,48337.6,49337.6,49463.4,49813.1,49593.3,49224.7,49620.8,48565,49347.3,49554.8,49378.2,49449.8,49486.1,50092,50756.3,50237.6,50560.4,50345.8,50601.5,50827.4,50871.8,50949.8,51036.1,50988.3,51152.9,51773.7,52440.5,52378.7,53320.8,53150.6,53828.6,54129.8,54493.2,53602.7,54179,54859.6,54686.1,55562.6,55169.6,56406.4,56100.5,56767.6,57521.1,56492.4,56870.8,57327.8,57081.8,56873.3,50048.5,56790.9,58124.5,56303.6,57921.4,57849.4,59159.7,58725.9,59325.2,60028.9,60959.7,62201.5,,,,,,
Illinois,76,5900.3,6118.3,6209,6678.3,6345.4,6477.5,6286.1,6200.9,6566.6,6675.5,6615.5,6474.3,6686.5,6663.8,6651.3,6512.7,5979.2,5996.3,5921.8,6002.8,6074.1,6308.4,6237.1,6237.3,6028.1,6558.2,6469.8,6243.9,7052.7,6897.9,7133.7,7529.2,7492.2,7686.2,7659.1,8017.1,7949,7874,8003.2,7924.9,8600,8309.2,8167.1,8438.5,8375.3,8305.7,8427,8624,8402.2,8640.2,8700.4,8568.8,8644.3,9035.1,8897.3,8630.7,9042.5,8954.3,9200.1,9507.9,7325.2,3032.2,4817.1,5389.7,5978.2,6663.2,7303.9,7820.9,7828.7,8192.2,8731.1,8656.8,8812.8,,,,,,
Illinois,79,16925.7,17125.7,17319.4,17347.7,18393.5,18446.2,18098.9,18194,19355.6,18935.7,19003.1,19377.2,19109.1,19115,18904.2,18187,18108.3,17460.3,17467.8,17483,17790.5,17919.1,18245.1,18286.3,18491,18664.8,18851.4,18714.7,19052.1,19006,18806.8,18952.2,18871.5,18494.1,18576.4,18827.6,19052,19558.1,19984,20031.9,20956,21237.4,21427.9,21712.8,20979,20851.5,20922.2,21135.6,21469.2,21328.5,21263.1,21252,19900,20017.2,20046.8,20402.4,20304.7,20355,20855.9,20798.7,19557.2,11137.6,16063.5,14284.4,16372,19585.6,21126.9,20941,20585.4,21031.3,21076.1,20884.9,21502.9,,,,,,
Illinois,82,18646.4,18574.4,18810,18772,18704.1,18924.5,18741.7,18617.6,18725.1,18536.8,18402.9,18383.2,18130,18094.7,18119.7,18049.4,17640.8,17438.8,17071.8,16897.1,16458.4,16662.8,16851.8,16864.2,16635,16945,16759.8,16691.2,16697.1,16651.8,16747,16537.4,16307.1,16247.1,16419.2,16502.9,17100.1,16520.2,16991.9,16952.6,16865.4,16681.4,16716.1,16592.8,16337.9,16307,16234.2,16210.5,15945.5,16230.9,16255.6,16471.8,16434.2,16457.2,16437.8,16539.1,16008.8,16117,16326.3,16548.6,15705.9,13382.9,14919.5,14662.2,14535.9,15232.6,15281.3,14812,14776.4,14762.4,14835.3,14833,14806.3,,,,,,
Illinois,83,77475.2,77119.4,77019.7,76818.3,76879.2,77096.9,76806.1,76830.5,75830.8,75258.8,75088.9,75442.2,75311.7,75884.2,75749.4,75490.1,74559.8,75322.4,75725.3,76298.8,77875.6,77735,77075.4,76844.8,76398.5,75524.5,75422.5,75364.9,74935.8,74705.3,75211.3,74436.3,74695.6,75000.3,75368.4,74303.3,74109.1,73683.3,72527.8,73826.3,72777.7,72768.7,71023.7,71808.1,71306,71252.6,70876.2,71914.7,72276.9,72210.9,72105.1,71920.6,71520,71301,71083.1,70781.4,70455.5,71304.6,72693.9,71898.6,71848.9,68240.6,69600.1,70620.1,69831.5,69925.6,70509.5,71335.1,72259.1,71940.3,72479.3,73027.1,73263.9,,,,,,
Illinois,84,11959.3,12012.7,11919,11800.1,11726.4,11652.8,11529.7,11495.5,11420.4,11423.1,11495.5,11527.1,11518,11434.1,11383.7,11216,11214.1,11361.1,11335.1,11382.6,11599,11903.4,11780.3,11658.3,11589.2,11403.5,11240.1,11244,11214.8,11219.6,11171.6,11065.9,10985.2,10851.7,10618.5,10665,10749,10814.5,10886.1,10973.2,11053.4,11100.5,11095.1,11090.7,11149.6,11162.2,11195.8,11228.2,11305.2,11356.8,11419.1,11465.2,11482.1,11496.2,11457.4,11429.3,11234.6,11320.3,11357.8,11382.7,11456,11598.4,12179.7,11880.2,11827.7,11768.1,11612.6,11550.3,11612.6,11543,11520.1,11642.3,11855.5,,,,,,
Illinois,85,3844.7,3760.1,3885.3,3862.5,3768.8,3754.7,3709.1,3739,3802.3,3770.3,3749.6,3726.2,3777.7,3850,3927.9,4008.7,3972.1,3959.3,3845.2,4063.7,4116.4,3967.7,3726.7,3756.8,3751.4,3566.3,3383.3,3357.2,3327.9,3432.3,3477.2,3353.1,3236.9,3336.3,3313.3,3085.5,3107.3,2886.3,2997.2,3012.7,2958.3,2916.6,2896.8,2920,3319.9,3395.9,3455,3531.8,3709.2,3770.7,3524.3,3571.7,3439.8,3411.2,3178.2,3267,3278.9,3350.6,3467.5,3397.8,3346.8,3322.5,3729.6,3803.8,3919.5,3938.4,3796.9,3655,3613.6,3418.1,3705.8,3661,3147.4,,,,,,
Illinois,86,61656.8,61330.5,61197.1,61141.6,61378,61689.1,61571.1,61599.5,60605,60059.2,59834.4,60181.5,60007,60594.8,60431.1,60259.3,59365.9,59994.3,60539,60845,62153.3,61854.9,61562,61424.1,61052.3,60552.1,60801,60765.2,60393.5,60052.6,60562.4,60017.9,60471.2,60808.5,61421.6,60538.9,60243.3,59969.8,58647,59836.9,58773,58759,57055,57813.9,56881.8,56745.2,56285.3,57209.9,57327.3,57154.8,57224.5,56953.4,56665.6,56462.6,56503.8,56148.7,56000.3,56691.3,57917.1,57170.4,57095.8,53434.2,53865.6,55074.7,54242.1,54372.1,55219,56218.8,57108.8,57038.4,57326.1,57793.7,58299,,,,,,
Indiana,1,287211.6,290265.2,291820,292015.9,294718.5,295480.8,296252.6,297999,298025.7,303170.3,305942.1,309204.7,307348.6,306737.9,300460.9,289302.8,276448.6,275936.5,278538.7,287159.2,291395.3,296966.3,300583.1,301124.7,298315.5,298568.5,297912.8,301461.4,301597.1,302312.8,300952.2,297193.4,307595.9,304667.8,307995.2,308857.7,312831.5,317865.2,319484.1,316951.4,312883.7,314704.3,313221.5,314195.2,315453.4,318480.5,321320.7,323151.4,322081.2,323505.8,324918.9,329484.6,334624.8,335816.6,337396.6,337470.2,335743.9,337162.6,339127,339575.3,336332.9,302558.9,333913,336306.7,341620.8,346166.2,345596.3,351580.2,355006.7,352022.4,351779.7,353015,353880.1,,,,,,
Indiana,2,258787.7,260729.3,261977.7,261168.8,261972,261760.2,262488.7,265294.8,267411.6,273874.4,277313.3,280702.7,277875.4,276953.6,270306.9,259471.1,246858.4,246375.3,249021,257573.5,262163.7,267643.2,272086.6,271945.5,270347.5,269560.5,268827.8,272813.8,272916.1,274095.8,272797.6,269539,280528.7,277972.5,281141.2,281599.1,284774.4,289188.1,290708.1,287980.5,284812.3,286341.5,284474.5,285707.1,286755,289539.2,292175.7,293957.3,292507.2,293792.7,294936.1,298976.8,304446.1,305154.3,306808.2,307068.5,305701.4,307072.3,308777.6,308810.3,305320.1,272809.4,303454,306221.2,311904.1,316256.2,315690.8,321256.1,324879,322044,321779.7,323216.3,323702.3,,,,,,
Indiana,3,3028.5,3280.4,3362.3,3587.6,4206.5,3996.4,3623.8,3920.6,4017.1,3788.1,3697.1,4078.7,5094.1,4964.3,4505.5,5019.7,4260.2,4443.3,5247.6,5729.8,4532.4,4419.1,4416,4350.5,5125.7,4571.5,4907.5,4585.9,4145.8,4663.9,4128.9,3472.9,7451.9,7314.5,6734.1,6737.5,5528.4,5935.2,5514.7,5846.7,4216.7,4405.4,4848.8,5318.9,5717.4,5732.8,5418.7,4938.7,6102,5183.1,4838.3,4868.6,4579.6,5350.1,6062.4,6291.8,3884.1,4037.2,5061.2,4359,(D),(D),(D),(D),5224,6798.5,7114.5,6228,7089.1,7515.9,7262,6715.8,7922.1,,,,,,
Indiana,6,1832.1,1855.5,1541.1,1476.9,1641.3,1648,1637.2,1691.4,1725.9,1678,1732,1623.1,1510.4,1462.1,1435.1,1714.5,1672.7,1675.3,1584.2,1594.7,1512.3,1648.6,1706.4,1706.6,1637,1672.9,1684.4,1711,1751.1,1705,1665.6,1616.8,1941.5,1847.2,1877.7,1966.7,1874,1850.8,1761.8,1709.7,1691.7,1591.9,1713.8,1750.3,1846.5,1633.4,1587.8,1546.1,1596.7,1711.3,1753,1837.1,1678.9,1649.9,1548,1450.5,1412.5,1354.9,1266.2,1268,(D),(D),(D),(D),918.7,855.4,931.9,938.5,959.3,935.2,973.4,1010.1,1024,,,,,,
Indiana,10,4637.5,4661.3,4917,5081.9,4643.1,5462.7,5159.5,4979.1,4680.2,4838.6,4971.3,4945.2,5110,5540.1,5526.4,4864.8,4981.7,4931.9,5112.1,5408.5,5585.7,5775,6214.6,6076.4,5684.6,6263.5,6043.2,6462.5,6185,6387.5,6583.2,6334.1,6531.2,6333.4,6342.8,6279.3,6295,6120.2,6079.6,5982.1,5627.7,5839.3,5975.8,6086.3,5959.1,6159.9,6454.8,6494.4,6176.7,5994.9,6022.2,6013.7,6006.8,6036.9,5787.7,5887.7,5867.3,6157.2,5937,6278.7,6032,6123.5,6082.3,6101.9,5596.3,6077.6,6107.3,5877.5,5764.3,5881.7,5685.9,5628,5565.7,,,,,,
Indiana,11,13947,13769.9,13402.1,13349.3,13206.1,12681.7,12500.1,12440.4,12539.3,13028.1,12803,12552.1,12048.1,12006.3,12125.4,11541.3,10369.5,10135.5,10034,9552.6,9470.1,10035.7,10102.5,9974.4,9842.5,10428.3,10932.5,11339.6,11751.9,12079,12042.3,11890.9,12064.6,11535,11220.8,11064.2,10751.5,10873.6,10814,10888.9,10531.4,10979.9,11038.1,11084.1,11178.2,11302.1,11304.7,11769.8,12118.8,12038.2,12163.7,12403.9,12389.4,12377.7,12542.3,12555.3,12772.6,12712.8,12717.2,12763.6,12790,11986.3,12612.3,13004.2,13364.2,13051.7,12901.7,12431.7,12542.7,11860,11238.6,11275.8,11223.7,,,,,,
Indiana,12,80396.7,79677.7,78997.9,79251.8,78873.5,77490.1,79890.1,82231.8,85759.5,90699.6,93765.9,96460.6,94775.6,94232.2,88983.1,82811.7,72107.3,71753.7,73858.7,79939.9,85402.4,87655.6,90565.9,89433,89274.8,86942.6,84466.7,85701,84110.6,83219.9,81872.4,82029.2,86977,87077.1,89378.6,88965.2,90850.1,92600.8,92268.3,89639.7,87147.2,87246.3,84631.1,84080.8,86494.8,87362,88529.9,88329.7,86388.3,88264.1,87581.2,89989.5,92539.1,92340.9,92274.3,91929.2,91841.6,92399.6,92163.3,92083.9,91523.8,76342.8,90311.7,90883.1,95213.4,95579,93768.2,96298.2,98473.9,95154.7,94176.1,94856,93172.8,,,,,,
Indiana,13,42267.5,42141,41705.7,42839.9,42232.3,42096.7,42528.3,43392.7,45256.6,47229.8,48657.6,48302.1,46716.9,45963.3,43054,39123.9,30784.8,29346.2,31187,35452.2,39803,45386.4,48550.5,47751.3,46836.6,44563.8,43539.9,44420.8,45683.1,45817.2,45563.4,46547.6,47214.9,47151.6,47857.1,47866.5,46818.6,47772.8,48757.4,48487.3,49245.8,51214.6,50023.6,50439.9,51196.1,51367.8,51580.8,51577.9,51686.4,51035.9,51949.5,52568.3,54624.4,54189.2,54387,54601.1,54634.9,55374.2,54709.2,54215.6,54163.6,42385.1,53401.5,54964,58564.5,60637.9,59329.1,61164.2,64713.9,62625,61974.5,62546.5,61039.2,,,,,,
Indiana,25,37258.4,36542.5,36347.2,35011.2,35431.5,33960,36228.6,37838.3,39469.5,42635.9,44302.8,48005.1,48149.8,48508.5,46254.2,44227.8,42547.5,43913.6,44047.2,45659.5,46460.3,42290.5,41785.9,41530.2,42435.3,42488,41039.7,41384.4,38439.4,37386.3,36293.2,35501.9,39745.4,39924.3,41537.7,41115.5,44044.6,44839.2,43517.2,41156.3,37870.7,35973.9,34553.2,33586,35244.3,35941.3,36901.6,36700.4,34641.1,37186.4,35580.5,37356.8,37862.4,38089.1,37829.9,37281.7,37161.1,36984.9,37406.9,37815.3,37314,33882.5,36851.3,35895.4,36699.6,35172,34660.4,35399.8,34364.3,33130.6,32795.1,32930.2,32667.5,,,,,,
Indiana,34,16709,16806.6,16907.4,17215.1,17268.7,17269,17093.2,17065.6,16917.5,17376.3,17504.3,18071.9,17960.3,18085.6,18001.1,17111.4,15857.2,15174.6,15062.7,15621.2,15828.4,16385.3,16850.6,16573,16803.5,16600,16713,17579,17126.9,17660.5,17547.9,17188.5,17649.4,17502.5,17670.3,17828.1,17512.9,17863.4,18586.2,18488,18561.4,18847.3,18979.9,18902.2,18256.1,18462.1,18520.3,18787,18455.1,18289.5,18441,18732.9,19447.5,19191.1,19490.5,19197.7,19225.6,18767.7,18814.2,19074.8,19168.9,17968.1,19824.4,19792.8,19838.4,20200.2,19869,20354.7,20193.6,19854,20240.1,20600.6,20460.8,,,,,,
Indiana,35,17964.5,18232.8,18673.7,18041.6,18247.9,18428.8,17777.3,17970.4,17677.9,17184.9,17033.5,17275,17179.8,17137.2,16983.9,16530,16624.2,16563.5,16314.3,16785.8,16603.4,17300.7,16960,16860.3,16919.2,16847.8,16912,17138.2,16891.8,16560.1,16922,16970.6,17389.7,17177,17096.6,17077.2,17313.7,17567.8,17571.7,17309.1,17641.3,17853.9,18118.7,18084.9,18622.3,18685.6,18993.6,19172.8,18742,18995.2,19200.5,19287.3,19283.7,19182.6,19435.1,19424.2,19175.8,19347.5,19554.5,19609.8,18941.1,18134.6,19463.9,19488.8,20262.1,19595.6,18907.7,19266.1,18622.4,18673,18971.8,19357.2,19760.7,,,,,,
Indiana,36,9227.5,9426.8,10132.5,10236.8,10433.7,10624.2,10603.3,10537.5,10130.5,10289.1,10108.3,10469.5,10193.8,10347.5,10141.8,9712.3,9104.8,9214.2,9201.8,9466.6,9292.7,9551.9,9820.4,10185.5,9783.4,9901,9912.1,9817.1,10070,9989.9,10015.1,9913.1,10016.2,9914.6,10045.8,10126.9,10098.2,10083.8,10362.9,10302.1,9969.3,10160.8,10357.7,10474.7,10081.3,10387.6,10473.1,10535.8,10771.4,10823.7,10828.7,10970.9,11102.8,11056.1,11012.9,10918,10767,10852.8,10966.7,11276.4,11357.8,9479.2,11468.6,11503.6,11594.9,10834,11204.4,11331.4,10572.8,10667.4,10898.8,11103.8,11175.6,,,,,,
Indiana,45,5436.2,5550.3,5588.1,5447.3,5492,5683.1,5821.7,5723.5,5830,6000.1,6180.5,6216.1,6348.7,6506.2,6555,6368.7,6145.5,6345.8,6187.8,6258.1,6074.2,6096.9,6308.8,6466.4,5964.7,6033.1,6159.9,5975.8,6379.3,6467.6,6264.5,6120.6,6748.7,6653.7,6755.8,6577.4,6566.2,6646.9,6605.5,6657.9,6619.5,6737.5,6796.2,6918.5,6858.6,6930.8,6981.4,6849.4,7020.7,6916.7,7093,7081.9,6924.6,6908.9,6860.6,7044.7,6927.5,7103.8,7137.2,7006.6,6683,6673.2,7071.6,6761.3,6874.1,7404.7,7420.3,7886,7892.3,7948.4,8279.4,8400.4,8573,,,,,,
Indiana,51,14257.6,14672.5,14637.4,14037.3,14359.5,14391.9,14874.7,15224.5,15441.2,16462.9,16325,15528.7,14586.6,13384.7,12052.6,10190.8,13737.2,15005,15298.9,15289.1,14888.1,14123.6,14036.9,14230.1,14058.9,13978.1,14087.4,14464.5,15079.3,15014.7,14859.8,13865,12060.8,11679.9,12103.9,13271.7,15522.7,16878.5,17391,17521.3,18151.2,18081.6,17305.9,17934.4,16683,17310.3,17950.8,18389,17429.4,17082,17183.5,17204.1,17840.8,17747.7,18281.4,18005.5,18656.9,18972.9,19301,18960.4,16918,17081.3,16841.4,17666.5,18383,18528.9,18755,19299.3,19058.3,19394.7,19377.2,19309.1,19075.5,,,,,,
Indiana,56,29611.2,30606.9,30707.6,30554.1,29783.8,29584.9,29724,29920.3,29541.3,29625.3,29895,29934.4,28843.3,28558.4,27994.1,27998,28194.8,28108.2,28511.9,28840.7,29114.2,29649.7,29695.3,30046.8,29481.2,29980.7,30076.7,30862.1,30913.4,31404.4,31712.3,31333.2,31719,31630.7,31953.2,31774.9,31795.6,31410.4,31528.6,31381.3,31399,31213.3,31108.7,30903.4,30680.1,30553.8,30513.4,30527.5,31023.4,31451.6,31622.3,32026.1,32566.2,32842,33038.1,33374.8,33270.6,33418.5,33625.9,33365,32984.8,32073.9,32874,32823.5,32884.3,33440.5,33469.1,33901.8,33994.7,33845.6,33969.9,33632.4,33538.3,,,,,,
Indiana,60,9869.7,9753.5,9861.4,9958.3,10024.6,10220.9,10208.4,10264.1,10452.5,10350.7,10635.2,10933.6,11546.5,11630.1,11890.2,11794.3,11349,11033.6,10865.8,10916.9,11144.7,11321.8,11565.7,11683.6,12054.8,11830.3,11913.1,12163.7,12099.5,12290.4,12459.2,11992.9,12387.9,12310.2,12726.5,12568.2,12421,12627.5,12867.4,12840.6,13103.7,13314.6,13250.5,13528.6,13976.9,13769.1,13852.8,14070.5,14271.6,14307.5,14715.7,14507,15058.4,15307.7,15364.3,15934.3,15629.6,15771.7,16048.3,16031.8,16012.5,15225.6,16283.8,16490.1,16509.4,17638.5,18245.4,18808.2,19021.2,19092.3,19369.4,20013.3,19864.5,,,,,,
