,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
    Air transportation,"58,425","61,477","63,263","63,562","65,788","66,411","70,222","69,638","71,256","77,594","73,867","70,074","69,244","66,824","67,884","70,832","67,827","70,290","72,445","76,002","79,091","84,159","86,364","87,426","86,240","85,431","82,245","85,351","86,621","87,517","89,286","88,794","90,077","90,651","94,140","102,069","96,825","102,492","105,483","107,147","111,757","115,526","120,482","123,220","123,616","130,648","129,383","133,080","133,961","136,467","134,945","133,895","135,650","134,346","134,944","140,111","142,731","146,421","147,918","145,127","124,680","27,816","43,183","46,088","55,406","71,270","101,103","108,323","106,384","117,898","126,860","130,470","138,848"
    Rail transportation,"26,810","27,504","28,344","29,361","30,822","32,353","32,785","32,503","31,500","31,697","32,778","33,602","34,938","37,321","39,271","37,553","34,047","32,336","32,746","32,467","32,943","33,235","34,276","34,628","34,746","36,283","36,943","38,305","38,115","40,475","40,386","39,996","40,467","40,185","41,049","42,257","41,496","43,548","45,000","45,654","45,214","45,006","44,600","42,534","40,529","39,158","40,017","40,627","41,436","41,526","40,879","41,537","42,340","43,803","44,152","44,498","44,127","44,301","43,566","41,398","41,723","36,895","39,715","40,822","41,371","42,255","41,664","43,323","42,792","43,935","45,848","45,774","45,530"
    Water transportation,"8,345","8,168","8,846","9,937","11,973","12,316","12,792","13,760","14,024","14,228","13,820","14,834","15,502","15,820","16,102","18,337","16,555","15,497","15,066","15,302","14,074","14,629","15,396","14,532","14,534","14,065","13,856","13,994","13,265","12,947","12,508","13,940","15,781","16,284","16,497","17,309","16,631","16,393","15,794","16,015","16,330","15,973","15,697","15,199","14,422","13,776","13,023","12,659","12,689","12,789","13,185","13,438","13,872","14,482","14,522","14,578","14,823","14,610","14,359","13,932","13,942","10,443","9,915","10,659","10,616","11,832","12,726","16,211","16,800","17,995","19,871","18,198","18,851"
    Truck transportation,"110,695","114,753","119,497","122,487","122,779","125,845","126,174","127,140","122,162","123,939","124,224","124,511","117,592","119,703","121,741","123,023","112,019","107,500","109,117","109,213","109,121","112,827","115,506","116,644","118,893","121,107","122,607","125,401","128,010","129,134","128,485","127,956","129,752","129,664","131,559","133,333","133,832","138,223","143,558","147,682","147,847","148,608","150,484","149,495","150,002","148,201","147,985","149,268","152,176","155,929","157,412","160,006","163,956","167,135","168,482","171,643","171,072","173,159","174,852","174,148","174,468","154,654","172,882","176,266","181,130","187,635","192,481","208,824","217,975","226,161","228,542","231,790","233,095"
    Transit and ground passenger transportation,"22,798","23,657","23,020","24,715","25,355","26,312","24,668","27,153","25,901","26,276","24,988","27,972","26,930","28,297","27,177","30,147","28,671","29,560","27,798","31,567","30,250","30,688","31,821","32,856","33,113","34,067","34,208","35,428","35,951","36,614","37,060","36,214","37,735","37,718","37,907","38,611","38,712","40,025","41,802","41,827","42,137","41,993","42,045","42,741","42,182","42,708","42,655","43,213","43,771","44,358","46,013","45,947","45,552","46,500","48,336","49,773","55,553","53,196","54,280","53,748","51,531","32,961","37,117","39,811","38,362","41,824","44,977","46,272","48,230","49,632","51,860","55,358","58,703"
    Pipeline transportation,"10,768","9,719","9,569","9,338","11,127","10,269","10,490","10,984","12,291","13,032","12,190","14,505","17,500","15,611","15,830","16,218","17,025","13,459","13,455","14,484","18,526","19,222","20,719","22,434","21,522","21,693","21,426","21,721","23,183","26,276","25,403","26,476","26,984","27,251","27,180","26,552","27,511","29,227","31,769","32,317","34,645","36,311","37,970","38,384","38,653","40,173","38,144","39,806","40,061","39,493","41,136","43,271","44,294","43,953","45,431","44,485","43,066","42,306","42,487","42,291","42,897","39,871","42,813","41,761","47,530","43,202","44,212","45,573","46,102","48,134","49,254","50,404","51,332"
    Other transportation and support activities,"83,726","86,058","91,273","94,170","93,220","95,054","94,416","95,667","90,077","88,158","89,184","92,320","91,750","94,060","94,771","96,999","88,781","84,346","83,403","85,917","85,887","89,449","92,851","93,857","93,341","94,213","93,778","94,815","94,746","96,002","95,243","93,777","96,155","96,355","97,474","98,237","97,300","99,027","101,025","102,471","105,998","107,203","109,109","110,121","109,244","110,112","111,122","112,955","113,201","114,126","115,547","117,499","120,956","123,434","124,936","128,788","132,430","133,354","136,142","136,139","135,597","133,926","146,412","153,721","160,227","164,516","173,488","181,780","190,782","195,380","193,800","193,372","191,929"
    Warehousing and storage,"36,176","37,244","38,616","40,282","40,271","40,741","40,822","41,341","40,850","40,874","40,718","42,664","43,725","44,969","45,383","46,923","45,693","44,958","44,784","45,147","44,370","45,094","45,576","45,641","45,078","45,229","45,365","45,005","46,693","46,905","47,414","47,858","47,603","47,279","46,894","47,415","46,896","47,485","48,065","48,818","49,707","51,099","52,889","54,098","56,449","57,187","58,623","59,873","60,072","61,632","62,877","65,058","67,343","69,116","70,704","72,592","71,943","74,444","75,399","77,528","78,676","76,507","84,455","91,149","93,474","97,014","100,528","103,809","110,049","112,055","113,856","114,284","115,811"
  Information,"640,436","649,500","638,854","639,114","633,491","652,012","664,655","657,595","674,604","696,974","721,529","737,063","734,369","754,654","758,432","727,835","719,498","714,106","714,866","737,182","733,897","744,846","769,255","771,723","761,685","768,947","758,943","762,454","758,671","772,234","764,375","755,556","814,835","823,256","832,700","854,637","835,691","842,757","847,669","851,383","878,773","897,617","918,227","936,646","959,872","964,095","976,683","980,418","983,838","993,256","1,010,272","1,029,493","1,034,175","1,070,142","1,083,456","1,081,675","1,096,115","1,124,373","1,138,582","1,147,599","1,153,013","1,123,137","1,196,846","1,214,081","1,253,661","1,307,933","1,323,908","1,367,524","1,357,045","1,365,532","1,416,528","1,439,423","1,468,409"
"    Publishing industries, except internet (includes software)","170,566","174,017","172,790","172,824","160,453","165,251","164,845","158,303","182,724","189,875","195,703","198,989","193,424","192,453","190,018","181,028","179,112","174,480","174,108","185,640","176,097","187,253","193,260","191,947","193,640","194,783","195,451","197,323","197,150","208,566","202,795","200,467","213,285","211,721","208,104","210,150","214,410","220,362","220,485","215,842","221,569","223,420","224,319","225,665","231,892","232,246","235,080","238,878","243,929","248,674","254,766","262,480","262,769","274,594","281,697","278,040","289,158","294,844","299,477","306,703","321,391","330,579","351,043","364,706","379,863","395,368","398,125","407,141","399,271","405,553","422,391","432,299","450,230"
    Motion picture and sound recording industries,"66,803","62,323","61,438","61,505","64,019","66,258","68,317","71,389","70,583","75,870","79,441","80,121","77,499","80,468","80,834","80,373","81,590","81,179","82,011","84,009","89,212","90,751","92,781","92,331","84,679","86,167","85,412","84,247","83,488","82,275","80,926","84,470","81,177","82,670","85,335","82,929","82,602","82,829","82,340","81,555","85,736","87,359","88,330","89,148","95,168","92,021","94,173","93,915","95,187","93,103","93,326","93,577","91,897","92,404","88,761","86,502","84,522","86,150","84,532","83,733","83,032","60,999","73,681","77,381","76,117","81,959","91,696","102,263","97,194","103,137","104,052","101,638","99,772"
    Broadcasting and telecommunications,"332,462","343,059","332,694","329,778","328,243","336,623","349,023","347,313","357,128","369,157","382,259","387,489","389,048","400,104","400,339","378,253","370,922","373,857","374,269","379,373","376,733","369,154","378,886","377,242","370,629","371,682","362,751","366,137","369,724","378,067","378,310","363,283","400,875","404,935","405,771","411,809","395,929","393,138","391,818","398,480","412,230","420,515","433,079","440,642","445,099","444,621","449,347","447,686","442,288","443,072","447,811","448,316","451,339","460,442","464,827","463,853","468,140","473,897","482,585","481,699","473,550","462,759","474,376","468,798","476,426","483,093","481,666","493,216","498,290","496,577","507,869","513,367","519,919"
"    Data processing, internet publishing, and other information services","70,604","70,101","71,933","75,007","80,776","83,879","82,470","80,590","64,169","62,073","64,125","70,464","74,398","81,629","87,241","88,181","87,874","84,590","84,477","88,160","91,855","97,687","104,328","110,202","112,737","116,315","115,330","114,746","108,308","103,326","102,344","107,337","119,497","123,930","133,489","149,748","142,750","146,428","153,026","155,506","159,238","166,322","172,499","181,191","187,712","195,207","198,082","199,939","202,434","208,406","214,369","225,120","228,171","242,703","248,171","253,280","254,295","269,481","271,988","275,464","275,040","268,800","297,746","303,196","321,254","347,513","352,422","364,904","362,291","360,264","382,217","392,120","398,488"
"  Finance, insurance, real estate, rental, and leasing","2,560,305","2,601,280","2,634,864","2,648,963","2,691,916","2,716,534","2,754,421","2,817,886","2,854,766","2,842,602","2,875,854","2,889,246","2,920,850","2,876,800","2,801,105","2,665,806","2,837,056","2,904,414","2,930,423","2,940,698","2,972,045","2,998,913","2,974,402","3,016,378","3,018,011","3,050,305","3,096,994","3,157,824","3,221,008","3,271,828","3,329,208","3,334,943","3,293,134","3,319,052","3,382,024","3,453,655","3,467,923","3,550,926","3,596,057","3,627,799","3,676,989","3,734,366","3,713,774","3,729,910","3,769,583","3,858,787","3,925,940","3,978,622","3,969,250","3,972,444","4,037,356","4,100,751","4,170,955","4,243,198","4,315,027","4,304,184","4,378,299","4,457,680","4,513,332","4,581,346","4,558,024","4,490,569","4,625,444","4,696,604","4,752,263","4,847,328","4,913,672","5,029,321","5,059,815","5,101,702","5,169,002","5,233,581","5,322,631"
    Finance and insurance,"954,696","970,563","990,795","1,009,772","1,044,532","1,043,787","1,047,573","1,065,259","1,079,864","1,049,580","1,037,528","999,294","1,011,553","946,875","869,415","721,314","900,317","987,781","1,012,763","1,022,999","1,027,562","1,016,719","982,194","998,422","1,017,268","1,010,796","1,044,147","1,061,897","1,135,272","1,162,681","1,194,811","1,197,014","1,119,435","1,137,836","1,156,130","1,212,418","1,239,509","1,296,252","1,312,324","1,335,745","1,372,448","1,417,556","1,373,363","1,374,485","1,390,375","1,454,597","1,511,790","1,543,164","1,504,419","1,478,354","1,517,947","1,548,599","1,585,563","1,626,321","1,669,569","1,628,155","1,665,482","1,703,563","1,717,099","1,770,218","1,732,462","1,759,424","1,807,149","1,880,052","1,898,577","1,950,027","1,967,601","2,019,746","1,998,086","1,999,643","1,999,136","2,001,345","2,015,268"
"      Federal Reserve banks, credit intermediation, and related activities","399,528","411,005","419,315","426,359","434,800","432,165","428,230","422,838","407,544","404,554","407,642","407,524","431,147","435,355","415,281","379,981","416,060","418,523","403,787","397,470","390,987","404,539","421,422","461,137","447,824","451,589","465,300","481,439","515,482","512,036","532,328","518,916","496,065","499,123","506,659","531,257","533,575","565,815","568,254","571,763","582,389","600,591","573,104","570,122","574,079","604,697","634,455","655,625","648,790","625,677","643,343","649,034","672,432","692,552","712,197","698,782","714,901","728,602","743,731","770,264","765,479","793,406","824,358","856,971","863,142","894,259","900,449","903,816","905,219","919,097","912,508","903,618","900,308"
"      Securities, commodity contracts, and investments","192,849","191,866","195,694","202,513","224,333","225,091","223,025","235,794","241,583","207,498","197,805","178,152","190,800","141,821","91,346","-24,185","118,509","189,391","220,222","233,420","250,241","224,343","168,946","143,332","170,830","162,235","181,536","179,086","194,724","231,973","240,562","264,011","236,742","254,747","253,393","253,064","244,333","225,882","218,472","223,709","225,694","228,972","231,143","238,004","249,934","263,815","275,483","280,494","280,109","287,201","301,190","320,103","303,424","313,846","324,603","314,866","339,145","344,993","337,988","345,172","337,541","334,029","332,545","360,115","371,335","396,021","403,310","428,733","400,841","390,386","390,687","400,681","407,909"
      Insurance carriers and related activities,"338,993","344,068","352,059","357,937","363,330","365,291","375,625","385,888","409,791","415,701","408,830","389,844","361,603","344,502","342,049","349,608","349,183","365,274","373,728","374,711","370,045","370,979","374,936","377,665","384,433","383,723","384,820","388,798","411,432","405,817","408,659","401,709","375,617","372,669","383,481","412,523","443,784","482,970","503,477","519,258","545,114","569,628","552,973","550,543","550,021","567,998","582,219","586,147","554,890","544,994","549,156","554,312","581,467","590,568","603,273","588,480","586,864","605,274","611,296","630,936","606,365","607,918","623,373","634,461","634,886","627,856","632,234","654,231","658,257","656,432","661,539","664,581","674,078"
"      Funds, trusts, and other financial vehicles","23,325","23,623","23,727","22,962","22,068","21,239","20,693","20,739","20,947","21,827","23,250","23,774","28,004","25,198","20,739","15,910","16,565","14,593","15,026","17,399","16,290","16,858","16,890","16,289","14,181","13,250","12,492","12,573","13,633","12,855","13,263","12,379","11,011","11,297","12,597","15,575","17,818","21,585","22,120","21,016","19,250","18,365","16,144","15,816","16,341","18,088","19,632","20,898","20,631","20,481","24,257","25,150","28,240","29,354","29,495","26,027","24,572","24,693","24,085","23,846","23,077","24,071","26,873","28,505","29,215","31,891","31,608","32,966","33,768","33,728","34,402","32,464","32,973"
    Real estate and rental and leasing,"1,605,609","1,630,717","1,644,068","1,639,191","1,647,384","1,672,747","1,706,848","1,752,627","1,774,902","1,793,022","1,838,326","1,889,952","1,909,297","1,929,925","1,931,690","1,944,492","1,936,740","1,916,633","1,917,660","1,917,699","1,944,482","1,982,195","1,992,209","2,017,956","2,000,742","2,039,509","2,052,847","2,095,927","2,085,736","2,109,146","2,134,397","2,137,929","2,173,700","2,181,216","2,225,893","2,241,237","2,228,414","2,254,674","2,283,734","2,292,054","2,304,541","2,316,810","2,340,411","2,355,425","2,379,208","2,404,190","2,414,151","2,435,458","2,464,830","2,494,090","2,519,409","2,552,152","2,585,392","2,616,877","2,645,458","2,676,030","2,712,817","2,754,117","2,796,234","2,811,129","2,825,562","2,731,145","2,818,296","2,816,552","2,853,686","2,897,300","2,946,071","3,009,575","3,061,729","3,102,060","3,169,867","3,232,236","3,307,363"
      Real estate,"1,465,719","1,491,095","1,500,113","1,489,895","1,483,338","1,503,376","1,536,698","1,584,317","1,614,261","1,632,657","1,672,466","1,719,811","1,742,392","1,753,700","1,748,234","1,756,525","1,757,921","1,752,393","1,761,715","1,765,091","1,788,057","1,821,724","1,830,165","1,855,704","1,841,190","1,877,415","1,889,485","1,927,541","1,916,425","1,935,096","1,960,500","1,960,132","1,989,247","2,002,764","2,041,814","2,055,679","2,048,129","2,066,495","2,087,624","2,093,170","2,102,798","2,113,170","2,132,164","2,144,402","2,161,329","2,181,985","2,192,577","2,214,597","2,242,437","2,267,449","2,288,758","2,317,346","2,345,154","2,374,517","2,399,578","2,427,360","2,461,698","2,493,414","2,525,588","2,544,441","2,562,216","2,531,657","2,578,578","2,579,353","2,614,843","2,640,984","2,684,191","2,743,496","2,788,551","2,828,226","2,889,067","2,952,836","3,015,197"
        Housing,"1,186,614","1,207,429","1,219,094","1,229,707","1,248,833","1,270,937","1,289,492","1,300,825","1,317,066","1,332,226","1,353,063","1,385,120","1,419,128","1,448,189","1,461,514","1,473,254","1,467,304","1,464,336","1,468,443","1,474,862","1,484,697","1,495,934","1,498,846","1,504,012","1,514,754","1,521,953","1,526,387","1,532,341","1,535,928","1,541,924","1,549,661","1,557,235","1,570,881","1,580,916","1,597,749","1,610,855","1,622,931","1,631,321","1,641,445","1,650,669","1,663,840","1,677,475","1,694,883","1,710,716","1,723,901","1,739,047","1,752,036","1,768,578","1,789,171","1,805,662","1,821,759","1,841,443","1,862,094","1,884,760","1,907,750","1,931,417","1,952,729","1,973,109","1,992,585","2,013,069","2,036,322","2,049,394","2,059,793","2,062,529","2,074,524","2,098,185","2,125,418","2,159,834","2,201,196","2,252,213","2,317,345","2,378,506","2,440,796"
        Other real estate,"279,105","283,666","281,019","260,188","234,505","232,439","247,206","283,492","297,196","300,431","319,403","334,691","323,264","305,512","286,720","283,272","290,617","288,057","293,272","290,229","303,360","325,790","331,319","351,692","326,436","355,462","363,097","395,199","380,497","393,172","410,839","402,897","418,366","421,849","444,066","444,823","425,198","435,174","446,179","442,501","438,958","435,696","437,281","433,686","437,428","442,939","440,541","446,019","453,266","461,787","466,999","475,903","483,060","489,757","491,829","495,943","508,969","520,305","533,003","531,372","525,894","482,263","518,785","516,825","540,320","542,799","558,773","583,662","587,355","576,013","571,723","574,330","574,400"
      Rental and leasing services and lessors of intangible assets,"139,890","139,621","143,955","149,296","164,046","169,371","170,150","168,310","160,641","160,364","165,860","170,141","166,905","176,224","183,456","187,966","178,818","164,241","155,945","152,608","156,425","160,471","162,043","162,252","159,553","162,093","163,363","168,387","169,311","174,051","173,897","177,797","184,453","178,451","184,079","185,558","180,285","188,179","196,110","198,884","201,742","203,640","208,247","211,023","217,879","222,205","221,573","220,861","222,393","226,641","230,652","234,806","240,238","242,361","245,880","248,669","251,119","260,704","270,646","266,688","263,346","199,487","239,718","237,199","238,843","256,316","261,880","266,080","273,177","273,834","280,799","279,400","292,167"
  Professional and business services,"1,413,501","1,433,059","1,457,772","1,479,612","1,523,012","1,535,279","1,546,645","1,581,117","1,615,072","1,639,834","1,686,196","1,727,892","1,745,018","1,773,812","1,798,100","1,794,811","1,709,896","1,680,414","1,678,075","1,683,942","1,718,143","1,748,859","1,787,123","1,819,678","1,831,684","1,857,349","1,868,368","1,882,726","1,936,671","1,958,754","1,974,008","2,006,080","1,998,735","2,004,614","2,025,626","2,051,611","2,068,379","2,092,407","2,145,710","2,174,418","2,206,004","2,227,802","2,252,562","2,264,564","2,283,321","2,294,465","2,305,644","2,341,167","2,374,206","2,412,367","2,452,536","2,500,637","2,534,556","2,576,929","2,610,508","2,631,751","2,683,146","2,709,660","2,743,516","2,759,355","2,763,142","2,559,514","2,732,113","2,813,769","2,906,516","2,990,375","3,071,453","3,181,705","3,253,026","3,292,665","3,357,506","3,418,289","3,494,663"
"    Professional, scientific, and technical services","834,628","843,489","857,782","872,595","901,472","909,742","918,780","938,080","951,171","964,855","997,389","1,028,032","1,053,210","1,079,331","1,099,809","1,098,934","1,055,251","1,027,763","1,021,733","1,018,691","1,034,984","1,052,386","1,077,737","1,095,482","1,104,209","1,125,456","1,134,594","1,144,368","1,172,582","1,192,547","1,195,179","1,206,860","1,204,116","1,199,641","1,210,985","1,228,213","1,231,698","1,249,018","1,290,955","1,304,462","1,325,472","1,342,572","1,361,121","1,367,831","1,384,750","1,390,575","1,394,311","1,412,300","1,425,922","1,446,421","1,469,027","1,493,720","1,525,729","1,558,621","1,573,557","1,582,508","1,615,288","1,631,736","1,659,307","1,670,670","1,681,641","1,576,494","1,675,956","1,709,843","1,760,843","1,813,983","1,871,242","1,927,924","1,956,261","1,978,603","2,023,883","2,069,126","2,127,488"
      Legal services,"192,439","193,737","196,092","198,170","200,570","204,072","205,167","208,431","212,614","211,227","218,586","227,875","235,586","244,976","245,136","237,673","224,077","213,863","208,354","201,934","201,670","201,872","206,209","209,235","211,035","216,508","217,376","219,602","219,823","217,902","213,582","218,600","215,917","216,896","220,729","224,061","217,614","222,810","232,444","230,449","234,266","237,123","242,161","241,541","249,384","251,193","251,926","256,041","255,637","257,968","258,851","262,584","263,509","269,811","271,128","270,927","274,497","276,587","284,629","285,053","280,343","265,296","273,625","284,666","298,258","297,345","306,453","310,709","315,514","314,855","314,681","316,922","325,887"
      Computer systems design and related services,"131,273","133,566","137,040","137,748","145,402","146,467","149,839","154,125","160,420","164,358","170,092","173,569","175,814","180,885","183,802","185,046","185,921","187,219","189,814","192,507","195,640","198,518","206,426","211,179","216,041","225,343","227,569","230,387","237,577","250,772","259,578","263,043","257,686","252,439","253,037","257,665","261,548","262,269","269,273","271,361","276,340","282,863","287,271","292,939","299,385","303,769","304,720","311,561","314,280","320,701","325,403","331,006","340,441","351,235","360,373","362,416","373,799","376,113","374,711","374,667","385,419","378,333","390,270","399,393","409,644","420,285","429,871","438,536","440,678","450,421","456,598","463,772","466,729"
"      Miscellaneous professional, scientific, and technical services","510,916","516,186","524,651","536,677","555,499","559,204","563,773","575,524","578,137","589,270","608,711","626,588","641,810","653,470","670,870","676,215","645,253","626,681","623,566","624,249","637,673","651,996","665,103","675,067","677,134","683,605","689,649","694,379","715,182","723,873","722,018","725,216","730,512","730,305","737,218","746,488","752,535","763,938","789,238","802,652","814,866","822,587","831,689","833,351","835,982","835,613","837,665","844,698","856,004","867,752","884,773","900,129","921,779","937,575","942,056","949,165","966,992","979,035","999,967","1,010,950","1,015,879","932,865","1,012,062","1,025,784","1,052,942","1,096,353","1,134,918","1,178,679","1,200,069","1,213,327","1,252,605","1,288,431","1,334,872"
    Management of companies and enterprises,"209,370","211,359","216,849","218,738","226,162","229,677","229,720","236,178","248,382","249,049","251,882","255,114","252,449","255,303","258,795","258,872","236,868","243,211","248,866","250,933","257,613","261,560","266,757","275,369","278,074","278,452","276,422","278,655","291,837","293,459","302,730","320,520","313,928","319,594","320,992","324,006","333,206","327,672","330,902","339,451","346,740","348,224","347,722","348,947","347,815","349,376","351,278","355,324","361,682","367,587","374,162","387,889","386,035","387,332","398,290","399,050","410,359","413,505","411,504","413,150","410,609","399,765","405,791","431,261","435,969","450,986","444,973","461,370","466,776","466,465","473,692","481,312","481,660"
    Administrative and waste management services,"369,503","378,211","383,141","388,279","395,377","395,860","398,145","406,859","415,520","425,929","436,924","444,746","439,359","439,177","439,496","437,005","417,777","409,441","407,475","414,318","425,546","434,913","442,628","448,827","449,400","453,441","457,353","459,703","472,251","472,748","476,099","478,700","480,691","485,380","493,649","499,392","503,476","515,717","523,853","530,505","533,792","537,005","543,719","547,786","550,756","554,515","560,054","573,543","586,603","598,359","609,347","619,028","622,792","630,976","638,660","650,194","657,499","664,420","672,704","675,534","670,893","583,254","650,365","672,665","709,703","725,407","755,238","792,411","829,989","847,597","859,930","867,851","885,515"
      Administrative and support services,"336,191","344,696","349,155","354,639","363,031","364,453","367,165","374,927","381,472","390,719","400,714","408,308","402,838","402,588","402,906","399,021","380,158","371,772","368,904","374,533","379,356","386,855","394,043","400,429","406,700","411,051","414,586","417,381","428,894","429,974","433,740","435,910","437,731","442,464","450,295","455,515","459,191","469,944","476,728","482,888","486,070","488,724","495,698","500,090","503,339","507,101","512,088","524,135","535,065","545,315","554,303","563,038","565,679","573,525","581,037","591,832","598,963","605,063","612,585","615,108","609,622","527,632","588,068","609,589","646,184","660,948","689,837","723,610","760,530","776,838","786,426","792,359","806,302"
      Waste management and remediation services,"33,312","33,515","33,986","33,639","32,347","31,407","30,980","31,932","34,048","35,210","36,210","36,438","36,522","36,590","36,590","37,983","37,619","37,668","38,572","39,785","46,191","48,058","48,585","48,399","42,700","42,390","42,767","42,322","43,358","42,774","42,359","42,790","42,960","42,916","43,354","43,877","44,284","45,773","47,125","47,617","47,721","48,282","48,021","47,696","47,418","47,414","47,967","49,408","51,537","53,044","55,044","55,991","57,113","57,451","57,623","58,361","58,536","59,357","60,120","60,426","61,271","55,623","62,297","63,076","63,519","64,459","65,400","68,802","69,459","70,759","73,504","75,491","79,213"
"  Educational services, health care, and social assistance","952,471","962,504","977,423","988,481","1,017,126","1,031,950","1,038,850","1,053,142","1,062,598","1,075,685","1,095,777","1,117,890","1,146,440","1,169,539","1,196,556","1,227,371","1,247,843","1,262,683","1,271,063","1,286,352","1,286,022","1,304,873","1,322,095","1,332,167","1,337,099","1,352,414","1,362,777","1,372,662","1,398,251","1,403,058","1,410,823","1,424,933","1,438,541","1,442,189","1,450,760","1,462,127","1,464,304","1,480,211","1,505,553","1,520,316","1,542,383","1,560,039","1,583,037","1,599,460","1,625,677","1,647,731","1,655,846","1,681,321","1,692,150","1,703,098","1,716,498","1,732,971","1,758,592","1,775,759","1,790,409","1,814,534","1,839,126","1,862,042","1,886,876","1,909,274","1,913,360","1,674,810","1,932,240","1,958,269","1,966,637","1,983,777","2,013,503","2,058,305","2,084,747","2,104,732","2,155,178","2,212,001","2,265,591"
    Educational services,"131,007","132,320","134,167","135,206","140,184","142,308","143,635","145,377","147,661","149,327","152,573","156,493","160,044","164,445","170,697","175,930","185,204","187,192","189,073","191,389","194,878","198,109","200,658","202,203","204,326","205,821","207,064","207,965","212,735","214,649","214,887","214,493","214,974","216,129","217,953","221,492","222,084","225,531","228,162","228,881","230,303","231,452","233,868","238,157","242,665","246,062","246,487","249,626","248,611","247,777","249,453","251,328","255,813","259,090","262,581","267,485","271,087","274,627","276,194","275,152","271,534","241,615","254,608","248,183","256,890","265,787","275,282","280,947","285,490","284,421","292,371","299,535","303,584"
    Health care and social assistance,"821,464","830,184","843,255","853,275","876,941","889,642","895,215","907,766","914,937","926,358","943,204","961,396","986,395","1,005,094","1,025,859","1,051,441","1,062,639","1,075,491","1,081,991","1,094,963","1,091,144","1,106,764","1,121,437","1,129,964","1,132,773","1,146,593","1,155,713","1,164,697","1,185,515","1,188,408","1,195,936","1,210,441","1,223,567","1,226,060","1,232,806","1,240,635","1,242,220","1,254,680","1,277,392","1,291,435","1,312,081","1,328,587","1,349,169","1,361,303","1,383,012","1,401,670","1,409,359","1,431,695","1,443,538","1,455,321","1,467,046","1,481,642","1,502,779","1,516,669","1,527,828","1,547,049","1,568,039","1,587,415","1,610,683","1,634,121","1,641,826","1,433,196","1,677,632","1,710,086","1,709,747","1,717,991","1,738,221","1,777,358","1,799,257","1,820,311","1,862,806","1,912,466","1,962,007"
      Ambulatory health care services,"388,657","393,738","400,444","404,735","417,418","422,287","423,754","428,986","431,890","437,353","445,699","454,875","464,639","474,755","486,766","498,109","500,375","505,441","510,004","512,969","521,035","527,541","535,782","543,835","545,962","553,270","559,626","564,161","572,218","570,566","572,287","583,392","589,991","591,833","594,304","600,977","599,714","605,602","618,158","623,595","632,201","639,744","650,973","654,623","669,231","682,074","683,056","697,396","703,510","709,824","715,829","721,206","731,897","737,344","743,659","754,895","770,097","779,829","790,225","797,060","794,173","641,746","817,520","839,287","839,424","844,820","846,634","867,142","874,665","875,658","894,660","921,520","952,355"
      Hospitals,"270,650","272,378","276,479","280,126","287,923","293,412","296,278","301,168","303,393","307,169","313,290","319,082","329,484","335,623","341,943","352,600","360,299","366,021","367,240","376,090","362,611","369,041","373,714","374,322","377,117","382,116","383,228","386,860","392,342","397,066","401,562","402,921","405,547","405,018","406,843","406,326","407,982","412,056","419,244","425,760","434,834","440,725","446,827","452,481","455,966","458,518","461,606","467,944","471,920","474,865","478,236","483,805","489,836","494,380","495,954","501,128","503,875","509,712","516,608","525,696","526,528","495,470","548,909","553,024","551,329","550,998","565,139","575,584","582,157","595,330","609,914","621,881","632,015"
      Nursing and residential care facilities,"91,274","92,322","93,329","94,328","96,387","97,301","97,930","99,149","100,526","101,746","102,829","104,742","108,226","109,600","110,914","113,385","114,352","116,208","117,041","118,074","118,598","120,405","121,674","121,945","122,038","122,937","123,896","123,910","125,224","125,335","125,971","127,318","128,049","128,562","129,390","130,300","130,845","131,882","133,078","134,004","135,540","136,817","138,741","139,362","141,030","142,548","143,904","144,318","144,719","145,558","146,051","148,135","150,493","152,294","153,422","153,577","153,774","155,250","158,076","162,594","169,078","163,829","161,803","165,365","166,274","166,585","168,577","170,966","173,096","176,318","179,996","183,630","188,421"
      Social assistance,"70,882","71,746","73,003","74,087","75,212","76,642","77,253","78,463","79,127","80,090","81,387","82,697","84,046","85,116","86,235","87,348","87,612","87,821","87,706","87,830","88,901","89,777","90,266","89,862","87,656","88,270","88,963","89,766","95,731","95,441","96,115","96,810","99,981","100,647","102,269","103,031","103,679","105,140","106,912","108,076","109,506","111,300","112,628","114,837","116,784","118,530","120,793","122,037","123,389","125,074","126,930","128,496","130,553","132,651","134,794","137,449","140,294","142,624","145,773","148,771","152,048","132,151","149,400","152,411","152,720","155,588","157,871","163,666","169,339","173,006","178,236","185,434","189,216"
