Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1998:Q4,Other,1489255,563537,456272,107265,925719,104938,15406,21573,12106,9467,10972,5433,5538,205365,20467,22576,125341,159544,225545,13991,296861,296372,209003,62598,1638,23133,488,1192395,4503098
1999:Q1,White,39211062,11613523,9104336,2509187,27597539,2743163,950870,1637569,1092575,544995,617116,535144,81972,8037323,626844,663188,2300788,5763754,3959399,297525,5030306,5014504,3496388,1194749,30709,292658,15802,34180756,79078319
1999:Q1,Black,1620291,600045,456733,143313,1020246,104038,6796,16717,10064,6653,1636,436,1200,112129,70734,38964,144480,437025,66878,20850,360028,358210,252573,102007,1437,2193,1819,1260263,11966454
1999:Q1,Hispanic,1149651,473152,369468,103684,676499,111291,16483,5520,4328,1193,3,0,3,83469,28477,35762,63683,231096,86287,14427,261540,260802,170069,82094,3110,5528,739,888111,7587758
1999:Q1,Other,1493374,563887,458801,105086,929487,105374,16859,15503,10996,4507,10344,4824,5521,206856,20872,23411,124851,167486,223860,14071,295530,294995,208606,63548,1614,21227,534,1197844,4505558
1999:Q2,White,40342796,11897381,9354518,2542863,28445415,2716600,930874,1547681,1035514,512167,617674,534188,83485,8692049,644794,683310,2414449,5847563,4051505,298915,5150701,5134799,3573588,1212447,32325,316438,15902,35192095,79217606
1999:Q2,Black,1666461,619761,467487,152274,1046700,103965,7445,16605,9690,6915,1091,0,1091,111930,71448,42393,154459,450911,66059,20394,378379,376574,262738,108683,1619,3534,1805,1288081,12044190
1999:Q2,Hispanic,1160905,480109,375060,105049,680797,106437,15481,5597,4242,1355,5,0,5,86256,28670,36467,68521,233713,85239,14411,272963,272232,178763,84781,2999,5689,731,887942,7673707
1999:Q2,Other,1532709,571078,466419,104659,961631,105373,17626,15290,10211,5079,9797,4269,5528,226245,21481,24720,126086,175556,225311,14146,296020,295482,208602,65670,1812,19399,538,1236689,4498682
1999:Q3,White,40390643,12198901,9614021,2584879,28191743,2744958,963170,1500629,1005932,494697,638214,552883,85332,8250047,648345,666876,2344698,5908208,4221835,304761,5275364,5259395,3670642,1238772,27680,322301,15969,35115279,79358043
1999:Q3,Black,1681557,636645,480924,155721,1044912,104745,7890,16458,9511,6947,992,0,992,104766,71211,41859,145156,463138,68153,20544,398521,396730,273605,117652,1365,4108,1791,1283036,12143913
1999:Q3,Hispanic,1167478,492445,384980,107465,675033,102682,14529,5668,4163,1505,6,0,6,82820,28397,35740,69063,235351,86221,14556,283146,282425,187581,87297,2336,5211,721,884331,7746660
1999:Q3,Other,1529087,575881,473245,102636,953206,106186,18751,14490,9824,4666,9479,3975,5504,212815,21489,24473,120451,181946,228759,14367,297183,296644,209432,68173,1579,17460,539,1231905,4485254
1999:Q4,White,42817184,12450063,9834024,2616039,30367121,2825547,1057430,1328775,1052452,276322,680970,594008,86962,9834553,695110,726909,2561811,6020755,4277265,357996,5422034,5405384,3747966,1266658,26681,364079,16650,37395151,79497647
1999:Q4,Black,1771057,658212,493446,164766,1112845,106327,8136,17459,9904,7556,2870,1979,891,111573,74349,50011,166729,482109,66368,26914,414824,412968,277343,128000,1362,6263,1857,1356233,12262930
1999:Q4,Hispanic,1195281,503255,394856,108399,692026,100011,13686,5356,4168,1187,8,0,8,90892,29334,37837,76098,238001,84093,16711,287693,286963,190561,88389,2023,5991,730,907588,7810469
1999:Q4,Other,1606543,575567,473679,101888,1030976,107818,20359,22370,10472,11898,9467,3971,5496,258531,23161,27361,125607,191156,228814,16330,296897,296333,208394,70575,1582,15781,565,1309646,4468058
2000:Q1,White,43906574,12852367,10188656,2663711,31054206,2872565,1121051,1191782,970488,221294,688083,601014,87069,10344873,711592,749382,2657102,6104728,4250202,362846,5518717,5502656,3810930,1262661,28122,400943,16061,38387857,79634434
2000:Q1,Black,1818478,679919,507324,172595,1138559,107654,8521,16205,9354,6851,2124,1365,759,111450,75315,54108,175614,498740,61784,27043,421733,419971,278131,132075,1530,8235,1762,1396745,12398546
2000:Q1,Hispanic,1203701,512004,401296,110708,691697,96339,12847,5120,4020,1101,9,0,9,92910,29377,38501,80301,239783,79712,16799,288037,287340,190881,87973,1889,6598,697,915664,7868987
2000:Q1,Other,1646802,594227,493323,100904,1052575,108834,21688,20362,9372,10990,9180,3573,5607,272387,23637,28679,126292,198569,226463,16485,293728,293189,206272,71056,1753,14109,538,1353075,4449880
2000:Q2,White,43997519,13303195,10593406,2709789,30694324,2877444,1093414,1165156,919922,245235,671551,584418,87133,9853864,715573,746713,2620280,6170129,4410708,369491,5626660,5610410,3905411,1294020,25244,385736,16250,38370858,79766422
2000:Q2,Black,1856533,710409,528559,181851,1146123,108600,9222,15779,9024,6755,627,0,627,105005,75401,55402,170676,514058,63916,27438,443245,441477,288189,143949,1390,7948,1769,1413287,12548068
2000:Q2,Hispanic,1207542,522504,409722,112782,685039,91530,11907,5137,3891,1246,9,0,9,89336,29044,38220,81361,241054,80479,16962,295382,294694,197894,89968,1482,5350,689,912160,7926068
2000:Q2,Other,1649592,608179,507892,100287,1041413,109168,22202,18096,8735,9361,8655,2935,5720,257158,23635,28960,122182,204934,229713,16710,294666,294122,206602,73835,1611,12075,544,1354926,4433504
2000:Q3,White,44654414,13704161,10953783,2750377,30950253,2883977,1140768,1135307,882341,252966,685895,598752,87143,9758211,726868,761444,2643004,6245453,4592778,376548,5770064,5753910,4000513,1337949,20242,395206,16154,38884350,79891628
2000:Q3,Black,1904223,734388,549783,184605,1169835,109667,9695,15353,8790,6563,496,0,496,101313,76112,58825,172306,531246,66909,27913,469262,467523,298126,159530,1103,8765,1739,1434961,12708803
2000:Q3,Hispanic,1216825,532745,417594,115151,684080,86717,11106,5112,3778,1334,10,0,10,88035,28931,38603,83827,242660,81929,17149,303482,302811,204670,92146,1019,4975,671,913342,7985565
2000:Q3,Other,1667268,618226,520184,98041,1049042,109650,23378,16330,8291,8039,8512,2672,5840,253759,23940,29985,120538,212043,233940,16967,296689,296150,207136,77449,1308,10257,538,1370579,4421713
2000:Q4,White,44219377,14097662,11308395,2789267,30121715,2975657,1226307,1243377,951729,291648,735852,648685,87167,8594159,729745,742748,2524107,6298571,4672740,378452,5861565,5844714,4076920,1387590,24496,355708,16852,38357812,80008070
2000:Q4,Black,1929877,765273,567801,197472,1164604,111866,10078,16053,9447,6606,2154,1789,365,90392,76205,58339,158951,546503,66354,27710,496959,495144,309307,176979,1464,7394,1815,1432918,12878056
2000:Q4,Hispanic,1210404,539318,422781,116537,671086,83948,10396,5413,3876,1537,11,0,11,80386,28585,37759,82868,243892,80701,17126,311743,311063,212123,95090,1027,2824,680,898662,8051329
2000:Q4,Other,1653449,633598,535119,98479,1019851,111787,24937,15517,9185,6332,8776,2811,5965,220396,23962,29677,113882,218242,235610,17065,298816,298249,206878,81609,1679,8084,566,1354634,4417293
2001:Q1,White,44072157,14756136,11932552,2823584,29316021,3156000,1355877,1172699,790629,382070,722024,633166,88858,7660528,743679,729265,2306867,6371835,4713569,383679,5895423,5879229,4145065,1387170,14682,332312,16194,38176734,80113763
2001:Q1,Black,1956744,807124,600254,206870,1149621,115205,10355,14845,8151,6695,268,0,268,80883,77206,58490,135276,564690,64438,27964,511373,509662,319275,182829,827,6730,1711,1445371,13053135
2001:Q1,Hispanic,1214427,555113,437009,118104,659314,83297,9777,5429,3504,1924,12,0,12,73874,28602,37150,79400,245971,78531,17270,317871,317226,218774,96728,496,1228,645,896556,8127216
2001:Q1,Other,1659923,666110,567920,98190,993813,115685,26967,10300,7289,3011,8243,2254,5989,194499,24465,29652,103851,226117,236710,17325,297098,296558,206510,82997,999,6052,540,1362825,4423028
2001:Q2,White,45378399,15130972,12281039,2849933,30247427,3188993,1351890,1100271,710250,390021,727698,637322,90377,8275852,770873,744066,2402939,6460408,4826744,397694,6034227,6018234,4262903,1405158,9282,340891,15994,39344171,80206726
2001:Q2,Black,2036117,836796,624684,212112,1199321,116811,11044,14087,7489,6598,167,0,167,82607,79317,62124,145037,593528,65148,29450,543773,542107,341785,192273,517,7531,1666,1492344,13231346
2001:Q2,Hispanic,1225364,561115,441420,119695,664249,79123,8989,5298,3263,2035,14,0,14,77380,29071,37683,83890,246431,78530,17839,337716,337091,235106,100958,238,788,625,887648,8217076
2001:Q2,Other,1707782,675276,578221,97055,1032506,117459,27851,8413,6449,1964,7979,1934,6045,212945,25553,30891,106016,236672,240765,17961,301543,301008,210224,85859,643,4282,535,1406239,4441702
2001:Q3,White,44618161,15505549,12626790,2878759,29112612,3245916,1415155,1218921,843187,375734,814717,722799,91919,6906949,761334,734392,2170952,6526019,4903513,414744,6239208,6222539,4386552,1419914,15311,400761,16669,38378953,80284975
2001:Q3,Black,2058419,861008,646111,214897,1197411,118735,11555,15280,8786,6494,4349,4284,65,69987,78430,62789,120068,620256,64566,31396,569361,567619,352553,203372,952,10742,1741,1489059,13409996
2001:Q3,Hispanic,1211462,564903,442879,122024,646559,75559,8321,5674,3609,2065,90,75,15,67992,28474,37357,79987,246792,77717,18596,349176,348539,243715,102305,266,2252,636,862286,8324764
2001:Q3,Other,1690316,683197,587517,95680,1007118,120096,29479,9780,8079,1701,8594,2472,6123,176120,25329,31227,96133,246909,244670,18782,308132,307565,214732,88760,1136,2938,567,1382183,4476100
2001:Q4,White,46069336,15817932,12902221,2915711,30251404,3322496,1487649,1126538,751632,374906,776618,682966,93652,7801472,787048,748951,2294524,6627671,4857915,420521,6292777,6276241,4449180,1475934,3254,347872,16536,39776559,80347457
2001:Q4,Black,2157615,900057,680603,219454,1257558,121674,12374,14727,8122,6605,652,589,63,80530,80558,66902,136353,643688,68175,31926,598332,596623,373376,215195,163,7889,1709,1559283,13586407
2001:Q4,Hispanic,1254372,592154,462935,129219,662218,76513,8906,6125,3680,2446,14,0,14,75481,29869,37662,80895,249589,77825,19339,373385,372741,263270,109158,62,251,644,880987,8452762
2001:Q4,Other,1733955,704608,604692,99916,1029346,121595,29348,9760,7047,2713,7640,1961,5679,199598,26842,30878,100331,247496,236619,19239,321063,320488,225959,91540,207,2782,575,1412892,4528625
2002:Q1,White,46674491,16142429,13206380,2936049,30532062,3412552,1456686,1074696,722024,352672,766698,670821,95877,7852416,809109,740666,2396573,6698100,4898420,426146,6396936,6380139,4563317,1469092,911,346819,16797,40277555,80396828
2002:Q1,Black,2241300,931126,708583,222543,1310174,124832,13445,14643,8000,6644,70,0,70,85037,82388,68159,150616,663504,75050,32430,598526,596795,374415,214910,41,7429,1731,1642774,13757976
2002:Q1,Hispanic,1295664,621771,486164,135607,673893,77997,9353,6585,3877,2708,13,0,13,77453,31243,37127,81393,252028,80567,20133,379753,379087,270008,108880,19,180,666,915911,8598067
2002:Q1,Other,1762309,730790,626695,104095,1031519,123923,28361,11020,6779,4241,6958,1743,5215,199931,28359,29655,104207,247287,232037,19781,335439,334838,241070,90634,52,3081,602,1426870,4600158
2002:Q2,White,46209741,16445073,13481097,2963976,29764668,3413843,1405658,1195485,735851,459634,736045,638452,97593,7099326,818878,728050,2211831,6758490,4959093,437968,6529188,6512512,4700574,1493046,-9281,328173,16676,39680553,80436678
2002:Q2,Black,2288120,963712,736762,226950,1324408,126826,14501,15224,8297,6927,67,0,67,83319,83146,68833,133808,682060,82795,33829,611775,610077,382527,221799,-341,6092,1698,1676345,13922117
2002:Q2,Hispanic,1329437,657491,514662,142829,671946,77446,9760,7920,4232,3688,12,0,12,73968,32299,36438,74231,254521,84082,21271,393891,393214,282673,110744,-203,0,676,935546,8756307
