Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2006:Q1,age40to54,19772690,24742931,8308650,1407280,3713319,3104935,2280921,2705904,3221922,4970241,4045297,830747,94197
2006:Q1,ageunder40,4312572,8099233,3951609,906470,689187,272592,421249,848114,1010012,3786661,2858393,911933,16335
2006:Q2,age70plus,12544735,13104860,3919535,586460,2548201,1497595,149439,1336108,3067523,560126,310092,113553,136481
2006:Q2,age55to69,25097445,27922807,7369571,1278540,4885032,4924206,2213865,3134775,4116817,2825362,2109382,485405,230575
2006:Q2,age40to54,19901227,24968786,8439634,1425081,3629666,3178693,2273045,2752785,3269882,5067559,4137108,833474,96977
2006:Q2,ageunder40,4274051,8164550,4025755,919150,649718,279113,411927,863266,1015622,3890499,2955508,917179,17812
2006:Q3,age70plus,12626771,13193564,3928446,575857,2637801,1482306,147595,1377484,3044075,566793,311686,112071,143036
2006:Q3,age55to69,25641148,28587786,7479274,1307695,5081058,4983965,2296142,3245190,4194462,2946639,2206206,502440,237993
2006:Q3,age40to54,20268254,25423680,8548398,1445058,3713862,3258166,2333696,2796040,3328460,5155425,4200098,856677,98650
2006:Q3,ageunder40,4280749,8270289,4073604,929669,665894,286582,416618,874606,1023316,3989540,3030434,940253,18853
2006:Q4,age70plus,12836935,13421803,3931532,566942,2896335,1469243,150412,1399330,3008009,584869,315802,111003,158064
2006:Q4,age55to69,26328205,29388265,7546083,1328990,5496983,5047498,2411221,3325732,4231758,3060060,2279186,518069,262805
2006:Q4,age40to54,20676370,25890751,8548727,1455782,3919028,3341473,2428572,2826261,3370908,5214381,4234793,872981,106607
2006:Q4,ageunder40,4342610,8390623,4084825,946545,723444,294647,428179,873585,1039399,4048014,3069563,954662,23789
2007:Q1,age70plus,13003927,13598400,3912928,563710,3061983,1453907,145244,1390807,3069820,594473,330566,104849,159058
2007:Q1,age55to69,26829440,29959193,7503671,1346149,5790207,5101926,2467586,3358544,4391110,3129753,2356082,514503,259168
2007:Q1,age40to54,20879664,26147332,8412467,1460721,4052283,3421060,2463742,2835696,3501363,5267668,4296887,869055,101726
2007:Q1,ageunder40,4330873,8417788,4036233,974051,757157,301840,427497,853523,1067487,4086915,3113719,951765,21431
2007:Q2,age70plus,13084264,13701968,3903042,558008,3158477,1457325,148809,1411346,3064961,617704,338005,103502,176197
2007:Q2,age55to69,27194164,30450993,7488450,1367217,5990917,5149244,2590884,3433458,4430823,3256829,2439549,529539,287741
2007:Q2,age40to54,21069836,26406031,8350761,1471325,4133363,3497696,2565150,2863991,3523744,5336195,4351834,881722,102639
2007:Q2,ageunder40,4308440,8460125,4013515,995071,772981,319360,439571,851011,1068617,4151685,3165806,962202,23677
2007:Q3,age70plus,13242757,13851247,3863542,547968,3162460,1459447,145165,1414997,3257668,608490,338826,104035,165629
2007:Q3,age55to69,27662436,30999691,7444920,1387989,6067349,5188624,2658630,3479864,4772315,3337255,2523801,549445,264009
2007:Q3,age40to54,21343944,26755133,8310561,1483167,4147302,3570770,2611473,2879919,3751942,5411189,4392569,912273,106347
2007:Q3,ageunder40,4175515,8406987,3955805,1008819,765253,336024,440629,837667,1062790,4231472,3217476,989799,24197
2007:Q4,age70plus,13220683,13848290,3842839,570214,2973284,1480993,151574,1413127,3416259,627607,354974,108675,163958
