Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2024:Q2,pct40to60,15560650,7185010,5942145,1242865,8375640,1285400,238315,309259,309259,0,44499,33349,11150,1665362,191608,194508,727208,2363766,1051697,304019,2838152,2834385,1809845,932697,34603,57239,3768,12722498,26584776,,
2024:Q2,pct20to40,8400102,4425566,3631854,793712,3974536,884042,126963,129682,129682,0,8234,7550,683,471760,66359,77528,218284,1420215,359152,212317,1454937,1453538,771051,649237,26330,6920,1398,6945166,26573367,,
2024:Q2,pct00to20,5590915,3064908,2506146,558761,2526008,467299,53716,195671,195671,0,19114,17885,1229,768728,59649,13868,81174,216462,537382,112944,800453,799304,414687,341043,31965,11610,1149,4790463,26578486,,
2024:Q3,pct99to100,39817073,7034935,6203549,831386,32782138,2711491,868912,1657341,1657341,0,413158,402834,10324,18480393,453356,82406,1387146,606503,6005686,115747,1477996,1471582,1006404,172284,104144,188750,6414,38339077,1331266,,
2024:Q3,pct80to99,84861545,24131133,21282211,2848921,60730412,6108305,2458784,2491852,2491852,0,528480,486302,42178,23330439,1068484,1710264,7551290,8584352,6334722,563440,8254113,8233480,6070307,1596876,95174,471123,20633,76607431,25286568,,
2024:Q3,pct60to80,26334062,10780989,9016611,1764378,15553073,1997753,440560,664237,664237,0,119006,114229,4776,3284710,307167,645135,1982439,4502306,1246483,363278,4594541,4588470,3170746,1315170,51944,50610,6070,21739521,26617932,,
2024:Q3,pct40to60,15743811,7186624,5935070,1251553,8557188,1285428,246981,325213,325213,0,43053,32130,10924,1749212,194127,202239,772507,2377329,1052239,308859,2864282,2860460,1827221,941546,34302,57392,3823,12879529,26623743,,
2024:Q3,pct20to40,8450126,4416536,3616908,799628,4033591,884618,133718,132907,132907,0,5810,5215,596,502630,66641,79095,229222,1423690,359593,215666,1464557,1463178,776556,653807,25976,6839,1379,6985570,26612318,,
2024:Q3,pct00to20,5643035,3055901,2492257,563644,2587134,467990,54381,215854,215854,0,20991,19829,1162,800479,60988,14154,80830,218739,538008,114720,811175,810063,418918,348100,31614,11430,1112,4831861,26617444,,
2024:Q4,pct99to100,39983905,6988186,6149410,838775,32995720,2766269,953231,1629911,1629911,0,312942,302752,10191,18647975,455911,81804,1387086,612083,6030995,117511,1460213,1453768,1018316,168895,76946,189612,6445,38523693,1333145,,
2024:Q4,pct80to99,85084115,23948554,21057678,2890877,61135560,6218972,2626359,2461889,2461889,0,425967,384324,41643,23513986,1074001,1680543,7551960,8648229,6361701,571954,8275302,8254621,6114351,1571269,56026,512976,20681,76808813,25322264,,
2024:Q4,pct60to80,26350398,10738005,8948065,1789940,15612393,2022279,462559,648570,648570,0,88669,83977,4692,3313675,308645,630498,1981407,4535638,1251532,368922,4570236,4564154,3190534,1287579,34606,51435,6082,21780162,26655507,,
