Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1997:Q4,pct80to99,14195102,16502744,3700897,1004948,3170400,2547731,1580410,1879205,2619153,2307642,1723647,416000,167995
1997:Q4,pct60to80,5726745,7153019,2034843,609551,735266,1671083,652770,416235,1033271,1426274,993419,381632,51223
1997:Q4,pct40to60,3432136,4215296,1294898,421913,346438,894564,252549,281336,723598,783160,488846,279856,14458
1997:Q4,pct20to40,2476046,2884726,943471,278181,236545,550142,74779,178760,622848,408680,236512,159928,12240
1997:Q4,pct00to20,1171874,1345468,505607,138315,73351,198108,18463,129199,282425,173594,82420,86509,4665
1998:Q1,pct99to100,6959729,7302245,866780,261752,2733719,205952,307139,1289444,1637460,342516,226330,18699,97487
1998:Q1,pct80to99,14952579,17282822,3768739,1017627,3610577,2586858,1716090,1913015,2669916,2330244,1747378,406537,176329
1998:Q1,pct60to80,5977688,7412429,2078314,612571,814852,1724716,723114,417196,1041666,1434741,1005682,375499,53560
1998:Q1,pct40to60,3516514,4308154,1318043,428191,376532,901082,275918,284422,723967,791640,498841,278520,14279
1998:Q1,pct20to40,2536347,2942102,955908,280877,253709,558377,77990,183358,631883,405755,239367,155544,10844
1998:Q1,pct00to20,1183969,1361737,511886,139044,81551,201065,16872,123194,288125,177768,83846,89245,4677
1998:Q2,pct99to100,7100677,7451828,890810,260832,2786290,217131,303526,1318998,1674241,351150,230726,20000,100424
1998:Q2,pct80to99,15294483,17677994,3878584,1030779,3691497,2651198,1736221,1966434,2723280,2383511,1781710,417646,184155
1998:Q2,pct60to80,6086237,7560829,2130698,616380,831116,1754771,742511,421518,1063835,1474592,1028184,391526,54882
1998:Q2,pct40to60,3555684,4368086,1342204,434101,383446,904856,279092,292317,732069,812402,511450,287491,13461
1998:Q2,pct20to40,2575037,2987630,972042,284658,259888,561864,76688,187780,644711,412594,242844,160743,9007
1998:Q2,pct00to20,1202973,1382468,523707,140958,82473,200429,16076,117510,301315,179494,84788,90338,4368
1998:Q3,pct99to100,6793883,7153850,918275,246148,2395894,227018,275587,1333648,1757280,359967,235529,20860,103578
1998:Q3,pct80to99,14955454,17376455,3918928,1054607,3293513,2701399,1624934,2004824,2778249,2421001,1815033,425262,180706
1998:Q3,pct60to80,6062477,7572473,2195969,623331,762408,1777822,702508,423295,1087140,1509996,1049103,403787,57106
1998:Q3,pct40to60,3561455,4393274,1389137,448759,359000,906011,258342,296511,735514,831819,524063,294776,12980
1998:Q3,pct20to40,2603750,3022434,1003410,285112,250824,565075,70096,192354,655563,418684,246383,164405,7896
1998:Q3,pct00to20,1218379,1401050,543537,138771,73724,199386,16078,111613,317940,182671,86045,91628,4998
1998:Q4,pct99to100,7389537,7760185,952027,265306,2874008,226889,317213,1342836,1781906,370648,241399,24620,104629
1998:Q4,pct80to99,16020599,18509135,4055859,1059975,3901981,2793025,1823648,2035746,2838901,2488536,1866471,436778,185287
1998:Q4,pct60to80,6295963,7829884,2226799,628040,873663,1788623,784514,420813,1107432,1533921,1065563,413109,55249
1998:Q4,pct40to60,3666558,4518503,1412852,443759,406240,925898,292639,286981,750134,851945,536311,301631,14003
