Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q3,NoHS,2203246,2546177,923077,223672,164031,575686,102935,193547,363229,342931,230450,109100,3381
2001:Q4,College,26574085,30485428,8006999,1623615,6164798,3838175,2193521,3478652,5179668,3911343,2856664,795748,258931
2001:Q4,SomeCollege,7633455,9385186,2826434,714029,1081618,1674318,657926,841418,1589443,1751731,1160824,493548,97359
2001:Q4,HS,7172962,8741037,2857901,796905,733193,1691518,543009,731028,1387483,1568074,1055028,488560,24486
2001:Q4,NoHS,2250090,2604498,959117,229751,176160,564434,102038,191619,381379,354409,239269,113971,1169
2002:Q1,College,27006925,31016380,8246230,1643149,6236479,3911157,2271608,3513681,5194076,4009454,2954964,795465,259025
2002:Q1,SomeCollege,7704687,9484384,2890689,720734,1078522,1680145,676183,857150,1580961,1779697,1193891,492128,93678
2002:Q1,HS,7271706,8841003,2904885,798992,725658,1719466,561010,724697,1406295,1569297,1060567,484072,24658
2002:Q1,NoHS,2279660,2631866,986017,235419,172724,550152,99595,191869,396090,352205,239388,111851,966
2002:Q2,College,26618663,30738155,8489734,1668232,5670249,3980489,2130769,3567057,5231625,4119492,3070309,811045,238138
2002:Q2,SomeCollege,7604407,9425551,2951286,729850,972645,1684284,625818,878776,1582893,1821144,1236026,500038,85080
2002:Q2,HS,7203734,8797069,2939604,803239,634112,1743087,528050,722296,1426681,1593335,1076640,493179,23516
2002:Q2,NoHS,2272152,2627762,1002006,241668,155714,534618,94106,192604,407046,355610,242065,113382,163
2002:Q3,College,25828903,30072423,8743524,1703827,4653199,4050696,1972654,3637862,5310661,4243520,3184702,829808,229010
2002:Q3,SomeCollege,7452828,9322734,3026822,737557,795853,1689254,572076,906113,1595059,1869907,1281586,508414,79907
2002:Q3,HS,7064055,8691984,2954654,811748,490097,1766127,492407,723801,1453149,1627929,1104872,499215,23842
2002:Q3,NoHS,2251148,2613285,1024009,237651,129245,518742,88351,193830,421457,362138,248000,114171,-33
2002:Q4,College,26492733,30873945,8986327,1731899,4953135,4135232,2062066,3552015,5453270,4381212,3303005,852000,226207
2002:Q4,SomeCollege,7570444,9493984,3104583,743708,832940,1701899,600432,886585,1623837,1923539,1328488,519408,75643
2002:Q4,HS,7128657,8793695,2975319,816446,512168,1797487,520107,687733,1484435,1665038,1131566,509598,23874
2002:Q4,NoHS,2262406,2630991,1049569,234131,131223,504524,87663,188729,435151,368585,253254,116002,-671
2003:Q1,College,26590717,31093908,9217654,1744941,4715664,4198043,2076542,3633055,5508008,4503191,3406318,855728,241145
2003:Q1,SomeCollege,7599334,9563630,3177155,750386,784391,1704719,603830,918336,1624813,1964297,1369621,519294,75382
2003:Q1,HS,7169220,8849395,3023098,814733,469031,1816740,527793,692321,1505679,1680175,1153964,501267,24944
2003:Q1,NoHS,2277270,2646768,1073365,239522,121929,487516,85168,190228,449040,369498,257338,112834,-674
2003:Q2,College,27967708,32718808,9472534,1768060,5597731,4270536,2273517,3728343,5608087,4751100,3560929,873490,316681
2003:Q2,SomeCollege,7843797,9890322,3263879,758535,911641,1713390,665646,955202,1622030,2046526,1432688,527994,85844
2003:Q2,HS,7344747,9069108,3065381,818544,559986,1843475,579763,700782,1501177,1724361,1190574,507127,26660
2003:Q2,NoHS,2299519,2678460,1094146,240919,134458,472017,85757,192248,458915,378941,264189,113319,1433
2003:Q3,College,28651305,33550832,9743682,1800203,5945471,4334740,2326682,3805810,5594244,4899527,3715332,889524,294671
2003:Q3,SomeCollege,7965759,10074370,3360289,766763,953907,1719370,682736,987672,1603633,2108611,1492855,537715,78041
2003:Q3,HS,7423169,9182756,3091818,827453,586728,1868199,598377,705949,1504232,1759587,1215277,517681,26629
2003:Q3,NoHS,2306237,2688381,1116090,236423,135839,455954,83988,193635,466451,382144,267469,114755,-80
2003:Q4,College,29979312,35013016,10006904,1829189,6694091,4402365,2509882,3860100,5710486,5033704,3830626,910484,292594
2003:Q4,SomeCollege,8238321,10404697,3460402,776363,1056451,1728607,742317,1014291,1626266,2166376,1543084,548939,74353
2003:Q4,HS,7615324,9423769,3132943,836562,662321,1898710,649706,707060,1536468,1808446,1248593,527476,32377
