Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2000:Q1,Silent,51.4,45.1,46.5,39.9,54.1,63.9,61.4,69.6,68.8,72.9,73.8,72.8,80.4,54.9,32.7,38,29.6,58.9,53.7,39.9,24.1,24.1,22.6,19.3,34.8,55.5,31.9,55.6,37191747
2000:Q1,BabyBoom,41,44.2,43.9,45.3,39.6,30.1,34.9,27.6,28.2,25.2,22.1,22.5,19.5,37.6,52.4,58.2,56.2,39.4,41.2,46.8,56.5,56.5,59.7,51.1,54,42.9,53.6,38.6,43171921
2000:Q1,GenX,7.6,10.7,9.6,14.9,6.2,5.9,3.7,2.8,3,1.8,4.1,4.7,0.1,7.5,14.9,3.8,14.3,1.7,5.1,13.3,19.4,19.4,17.7,29.6,11.2,1.6,14.6,5.7,23845383
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,50.9,44.4,45.7,39.2,53.9,63.9,62.6,69.2,68,73.7,75.3,74.7,79.2,55.1,32.3,37,29.9,57.6,53.2,39.4,23.6,23.5,22.1,18.6,35.7,58.4,31.5,55.2,36878955
2000:Q2,BabyBoom,41.4,44.5,44.3,45.5,40,30.2,34.4,27.9,28.8,24.4,20.4,20.3,20.7,37.6,52,59.5,56.4,40.7,41.5,46.9,56.3,56.3,59.5,51.4,52.7,39.7,53,39.1,43326417
2000:Q2,GenX,7.7,11.1,10,15.3,6.1,5.9,3,2.9,3.2,1.9,4.3,4.9,0.2,7.4,15.6,3.5,13.7,1.7,5.4,13.7,20.2,20.2,18.5,30,11.6,1.9,15.5,5.7,24266162
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,50.2,43.6,44.8,39,53.2,63.9,61.8,68.7,67.1,74.1,73.8,73.1,78,54.8,32,35,29.7,56.3,52.6,38.9,23,23,21.5,18,36.5,58.5,31.2,54.6,36571079
2000:Q3,BabyBoom,41.9,45,44.8,45.6,40.5,30.2,34.9,28.2,29.5,23.9,22.2,22.3,21.8,37.8,51.6,61.4,56.5,42,41.8,47,56.1,56.1,59.2,51.7,51.7,39.6,52.7,39.7,43474840
